time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2018-06-12,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-13,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-14,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-15,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-18,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-19,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-20,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-21,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-22,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-25,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-26,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-27,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-28,7.263,7.263,7.263,7.263,0,0.0,,,,,
2018-06-29,5.949,5.949,5.672,5.741,1100,6315.099999999999,,,,,
2018-07-02,5.188,5.257,5.119,5.119,600,3071.4,,,,,
2018-07-03,4.427,4.427,4.427,4.427,800,3541.5999999999995,,,,,
2018-07-04,4.219,4.219,4.219,4.219,200,843.8000000000001,,,,,
2018-07-05,4.289,4.289,4.289,4.289,100,428.9,,,,,
2018-07-06,4.081,4.081,4.012,4.012,200,802.3999999999999,,,,,
2018-07-09,4.012,4.012,4.012,4.012,100,401.19999999999993,,,,,
2018-07-10,4.081,4.15,4.081,4.15,700,2905.0000000000005,,,,,
2018-07-11,4.081,4.219,4.081,4.15,800,3320.0000000000005,,,,,
2018-07-12,4.219,4.219,4.219,4.219,200,843.8000000000001,,,,,
2018-07-13,3.943,3.943,3.874,3.943,700,2760.1,,,,,
2018-07-16,3.874,3.874,3.874,3.874,0,0.0,,,,,
2018-07-17,3.943,3.943,3.943,3.943,200,788.6,,,,,
2018-07-18,4.012,4.012,4.012,4.012,100,401.19999999999993,,,,,
2018-07-19,4.012,4.012,4.012,4.012,0,0.0,,,,,
2018-07-20,4.012,4.012,4.012,4.012,0,0.0,,,,,
2018-07-23,4.219,4.219,4.219,4.219,100,421.9,,,,,
2018-07-24,4.081,4.081,4.081,4.081,100,408.1,,,,,
