time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2023-05-30,22.2,22.2,10.0,13.6,768400,10450240.0,,,,,,,,
2023-05-31,13.8,13.9,12.4,12.6,297400,3747240.0,,,,,,,,
2023-06-01,12.6,12.7,10.9,11.6,587300,6812680.0,,,,,,,,
2023-06-02,11.3,12.7,11.3,12.1,182337,2206277.7,,,,,,,,
2023-06-05,12.1,12.9,12.0,12.3,330000,4059000.000000001,,,,,,,,
2023-06-06,12.3,12.4,11.9,12.3,241500,2970450.0,,,,,,,,
2023-06-07,12.3,12.3,12.0,12.1,201100,2433310.0,,,,,,,,
2023-06-08,12.0,12.1,11.7,11.7,225400,2637180.0,,,,,,,,
2023-06-09,11.9,11.9,11.5,11.9,105200,1251880.0,,,,,,,,
2023-06-12,11.7,11.9,11.6,11.9,94500,1124550.0,,,,,,,,
2023-06-13,11.9,12.1,11.7,12.1,180805,2187740.5,,,,,,,,
2023-06-14,12.0,12.2,11.9,12.0,173100,2077200.0,,,,,,,,
2023-06-15,12.0,12.0,11.8,11.9,53500,636650.0,,,,,,,,
2023-06-16,12.0,12.2,11.8,11.9,309200,3679480.0,,,,,,,,
2023-06-19,11.9,11.9,11.7,11.8,49900,588820.0,,,,,,,,
2023-06-20,11.9,11.9,11.6,11.8,56860,670948.0,,,,,,,,
2023-06-21,11.9,11.9,11.7,11.9,176339,2098434.1,,,,,,,,
2023-06-22,11.9,12.9,11.9,12.7,486900,6183630.0,,,,,,,,
2023-06-23,12.8,12.8,12.4,12.6,125200,1577520.0,,,,,,,,
2023-06-26,12.5,12.5,11.9,12.2,244100,2978020.0,,,,,,,,
2023-06-27,12.1,12.6,12.0,12.4,184911,2292896.4,,,,,,,,
2023-06-28,12.3,12.6,12.2,12.2,202200,2466840.0,,,,,,,,
2023-06-29,12.3,12.4,11.7,11.7,253712,2968430.4,,,,,,,,
2023-06-30,11.9,11.9,11.7,11.9,88700,1055530.0,,,,,,,,
2023-07-03,11.8,11.9,11.7,11.8,86050,1015390.0,,,,,,,,
2023-07-04,11.7,12.0,11.6,11.9,190900,2271710.0,,,,,,,,
2023-07-05,11.8,12.0,11.7,11.8,120316,1419728.8,,,,,,,,
2023-07-06,11.9,11.9,11.5,11.8,111300,1313340.0,,,,,,,,
2023-07-07,11.7,11.7,11.6,11.7,50208,587433.6,,,,,,,,
2023-07-10,11.8,11.8,11.6,11.7,112500,1316250.0,,,,,,,,
2023-07-11,11.6,11.7,10.0,11.6,173402,2011463.2,,,,,,,,
2023-07-12,11.6,11.8,11.6,11.7,122937,1438362.9,,,,,,,,
2023-07-13,11.6,11.8,11.6,11.7,105600,1235520.0,,,,,,,,
2023-07-14,11.7,11.7,11.6,11.7,93407,1092861.9,,,,,,,,
2023-07-17,11.7,11.8,11.6,11.6,126302,1465103.2,,,,,,,,
2023-07-18,11.6,12.1,11.6,11.9,252505,3004809.5,,,,,,,,
2023-07-19,12.0,12.0,11.7,11.8,164401,1939931.8,,,,,,,,
2023-07-20,11.7,11.8,11.6,11.8,111204,1312207.2000000002,,,,,,,,
2023-07-21,11.7,11.8,11.6,11.7,61601,720731.7,,,,,,,,
2023-07-24,11.7,12.4,11.7,12.2,602740,7353428.0,,,,,,,,
2023-07-25,12.2,12.4,12.0,12.0,283500,3402000.0,,,,,,,,
2023-07-26,12.0,12.0,11.7,11.9,228000,2713200.0,,,,,,,,
2023-07-27,11.9,11.9,11.6,11.8,180200,2126360.0,,,,,,,,
2023-07-28,11.7,11.9,11.6,11.8,211605,2496939.0,,,,,,,,
2023-07-31,11.7,11.9,11.6,11.7,147301,1723421.7,,,,,,,,
2023-08-01,11.7,11.9,11.6,11.7,276002,3229223.4,,,,,,,,
