time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2017-07-13,15.254,15.254,15.254,15.254,1200,18304.8,,,,,
2017-07-14,15.254,15.254,15.254,15.254,0,0.0,,,,,
2017-07-17,15.254,15.254,15.254,15.254,0,0.0,,,,,
2017-07-18,15.254,15.254,15.254,15.254,0,0.0,,,,,
2017-07-19,15.254,15.254,15.254,15.254,0,0.0,,,,,
2017-07-20,15.254,15.254,15.254,15.254,0,0.0,,,,,
2017-07-21,15.254,15.254,15.254,15.254,0,0.0,,,,,
2017-07-24,15.254,15.254,15.254,15.254,0,0.0,,,,,
2017-07-25,15.254,15.254,15.254,15.254,0,0.0,,,,,
2017-07-26,15.254,15.254,15.254,15.254,0,0.0,,,,,
2017-07-27,15.029,15.029,15.029,15.029,100,1502.9,,,,,
2017-07-28,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-07-31,15.029,15.029,15.029,15.029,100,1502.9,,,,,
2017-08-01,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-02,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-03,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-04,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-07,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-08,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-09,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-10,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-11,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-14,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-15,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-16,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-17,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-18,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-21,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-22,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-23,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-24,15.029,15.029,15.029,15.029,0,0.0,,,,,
2017-08-25,15.029,15.029,15.029,15.029,0,0.0,,,,,
