time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2012-02-15,2.43,2.63,2.43,2.63,12600,33138.0,,,,,,,,
2012-02-16,2.63,2.63,2.63,2.63,100,263.0,,,,,,,,
2012-02-17,2.8,2.8,2.8,2.8,100,280.0,,,,,,,,
2012-02-20,2.98,2.98,2.98,2.98,200,596.0,,,,,,,,
2012-02-21,3.18,3.18,3.03,3.18,4300,13674.0,,,,,,,,
2012-02-22,3.1,3.3,3.1,3.3,13200,43560.0,,,,,,,,
2012-02-23,3.37,3.4,3.35,3.4,10800,36720.0,,,,,,,,
2012-02-24,3.4,3.4,3.37,3.37,8000,26960.0,,,,,,,,
2012-02-27,3.37,3.37,3.37,3.37,0,0.0,,,,,,,,
2012-02-28,3.15,3.39,3.15,3.15,9600,30240.0,,,,,,,,
2012-02-29,3.15,3.15,3.15,3.15,0,0.0,,,,,,,,
2012-03-01,3.23,3.23,3.23,3.23,100,323.0,,,,,,,,
2012-03-02,3.23,3.23,3.23,3.23,0,0.0,,,,,,,,
2012-03-05,3.2,3.45,3.2,3.45,23100,79695.0,,,,,,,,
2012-03-06,3.45,3.45,3.45,3.45,1000,3450.0,,,,,,,,
2012-03-07,3.28,3.28,3.23,3.28,3100,10168.0,,,,,,,,
2012-03-08,3.35,3.39,3.35,3.39,7200,24408.0,,,,,,,,
2012-03-09,3.37,3.37,3.2,3.37,5600,18872.0,,,,,,,,
2012-03-12,3.1,3.1,3.1,3.1,5000,15500.0,,,,,,,,
2012-03-13,3.1,3.1,3.1,3.1,0,0.0,,,,,,,,
2012-03-14,2.95,2.95,2.9,2.9,13000,37700.0,,,,,,,,
2012-03-15,2.7,2.7,2.7,2.7,1600,4320.0,,,,,,,,
2012-03-16,2.53,2.61,2.51,2.61,7800,20358.0,,,,,,,,
2012-03-19,2.44,2.44,2.44,2.44,200,488.0,,,,,,,,
2012-03-20,2.38,2.49,2.38,2.49,300,747.0000000000001,,,,,,,,
2012-03-21,2.44,2.44,2.44,2.44,400,976.0,,,,,,,,
2012-03-22,2.44,2.44,2.44,2.44,0,0.0,,,,,,,,
2012-03-23,2.61,2.61,2.61,2.61,1500,3915.0,,,,,,,,
2012-03-26,2.78,2.78,2.78,2.78,500,1390.0,,,,,,,,
2012-03-27,2.95,2.95,2.95,2.95,100,295.0,,,,,,,,
2012-03-28,3.03,3.03,3.03,3.03,100,303.0,,,,,,,,
2012-03-29,3.03,3.03,3.03,3.03,0,0.0,,,,,,,,
2012-03-30,2.83,2.83,2.83,2.83,2600,7358.0,,,,,,,,
2012-04-03,2.83,2.83,2.83,2.83,0,0.0,,,,,,,,
2012-04-04,2.83,2.83,2.83,2.83,0,0.0,,,,,,,,
2012-04-05,2.83,2.83,2.83,2.83,0,0.0,,,,,,,,
2012-04-06,2.78,2.78,2.64,2.64,500,1320.0,,,,,,,,
2012-04-09,2.64,2.64,2.64,2.64,0,0.0,,,,,,,,
2012-04-10,2.64,2.64,2.64,2.64,0,0.0,,,,,,,,
2012-04-11,2.64,2.64,2.64,2.64,0,0.0,,,,,,,,
2012-04-12,2.64,2.64,2.64,2.64,300,792.0,,,,,,,,
2012-04-13,2.64,2.64,2.64,2.64,0,0.0,,,,,,,,
2012-04-16,2.64,2.64,2.64,2.64,0,0.0,,,,,,,,
2012-04-17,2.64,2.64,2.64,2.64,0,0.0,,,,,,,,
2012-04-18,2.64,2.64,2.64,2.64,0,0.0,,,,,,,,
2012-04-19,2.64,2.64,2.64,2.64,0,0.0,,,,,,,,
2012-04-20,2.81,2.81,2.81,2.81,800,2248.0,,,,,,,,
2012-04-23,3.0,3.0,3.0,3.0,3500,10500.0,,,,,,,,
2012-04-24,3.2,3.2,3.03,3.12,1300,4056.0,,,,,,,,
2012-04-25,3.28,3.28,3.12,3.12,23600,73632.0,,,,,,,,
2012-04-26,3.03,3.03,2.95,2.95,4000,11800.0,,,,,,,,
2012-04-27,2.95,3.15,2.95,3.15,1200,3780.0,,,,,,,,
2012-05-02,3.37,3.37,3.37,3.37,100,337.0,,,,,,,,
2012-05-03,3.6,3.6,3.52,3.52,3100,10912.0,,,,,,,,
2012-05-04,3.84,3.84,3.84,3.84,0,0.0,,,,,,,,
2012-05-07,3.84,3.84,3.84,3.84,0,0.0,,,,,,,,
2012-05-08,3.84,3.84,3.84,3.84,0,0.0,,,,,,,,
2012-05-09,3.31,3.31,3.31,3.31,500,1655.0,,,,,,,,
2012-05-10,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-05-11,3.09,3.11,3.09,3.09,800,2472.0,,,,,,,,
2012-05-14,2.89,2.9,2.89,2.89,2300,6647.0,,,,,,,,
2012-05-15,2.89,2.89,2.89,2.89,0,0.0,,,,,,,,
2012-05-16,2.89,2.89,2.89,2.89,0,0.0,,,,,,,,
2012-05-17,2.72,2.72,2.72,2.72,1800,4896.0,,,,,,,,
2012-05-18,2.72,2.72,2.72,2.72,0,0.0,,,,,,,,
2012-05-21,2.9,2.9,2.9,2.9,500,1450.0,,,,,,,,
2012-05-22,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2012-05-23,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2012-05-24,2.9,2.9,2.9,2.9,0,0.0,,,,,,,,
2012-05-25,3.11,3.11,3.11,3.11,100,311.0,,,,,,,,
2012-05-28,2.94,2.94,2.94,2.94,400,1176.0,,,,,,,,
2012-05-29,2.94,2.94,2.94,2.94,0,0.0,,,,,,,,
2012-05-30,3.14,3.14,3.14,3.14,100,314.0,,,,,,,,
2012-05-31,3.14,3.14,3.14,3.14,0,0.0,,,,,,,,
2012-06-01,3.14,3.14,3.14,3.14,0,0.0,,,,,,,,
2012-06-04,2.94,3.22,2.94,3.22,1100,3542.0,,,,,,,,
2012-06-05,3.0,3.27,3.0,3.27,1900,6213.0,,,,,,,,
2012-06-06,3.27,3.27,3.27,3.27,0,0.0,,,,,,,,
2012-06-07,3.27,3.27,3.27,3.27,0,0.0,,,,,,,,
2012-06-08,3.27,3.27,3.27,3.27,0,0.0,,,,,,,,
2012-06-11,3.27,3.27,3.27,3.27,0,0.0,,,,,,,,
2012-06-12,3.27,3.27,3.27,3.27,0,0.0,,,,,,,,
2012-06-13,3.31,3.31,3.31,3.31,100,331.0,,,,,,,,
2012-06-14,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-06-15,3.31,3.31,3.31,3.31,400,1324.0,,,,,,,,
2012-06-18,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-06-19,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-06-20,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-06-21,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-06-22,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-06-25,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-06-26,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-06-27,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-06-28,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-06-29,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-02,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-03,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-04,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-05,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-06,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-09,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-10,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-11,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-12,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-13,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-16,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-17,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-18,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-19,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-20,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-23,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-24,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-25,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-26,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-27,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
2012-07-30,3.31,3.31,3.31,3.31,0,0.0,,,,,,,,
