time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-06-08,17.434,17.434,14.377,14.377,10300,148083.1,,,,,,,,
2017-06-09,14.377,14.377,14.264,14.264,3200,45644.8,,,,,,,,
2017-06-12,14.332,14.332,14.332,14.332,0,0.0,,,,,,,,
2017-06-13,13.585,13.585,12.906,12.906,6900,89051.40000000001,,,,,,,,
2017-06-14,13.585,13.698,13.585,13.698,3900,53422.2,,,,,,,,
2017-06-15,13.359,13.585,13.359,13.585,1400,19019.0,,,,,,,,
2017-06-16,13.132,13.132,13.132,13.132,1000,13132.0,,,,,,,,
2017-06-19,13.132,13.132,13.132,13.132,0,0.0,,,,,,,,
2017-06-20,12.453,12.906,12.453,12.906,600,7743.6,,,,,,,,
2017-06-21,12.906,13.585,12.906,13.585,10200,138567.0,,,,,,,,
2017-06-22,13.517,13.517,13.517,13.517,0,0.0,,,,,,,,
2017-06-23,13.517,13.517,13.517,13.517,0,0.0,,,,,,,,
2017-06-26,13.585,13.585,13.585,13.585,1000,13585.0,,,,,,,,
2017-06-27,13.585,13.585,13.585,13.585,0,0.0,,,,,,,,
2017-06-28,13.472,13.472,13.359,13.359,6393,85404.087,,,,,,,,
2017-06-29,13.359,13.359,13.359,13.359,2700,36069.3,,,,,,,,
2017-06-30,13.359,13.359,13.359,13.359,0,0.0,,,,,,,,
2017-07-03,13.54,13.54,13.54,13.54,500,6770.0,,,,,,,,
2017-07-04,13.585,13.585,13.585,13.585,1700,23094.5,,,,,,,,
2017-07-05,13.585,13.585,13.585,13.585,100,1358.5,,,,,,,,
2017-07-06,13.359,13.359,13.245,13.359,10000,133590.0,,,,,,,,
2017-07-07,13.313,13.313,13.313,13.313,0,0.0,,,,,,,,
2017-07-10,13.313,13.313,13.313,13.313,0,0.0,,,,,,,,
2017-07-11,13.381,13.381,13.313,13.381,3000,40143.0,,,,,,,,
2017-07-12,13.359,13.381,13.359,13.381,5500,73595.5,,,,,,,,
2017-07-13,13.381,13.381,13.381,13.381,0,0.0,,,,,,,,
2017-07-14,13.381,13.381,13.381,13.381,0,0.0,,,,,,,,
2017-07-17,13.472,13.494,13.472,13.472,16000,215552.0,,,,,,,,
2017-07-18,13.472,13.54,13.472,13.54,7000,94780.0,,,,,,,,
2017-07-19,13.54,13.54,13.54,13.54,0,0.0,,,,,,,,
2017-07-20,13.585,13.585,13.585,13.585,7900,107321.5,,,,,,,,
2017-07-21,13.585,13.585,13.585,13.585,0,0.0,,,,,,,,
2017-07-24,13.585,13.585,13.585,13.585,0,0.0,,,,,,,,
2017-07-25,13.585,13.585,13.585,13.585,0,0.0,,,,,,,,
2017-07-26,13.585,13.585,13.585,13.585,0,0.0,,,,,,,,
2017-07-27,13.585,13.585,13.585,13.585,0,0.0,,,,,,,,
2017-07-28,13.585,13.585,13.585,13.585,9000,122265.0,,,,,,,,
2017-07-31,13.359,13.359,13.359,13.359,1000,13359.0,,,,,,,,
2017-08-01,13.63,13.63,13.63,13.63,1000,13630.0,,,,,,,,
2017-08-02,13.585,13.585,13.585,13.585,2500,33962.5,,,,,,,,
2017-08-03,13.585,13.585,13.585,13.585,0,0.0,,,,,,,,
2017-08-04,13.63,13.63,13.63,13.63,1000,13630.0,,,,,,,,
2017-08-07,13.63,13.63,13.63,13.63,0,0.0,,,,,,,,
2017-08-08,13.585,13.585,13.585,13.585,2000,27170.0,,,,,,,,
2017-08-09,13.585,13.585,13.472,13.472,500,6736.0,,,,,,,,
2017-08-10,13.359,13.359,13.359,13.359,7000,93513.0,,,,,,,,
2017-08-11,13.359,13.359,13.359,13.359,9000,120231.0,,,,,,,,
2017-08-14,13.359,13.359,13.359,13.359,5027,67155.693,,,,,,,,
2017-08-15,13.359,13.472,13.359,13.359,6000,80154.0,,,,,,,,
2017-08-16,13.359,13.359,13.359,13.359,2500,33397.5,,,,,,,,
2017-08-17,13.359,13.359,13.359,13.359,4600,61451.4,,,,,,,,
2017-08-18,13.359,13.359,13.359,13.359,200,2671.8,,,,,,,,
2017-08-21,13.359,13.359,13.132,13.132,14300,187787.6,,,,,,,,
2017-08-22,13.132,13.132,13.132,13.132,6000,78792.0,,,,,,,,
2017-08-23,13.132,13.132,13.132,13.132,0,0.0,,,,,,,,
2017-08-24,13.019,13.019,13.019,13.019,6227,81069.313,,,,,,,,
2017-08-25,13.042,13.042,13.042,13.042,2400,31300.8,,,,,,,,
2017-08-28,13.132,13.132,13.132,13.132,5000,65660.0,,,,,,,,
2017-08-29,13.132,13.132,13.132,13.132,4000,52528.0,,,,,,,,
2017-08-30,13.132,13.132,13.132,13.132,0,0.0,,,,,,,,
2017-08-31,13.132,13.132,13.132,13.132,0,0.0,,,,,,,,
2017-09-01,13.132,13.132,13.132,13.132,0,0.0,,,,,,,,
2017-09-05,13.223,13.223,13.223,13.223,500,6611.5,,,,,,,,
2017-09-06,13.223,13.223,13.223,13.223,1,13.223,,,,,,,,
2017-09-07,13.019,13.132,13.019,13.132,1500,19698.0,,,,,,,,
2017-09-08,13.132,13.132,13.132,13.132,6026,79133.432,,,,,,,,
2017-09-11,13.155,13.155,13.155,13.155,1000,13155.0,,,,,,,,
2017-09-12,13.132,13.132,13.019,13.019,11100,144510.9,,,,,,,,
2017-09-13,12.906,12.906,12.906,12.906,2200,28393.2,,,,,,,,
2017-09-14,12.906,12.906,12.906,12.906,200,2581.2000000000003,,,,,,,,
2017-09-15,12.906,12.906,12.792,12.792,4700,60122.4,,,,,,,,
2017-09-18,12.453,12.453,12.226,12.226,874,10685.524,,,,,,,,
2017-09-19,12.226,12.226,11.547,12.226,4400,53794.4,,,,,,,,
2017-09-20,12.226,12.226,12.226,12.226,1400,17116.4,,,,,,,,
2017-09-21,12.226,12.226,12.226,12.226,0,0.0,,,,,,,,
2017-09-22,12.226,12.226,11.774,11.774,1900,22370.6,,,,,,,,
2017-09-25,12.906,12.906,11.774,11.774,900,10596.6,,,,,,,,
2017-09-26,12.453,12.453,12.453,12.453,100,1245.3,,,,,,,,
2017-09-27,12.453,12.453,12.453,12.453,0,0.0,,,,,,,,
2017-09-28,11.547,11.547,11.547,11.547,100,1154.7,,,,,,,,
2017-09-29,12.0,12.0,12.0,12.0,2000,24000.0,,,,,,,,
2017-10-02,12.0,12.0,12.0,12.0,0,0.0,,,,,,,,
2017-10-03,12.0,12.0,12.0,12.0,0,0.0,,,,,,,,
2017-10-04,12.0,12.0,12.0,12.0,0,0.0,,,,,,,,
2017-10-05,12.0,12.0,12.0,12.0,0,0.0,,,,,,,,
2017-10-06,12.0,12.0,12.0,12.0,901,10812.0,,,,,,,,
2017-10-09,12.0,12.0,12.0,12.0,0,0.0,,,,,,,,
2017-10-10,12.0,12.0,12.0,12.0,0,0.0,,,,,,,,
2017-10-11,11.547,11.547,11.547,11.547,1000,11547.0,,,,,,,,
2017-10-12,11.547,11.547,11.547,11.547,0,0.0,,,,,,,,
2017-10-13,11.547,11.547,11.547,11.547,0,0.0,,,,,,,,
2017-10-16,12.906,12.906,12.906,12.906,101,1303.506,,,,,,,,
2017-10-17,12.906,12.906,12.906,12.906,0,0.0,,,,,,,,
2017-10-18,12.061,12.061,12.061,12.061,1000,12061.0,,,,,,,,
2017-10-19,12.061,12.061,12.061,12.061,0,0.0,,,,,,,,
2017-10-20,12.061,12.061,12.061,12.061,0,0.0,,,,,,,,
2017-10-23,12.061,12.061,12.061,12.061,0,0.0,,,,,,,,
2017-10-24,10.855,11.096,10.855,11.096,2000,22192.0,,,,,,,,
2017-10-25,10.855,10.855,10.855,10.855,1280,13894.4,,,,,,,,
2017-10-26,10.855,10.855,10.855,10.855,0,0.0,,,,,,,,
2017-10-27,10.855,10.855,10.614,10.855,2300,24966.5,,,,,,,,
2017-10-30,10.686,10.686,10.686,10.686,0,0.0,,,,,,,,
2017-10-31,12.061,12.061,12.061,12.061,200,2412.2,,,,,,,,
2017-11-01,12.061,12.061,12.061,12.061,0,0.0,,,,,,,,
2017-11-02,12.061,12.061,12.061,12.061,0,0.0,,,,,,,,
