time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2020-07-28,30.166,30.166,30.166,30.166,275200,8301683.2,,,,,
2020-07-29,32.226,32.226,32.226,32.226,193780,6244754.28,,,,,
2020-07-30,34.467,34.467,34.467,34.467,370550,12771746.85,,,,,
2020-07-31,36.77,36.83,33.619,36.527,328950,12015556.65,,,,,
2020-08-03,33.982,36.89,33.982,34.528,290720,10037980.16,,,,,
2020-08-04,34.225,36.89,33.922,36.89,434910,16043829.9,,,,,
2020-08-05,36.89,39.374,36.77,39.374,520410,20490623.34,,,,,
2020-08-06,39.374,41.191,38.466,41.13,525700,21622041.0,,,,,
2020-08-07,41.07,41.676,40.767,41.494,504240,20922934.56,,,,,
2020-08-10,41.494,41.494,38.768,39.071,413640,16161328.44,,,,,
2020-08-11,38.768,39.677,38.042,39.434,403850,15925420.9,,,,,
2020-08-12,39.434,40.586,39.434,40.343,423970,17104221.71,,,,,
2020-08-13,40.464,41.797,40.464,41.615,524120,21811253.8,,,,,
2020-08-14,41.737,43.009,41.737,42.826,536830,22990281.58,,,,,
2020-08-17,42.826,43.009,41.191,41.191,315400,12991641.4,,,,,
2020-08-18,41.191,42.402,41.01,42.402,415720,17627359.44,,,,,
2020-08-19,42.402,44.826,42.342,43.917,530760,23309386.92,,,,,
2020-08-20,44.099,44.765,43.917,43.917,434060,19062613.02,,,,,
2020-08-21,44.099,45.431,43.917,45.19,481230,21746783.7,,,,,
2020-08-24,45.31,45.734,45.19,45.25,358550,16224387.5,,,,,
2020-08-25,45.25,45.431,44.159,45.129,323070,14579826.03,,,,,
2020-08-26,45.129,45.431,44.341,44.583,402650,17951344.95,,,,,
2020-08-27,43.917,45.129,43.735,44.826,393330,17631410.580000002,,,,,
2020-08-28,45.007,45.31,44.462,44.583,337940,15066379.02,,,,,
2020-08-31,44.462,45.129,44.281,44.402,314520,13965317.04,,,,,
2020-09-01,44.402,45.007,44.402,44.705,335240,14986904.2,,,,,
2020-09-03,44.826,45.25,44.705,44.826,252350,11311841.1,,,,,
2020-09-04,44.826,44.947,44.099,44.462,214910,9555328.42,,,,,
2020-09-07,44.462,44.765,44.402,44.583,242810,10825198.23,,,,,
2020-09-08,44.583,44.826,44.402,44.644,238060,10627950.64,,,,,
2020-09-09,44.644,44.644,44.099,44.22,208670,9227387.4,,,,,
2020-09-10,44.22,44.22,43.614,44.22,212090,9378619.8,,,,,
2020-09-11,43.917,45.431,43.917,44.886,284190,12756152.340000002,,,,,
2020-09-14,45.007,45.734,45.007,45.674,317130,14484595.62,,,,,
2020-09-15,45.674,45.916,45.25,45.492,204520,9304023.84,,,,,
2020-09-16,45.492,45.734,45.25,45.431,212890,9671805.59,,,,,
2020-09-17,45.31,45.431,44.705,45.431,232380,10557255.78,,,,,
2020-09-18,45.431,45.431,45.129,45.31,204480,9264988.8,,,,,
2020-09-21,45.431,45.734,45.371,45.371,215940,9797413.74,,,,,
2020-09-22,45.371,45.492,45.19,45.431,244710,11117420.01,,,,,
2020-09-23,45.431,46.038,45.431,45.553,288610,13147051.33,,,,,
2020-09-24,45.553,45.855,45.371,45.431,316050,14358467.55,,,,,
2020-09-25,45.431,45.553,45.129,45.19,246560,11142046.4,,,,,
2020-09-28,45.19,45.553,45.129,45.371,266240,12079575.04,,,,,
2020-09-29,45.371,45.492,44.826,44.947,340880,15321533.36,,,,,
2020-09-30,44.826,45.371,44.826,45.068,293790,13240527.72,,,,,
2020-10-01,45.068,45.431,45.007,45.25,264660,11975865.0,,,,,
2020-10-02,45.25,45.371,44.826,44.886,227290,10202138.94,,,,,
2020-10-05,44.886,45.068,44.765,44.947,358150,16097768.05,,,,,
2020-10-06,44.947,45.068,44.765,45.007,292970,13185700.79,,,,,
2020-10-07,45.007,45.007,44.644,44.826,242560,10872994.56,,,,,
2020-10-08,44.826,45.007,44.583,44.705,322770,14429432.85,,,,,
2020-10-09,44.705,45.007,44.159,44.523,266880,11882298.24,,,,,
2020-10-12,44.523,44.765,43.978,44.099,215630,9509067.37,,,,,
2020-10-13,44.099,44.341,43.675,43.735,334730,14639416.55,,,,,
2020-10-14,43.735,44.22,43.735,44.099,253810,11192767.19,,,,,
2020-10-15,44.099,44.22,43.372,43.614,282950,12340581.3,,,,,
2020-10-16,43.614,43.917,42.402,43.554,345160,15033098.64,,,,,
2020-10-19,43.554,44.22,43.554,44.099,405950,17901989.049999997,,,,,
2020-10-20,44.099,44.099,43.675,43.917,225660,9910310.22,,,,,
2020-10-21,43.917,44.159,43.614,43.675,357560,15616432.999999998,,,,,
2020-10-22,43.675,44.038,43.372,44.038,437230,19254734.74,,,,,
2020-10-23,44.038,44.705,44.038,44.523,461180,20533117.14,,,,,
2020-10-26,44.523,45.068,44.523,44.583,384310,17133692.73,,,,,
2020-10-27,44.462,44.462,43.796,43.978,338750,14897547.5,,,,,
2020-10-28,43.857,44.099,43.251,43.554,368740,16060101.96,,,,,
2020-10-29,43.433,43.857,42.766,42.766,308900,13210417.4,,,,,
2020-10-30,45.734,45.734,43.13,45.129,851700,38436369.3,,,,,
2020-11-02,45.129,45.553,45.068,45.553,463500,21113815.5,,,,,
2020-11-03,45.431,45.674,45.007,45.19,408710,18469604.9,,,,,
2020-11-04,45.068,45.614,44.886,44.886,468240,21017420.64,,,,,
2020-11-05,44.886,45.31,44.644,44.826,368900,16536311.4,,,,,
2020-11-06,44.826,45.431,44.583,44.947,389310,17498316.57,,,,,
2020-11-09,44.947,45.674,44.886,45.492,407990,18560281.08,,,,,
2020-11-10,45.492,45.674,45.25,45.431,304120,13816475.72,,,,,
2020-11-11,45.734,48.582,45.734,48.582,566220,27508100.04,,,,,
2020-11-12,48.763,49.793,48.702,49.55,475780,23574899.0,,,,,
2020-11-13,49.611,50.278,49.187,49.369,369970,18265048.93,,,,,
2020-11-16,49.248,49.732,48.521,49.126,420030,20634393.78,,,,,
2020-11-17,49.126,49.369,48.521,48.702,384540,18727867.08,,,,,
2020-11-18,48.702,49.369,48.521,49.248,3001870,147836093.76,,,,,
2020-11-19,49.187,52.458,49.126,52.458,3318800,174097610.4,,,,,
2020-11-20,52.458,52.458,52.095,52.216,3587180,187308190.88,,,,,
2020-11-23,52.095,52.216,51.429,52.216,3525450,184084897.2,,,,,
2020-11-24,52.216,52.337,51.61,51.67,3713010,191851226.7,,,,,
2020-11-25,51.67,52.64,51.67,52.579,4008790,210778169.41,,,,,
2020-11-26,52.579,52.64,52.155,52.64,3912340,205945577.6,,,,,
2020-11-27,52.701,56.274,52.277,55.972,4130530,231194025.16,,,,,
2020-11-30,55.972,55.972,54.699,54.882,978710,53713562.22,,,,,
2020-12-01,53.488,54.699,52.882,53.973,2013750,108688128.75,,,,,
2020-12-02,53.791,54.699,52.579,54.639,1913650,104559922.35,,,,,
2020-12-03,54.639,54.882,53.912,54.397,1809640,98438987.08,,,,,
2020-12-04,54.397,54.76,54.094,54.458,1272320,69288002.56,,,,,
2020-12-07,54.639,55.002,54.518,54.578,727390,39699491.42,,,,,
2020-12-08,54.578,54.882,54.215,54.458,603600,32870848.8,,,,,
2020-12-09,54.458,54.699,54.275,54.397,566410,30811004.77,,,,,
2020-12-10,54.76,54.821,53.912,53.912,643420,34688059.04,,,,,
2020-12-11,53.851,53.851,52.701,53.306,553190,29488346.14,,,,,
2020-12-14,53.427,54.154,53.427,54.154,632320,34242657.28,,,,,
2020-12-15,54.336,54.336,53.67,53.791,527030,28349470.73,,,,,
2020-12-16,53.912,53.912,51.186,51.67,564380,29161514.6,,,,,
2020-12-17,51.489,51.61,49.066,49.611,530780,26332526.58,,,,,
2020-12-18,49.55,49.55,46.158,46.158,570900,26351602.2,,,,,
2020-12-21,46.34,48.582,46.34,48.278,658500,31791063.0,,,,,
2020-12-22,48.278,48.46,46.886,47.067,510100,24008876.7,,,,,
2020-12-23,47.067,47.128,45.431,45.674,447710,20448706.54,,,,,
2020-12-24,45.734,45.855,44.038,44.705,430610,19250420.05,,,,,
2020-12-25,44.826,46.219,44.826,46.219,508980,23524546.62,,,,,
2020-12-28,46.219,46.582,45.734,45.977,477120,21936546.24,,,,,
2020-12-29,45.977,45.977,44.826,45.129,502260,22666491.54,,,,,
2020-12-30,45.19,45.795,45.068,45.068,546080,24610733.44,,,,,
