time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-08-02,4.254,4.254,4.254,4.254,100,425.4,,,,,,,,
2017-08-03,4.862,4.862,4.862,4.862,200,972.4,,,,,,,,
2017-08-04,5.591,5.591,5.591,5.591,100,559.1,,,,,,,,
2017-08-07,6.381,6.381,6.381,6.381,100,638.1,,,,,,,,
2017-08-08,7.293,7.293,7.293,7.293,20000,145860.0,,,,,,,,
2017-08-09,8.386,8.386,8.386,8.386,56000,469616.0,,,,,,,,
2017-08-10,9.602,9.602,9.602,9.602,51700,496423.4,,,,,,,,
2017-08-11,10.999,10.999,10.999,10.999,138500,1523361.5,,,,,,,,
2017-08-14,12.64,12.64,11.304,12.64,638100,8065584.0,,,,,,,,
2017-08-15,14.404,14.404,11.547,12.64,177150,2239176.0,,,,,,,,
2017-08-16,12.094,12.276,11.061,11.061,204400,2260868.4,,,,,,,,
2017-08-17,9.723,10.332,9.723,9.846,441900,4350947.4,,,,,,,,
2017-08-18,10.332,11.243,8.569,11.243,1721100,19350327.3,,,,,,,,
2017-08-21,12.763,12.763,12.702,12.763,1140210,14552500.23,,,,,,,,
2017-08-22,14.525,14.646,14.525,14.646,976000,14294496.0,,,,,,,,
2017-08-23,16.712,16.834,15.254,16.834,821800,13834181.2,,,,,,,,
2017-08-24,19.265,19.325,18.839,19.325,910610,17597538.25,,,,,,,,
2017-08-25,22.182,22.182,20.663,22.182,1393170,30903296.94,,,,,,,,
2017-08-28,25.403,25.403,18.839,18.839,3308079,62320900.281,,,,,,,,
2017-08-29,18.657,18.657,18.657,18.657,98815,1843591.455,,,,,,,,
2017-08-30,15.862,18.232,15.862,15.862,2765970,43873816.14,,,,,,,,
2017-08-31,15.922,17.746,13.553,13.795,1673700,23088691.5,,,,,,,,
2017-09-01,14.585,16.47,12.763,16.47,1422124,23422382.28,,,,,,,,
2017-09-05,18.232,18.353,13.735,13.917,2776100,38634983.7,,,,,,,,
2017-09-06,15.071,15.071,13.553,13.553,1714130,23231603.89,,,,,,,,
2017-09-07,13.553,14.281,11.851,12.215,856380,10460681.7,,,,,,,,
2017-09-08,12.154,13.674,11.243,12.154,663020,8058345.08,,,,,,,,
2017-09-11,13.37,13.795,12.763,13.795,590736,8149203.12,,,,,,,,
2017-09-12,14.099,15.436,13.613,13.978,965320,13493242.96,,,,,,,,
2017-09-13,14.281,14.464,13.249,13.431,353280,4744903.68,,,,,,,,
2017-09-14,13.613,14.039,13.127,13.856,418800,5802892.8,,,,,,,,
2017-09-15,13.978,14.281,13.613,13.917,339620,4726491.54,,,,,,,,
2017-09-18,13.856,14.099,13.491,13.674,514360,7033358.64,,,,,,,,
2017-09-19,13.674,13.735,12.884,13.127,510191,6697277.257,,,,,,,,
2017-09-20,13.066,14.039,13.005,13.674,426500,5831961.0,,,,,,,,
2017-09-21,13.674,13.978,13.491,13.613,280550,3819127.15,,,,,,,,
2017-09-22,13.674,13.735,13.249,13.249,391620,5188573.38,,,,,,,,
2017-09-25,13.309,13.309,12.58,12.58,487330,6130611.4,,,,,,,,
2017-09-26,12.763,12.823,12.276,12.337,401366,4951652.342,,,,,,,,
2017-09-27,12.458,12.945,12.215,12.458,177527,2211631.366,,,,,,,,
2017-09-28,12.337,12.64,12.215,12.215,240010,2931722.15,,,,,,,,
2017-09-29,12.154,12.398,11.729,11.851,271340,3215650.3400000003,,,,,,,,
2017-10-02,11.972,11.972,11.122,11.122,518200,5763420.4,,,,,,,,
2017-10-03,11.243,11.243,10.574,10.757,435787,4687760.759,,,,,,,,
2017-10-04,10.757,12.398,10.696,12.398,449704,5575430.192,,,,,,,,
2017-10-05,13.613,13.613,12.884,13.613,746658,10164255.354,,,,,,,,
2017-10-06,13.613,15.557,12.763,15.557,1561446,24291415.422,,,,,,,,
2017-10-09,16.044,16.712,13.37,14.221,656710,9339072.91,,,,,,,,
2017-10-10,13.735,15.193,13.37,13.553,607604,8234857.012,,,,,,,,
2017-10-11,13.066,15.193,13.066,14.16,976800,13831488.0,,,,,,,,
2017-10-12,14.281,14.525,13.674,13.917,757150,10537256.55,,,,,,,,
2017-10-13,14.099,14.099,13.553,13.735,222080,3050268.8,,,,,,,,
2017-10-16,13.735,14.281,13.553,13.795,264670,3651122.65,,,,,,,,
2017-10-17,13.978,14.646,13.735,14.342,593336,8509624.912,,,,,,,,
2017-10-18,14.95,15.193,13.917,13.917,496897,6915315.549,,,,,,,,
2017-10-19,14.099,14.281,13.553,13.674,584650,7994504.1,,,,,,,,
2017-10-20,13.735,13.856,13.005,13.127,466988,6130151.476000001,,,,,,,,
2017-10-23,13.37,13.37,11.972,11.972,515610,6172882.92,,,,,,,,
2017-10-24,12.154,12.154,11.304,12.154,352100,4279423.4,,,,,,,,
2017-10-25,12.094,12.884,11.972,12.398,383970,4760460.06,,,,,,,,
2017-10-26,12.64,12.64,11.364,11.364,507100,5762684.4,,,,,,,,
2017-10-27,12.552,13.64,12.468,13.64,179010,2441696.4,,,,,,,,
2017-10-30,15.564,15.648,14.058,14.225,882420,12552424.5,,,,,,,,
2017-10-31,14.058,14.225,13.221,13.389,357480,4786299.72,,,,,,,,
2017-11-01,13.137,13.389,12.133,12.384,283728,3513687.552,,,,,,,,
2017-11-02,12.05,13.221,11.882,11.882,353420,4199336.44,,,,,,,,
2017-11-03,12.468,13.974,11.882,13.891,476940,6625173.54,,,,,,,,
2017-11-06,13.389,14.058,13.137,13.137,306010,4020053.37,,,,,,,,
2017-11-07,13.221,13.221,12.552,12.719,245320,3120225.08,,,,,,,,
2017-11-08,12.384,13.389,12.301,12.719,335210,4263535.99,,,,,,,,
2017-11-09,13.054,13.054,12.384,12.468,199004,2481181.872,,,,,,,,
2017-11-10,12.468,13.137,12.217,12.803,507993,6503834.379000001,,,,,,,,
2017-11-13,12.552,12.803,12.05,12.133,343444,4167006.052,,,,,,,,
2017-11-14,12.217,12.468,11.715,11.966,276880,3313146.08,,,,,,,,
2017-11-15,11.966,13.723,11.715,13.723,2119260,29082604.98,,,,,,,,
2017-11-16,14.393,14.56,13.221,13.807,721386,9960176.502,,,,,,,,
2017-11-17,13.556,13.64,12.719,12.719,298210,3792932.99,,,,,,,,
2017-11-20,12.803,13.389,12.05,13.389,1497030,20043734.67,,,,,,,,
2017-11-21,13.221,13.389,12.719,13.137,509390,6691856.430000001,,,,,,,,
2017-11-22,13.221,13.221,12.133,12.384,793825,9830728.8,,,,,,,,
2017-11-23,12.552,12.97,12.133,12.301,814770,10022485.77,,,,,,,,
2017-11-24,12.468,12.886,12.217,12.635,1380103,17437601.405,,,,,,,,
2017-11-27,12.97,14.476,12.384,14.476,2436341,35268472.316,,,,,,,,
2017-11-28,14.476,15.146,13.891,14.727,1441873,21234463.671,,,,,,,,
2017-11-29,14.644,14.727,13.389,13.556,389783,5283898.347999999,,,,,,,,
2017-11-30,13.472,13.472,11.882,12.301,3064320,37694200.32,,,,,,,,
2017-12-01,12.384,12.97,11.631,12.133,1129200,13700583.6,,,,,,,,
2017-12-04,12.217,12.719,12.133,12.301,394100,4847824.1,,,,,,,,
2017-12-05,12.217,12.468,12.05,12.133,460000,5581180.0,,,,,,,,
2017-12-06,12.301,12.301,11.631,12.05,474319,5715543.95,,,,,,,,
2017-12-07,12.217,12.301,11.966,12.133,284910,3456813.03,,,,,,,,
2017-12-08,12.133,12.301,12.05,12.133,214940,2607867.02,,,,,,,,
2017-12-11,12.05,12.133,11.799,11.882,218913,2601124.266,,,,,,,,
2017-12-12,11.966,12.05,11.548,11.882,426400,5066484.8,,,,,,,,
2017-12-13,12.05,12.05,11.715,11.799,120450,1421189.55,,,,,,,,
2017-12-14,11.966,11.966,11.631,11.715,206450,2418561.75,,,,,,,,
2017-12-15,11.966,11.966,11.631,11.799,165547,1953289.053,,,,,,,,
2017-12-18,11.882,11.966,11.715,11.966,229916,2751174.856,,,,,,,,
2017-12-19,11.966,11.966,11.631,11.631,273220,3177821.82,,,,,,,,
2017-12-20,11.715,11.715,11.464,11.631,232970,2709674.07,,,,,,,,
2017-12-21,11.631,11.715,11.213,11.213,283300,3176642.9,,,,,,,,
2017-12-22,11.297,11.297,10.878,11.046,273470,3020749.62,,,,,,,,
2017-12-25,11.129,11.129,10.543,10.711,238110,2550396.21,,,,,,,,
2017-12-26,10.794,10.794,10.292,10.46,326446,3414625.16,,,,,,,,
2017-12-27,10.46,10.46,9.707,9.958,346150,3446961.7,,,,,,,,
2017-12-28,9.623,10.878,8.619,10.125,2345683,23750040.375,,,,,,,,
2017-12-29,10.209,10.962,10.209,10.878,1054843,11474582.154,,,,,,,,
2018-01-02,10.878,11.213,10.627,10.711,837682,8972411.902,30080.0,130.0,380000.0,0.0,,0.66,0.38,0.0
2018-01-03,10.711,10.878,10.209,10.376,1248703,12956542.328,12800.0,1250.0,160000.0,20000.0,,0.66,0.16,0.02
2018-01-04,10.46,10.627,10.209,10.292,670215,6897852.78,3080.0,0.0,40000.0,0.0,,0.66,0.04,0.0
2018-01-05,10.292,10.376,9.958,10.209,1246731,12727876.779,9150.0,0.0,110000.0,0.0,,0.66,0.11,0.0
2018-01-08,10.209,10.209,9.707,9.707,703767,6831466.269,4550.0,0.0,50000.0,0.0,,0.66,0.05,0.0
2018-01-09,9.79,10.376,9.623,10.125,753432,7628499.0,3241.0,0.0,40000.0,0.0,,0.66,0.04,0.0
2018-01-10,10.292,10.878,10.041,10.292,1335996,13750070.832,10000.0,0.0,120000.0,0.0,,0.66,0.12,0.0
2018-01-11,10.46,10.627,9.958,10.125,633560,6414795.0,9000.0,0.0,110000.0,0.0,,0.66,0.11,0.0
2018-01-12,10.125,10.711,9.958,10.376,1636910,16984578.16,15100.0,200.0,190000.0,0.0,,0.66,0.19,0.0
2018-01-15,10.376,10.46,10.125,10.209,304470,3108334.23,1259.0,0.0,20000.0,0.0,,0.66,0.02,0.0
2018-01-16,10.376,10.376,10.125,10.209,361667,3692258.403,10.0,0.0,0.0,0.0,,0.66,0.0,0.0
2018-01-17,10.209,10.292,9.79,9.79,1791260,17536435.4,3200.0,0.0,40000.0,0.0,,0.66,0.04,0.0
2018-01-18,9.79,9.958,9.623,9.623,735855,7081132.664999999,0.0,0.0,0.0,0.0,,0.66,0.0,0.0
2018-01-19,9.79,10.292,9.623,9.958,864049,8604199.942,4100.0,800.0,50000.0,10000.0,,0.66,0.05,0.01
2018-01-22,10.125,10.46,9.79,9.958,824981,8215160.798,400.0,0.0,0.0,0.0,,0.66,0.0,0.0
2018-01-23,10.041,10.292,9.874,10.041,924200,9279892.2,6600.0,0.0,80000.0,0.0,,0.66,0.08,0.0
2018-01-24,9.958,10.125,9.874,9.958,629380,6267366.04,8400.0,0.0,100000.0,0.0,,0.66,0.1,0.0
2018-01-25,9.874,10.041,9.707,9.79,541366,5299973.14,1800.0,0.0,20000.0,0.0,,0.66,0.02,0.0
2018-01-26,9.79,9.874,9.539,9.623,579944,5580801.112,400.0,100.0,0.0,0.0,,0.66,0.0,0.0
2018-01-29,9.623,9.707,9.121,9.121,726370,6625220.7700000005,300.0,0.0,0.0,0.0,,0.66,0.0,0.0
2018-01-30,9.205,9.372,9.037,9.121,288600,2632320.6,1200.0,0.0,10000.0,0.0,,0.66,0.01,0.0
2018-01-31,9.121,9.288,9.037,9.037,213070,1925513.59,0.0,500.0,0.0,10000.0,,0.66,0.0,0.01
2018-02-01,9.205,9.205,8.703,8.786,503909,4427344.473999999,100.0,0.0,0.0,0.0,,0.66,0.0,0.0
