time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-01-04,36.264,36.264,36.264,36.264,12000,435168.00000000006,0.0,0.0,0.0,0.0,,45.85,0.0,0.0
2018-01-05,38.749,38.749,38.749,38.749,8700,337116.30000000005,0.0,0.0,0.0,0.0,,45.85,0.0,0.0
2018-01-08,41.435,41.435,41.435,41.435,150720,6245083.2,0.0,0.0,0.0,0.0,,45.85,0.0,0.0
2018-01-09,44.323,44.323,44.323,44.323,223230,9894223.29,17060.0,0.0,1130000.0,0.0,,45.85,1.13,0.0
2018-01-10,47.412,47.412,47.412,47.412,173190,8211284.28,0.0,0.0,0.0,0.0,,45.85,0.0,0.0
2018-01-11,45.666,47.412,44.121,44.121,203460,8976858.66,33740.0,0.0,2330000.0,0.0,,45.85,2.33,0.0
2018-01-12,46.338,46.338,43.651,44.323,234850,10409256.55,180250.0,0.0,11730000.0,0.0,,45.85,11.73,0.0
2018-01-15,44.323,44.659,42.913,43.181,63550,2744152.55,1000.0,0.0,60000.0,0.0,,45.85,0.06,0.0
2018-01-16,42.375,43.047,41.905,43.047,126190,5432100.93,2000.0,2100.0,120000.0,130000.0,,45.85,0.12,0.13
2018-01-17,44.323,44.994,43.651,43.786,106720,4672841.92,7000.0,2000.0,0.0,0.0,,45.85,0.0,0.0
2018-01-18,43.651,43.651,41.502,43.45,118340,5141873.0,4080.0,0.0,260000.0,0.0,,45.85,0.26,0.0
2018-01-19,43.45,43.853,42.308,43.584,159450,6949468.800000001,0.0,0.0,0.0,0.0,,45.85,0.0,0.0
2018-01-22,43.584,44.659,43.584,44.457,295680,13145045.76,201590.0,0.0,13350000.0,0.0,,45.85,13.35,0.0
2018-01-25,44.994,44.994,43.651,44.659,278640,12443783.76,195340.0,0.0,12820000.0,0.0,,45.85,12.82,0.0
2018-01-26,44.793,44.86,44.323,44.591,163520,7291520.32,30213.0,0.0,20090000.0,0.0,,45.85,20.09,0.0
2018-01-29,42.308,44.524,42.174,44.189,269020,11887724.78,22000.0,0.0,1410000.0,0.0,,45.85,1.41,0.0
2018-01-30,42.98,44.189,42.644,43.718,354390,15493222.02,43671.0,0.0,28350000.0,0.0,,45.85,28.35,0.0
2018-01-31,44.994,44.994,44.121,44.256,116870,5172198.72,0.0,0.0,0.0,0.0,,45.85,0.0,0.0
2018-02-01,44.659,46.203,44.323,46.203,471760,21796727.28,306750.0,11150.0,20730000.0,760000.0,,45.85,20.73,0.76
2018-02-02,47.009,47.009,46.203,46.808,322370,15089494.96,0.0,0.0,0.0,0.0,,45.85,0.0,0.0
2018-02-05,46.539,46.539,45.8,46.069,193730,8924947.370000001,101500.0,8850.0,6970000.0,610000.0,,45.85,6.97,0.61
2018-02-06,43.651,44.86,42.845,43.181,280640,12118315.84,46030.0,3060.0,2960000.0,200000.0,,45.85,2.96,0.2
2018-02-07,44.524,44.659,43.718,44.659,252300,11267465.7,103000.0,0.0,6740000.0,0.0,,45.85,6.74,0.0
2018-02-08,44.659,45.33,43.987,44.994,186020,8369783.88,0.0,0.0,0.0,0.0,,45.85,0.0,0.0
2018-02-09,43.651,44.189,42.98,44.054,175110,7714295.94,41000.0,0.0,2690000.0,0.0,,45.85,2.69,0.0
2018-02-12,44.659,46.942,44.591,45.062,135440,6103197.279999999,0.0,0.0,0.0,0.0,,45.85,0.0,0.0
2018-02-13,46.338,46.338,45.196,45.599,122540,5587701.46,28000.0,0.0,1890000.0,0.0,,45.85,1.89,0.0
2018-02-21,46.002,48.352,46.002,47.815,179470,8581358.049999999,14700.0,0.0,1040000.0,0.0,,45.85,1.04,0.0
2018-02-22,48.352,48.352,47.009,47.882,161180,7717620.76,200.0,500.0,10000.0,40000.0,,45.85,0.01,0.04
2018-02-23,48.352,48.352,48.016,48.352,172900,8360060.8,8870.0,0.0,640000.0,0.0,,45.85,0.64,0.0
2018-02-26,48.352,49.427,47.681,48.352,145310,7026029.119999999,11100.0,0.0,800000.0,0.0,,45.85,0.8,0.0
2018-02-27,48.487,48.487,47.748,48.084,159690,7678533.960000001,57420.0,5000.0,4110000.0,360000.0,,45.85,4.11,0.36
2018-02-28,48.084,48.084,47.815,48.084,198250,9532653.0,87860.0,11500.0,6280000.0,820000.0,,45.85,6.28,0.82
2018-03-01,48.352,48.487,48.084,48.352,422090,20408895.68,152000.0,2220.0,10930000.0,160000.0,,45.85,10.93,0.16
