time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2017-12-28,13.376,13.376,13.376,13.376,20000,267520.0,,,,,
2017-12-29,14.539,14.539,14.539,14.539,30000,436170.0,,,,,
2018-01-02,15.12,15.12,15.12,15.12,99000,1496880.0,,,,,
2018-01-03,15.12,15.12,15.12,15.12,0,0.0,,,,,
2018-01-04,14.829,14.829,14.829,14.829,50000,741450.0,,,,,
2018-01-05,14.829,14.829,14.829,14.829,100000,1482900.0,,,,,
2018-01-08,15.411,15.411,14.655,14.655,38800,568614.0,,,,,
2018-01-09,15.12,15.12,13.957,13.957,73000,1018861.0,,,,,
2018-01-10,14.248,14.248,14.248,14.248,20000,284960.0,,,,,
2018-01-11,14.248,14.248,14.248,14.248,0,0.0,,,,,
2018-01-12,14.539,14.539,14.539,14.539,50000,726950.0,,,,,
2018-01-15,16.69,16.69,15.469,15.469,30500,471804.5,,,,,
2018-01-16,14.248,14.248,14.248,14.248,50000,712400.0,,,,,
2018-01-17,14.248,14.248,14.248,14.248,50000,712400.0,,,,,
2018-01-18,14.248,14.248,14.248,14.248,50000,712400.0,,,,,
2018-01-19,14.248,14.248,14.248,14.248,70000,997360.0,,,,,
2018-01-22,14.248,14.248,14.248,14.248,10000,142480.0,,,,,
2018-01-23,14.539,14.539,14.539,14.539,150000,2180850.0,,,,,
2018-01-24,14.713,15.353,14.713,15.353,28500,437560.5,,,,,
2018-01-25,15.411,15.644,15.411,15.644,45400,710237.6,,,,,
2018-01-26,16.283,16.283,14.132,14.422,65200,940314.4,,,,,
2018-01-29,14.19,14.364,14.19,14.364,45000,646380.0,,,,,
2018-01-30,14.015,14.015,13.957,13.957,42200,588985.4,,,,,
2018-01-31,13.841,14.306,13.841,14.306,58800,841192.7999999999,,,,,
2018-02-01,14.364,14.364,14.364,14.364,45400,652125.6,,,,,
2018-02-02,14.015,14.015,14.015,14.015,66800,936202.0,,,,,
2018-02-05,14.073,15.12,14.073,14.19,51000,723690.0,,,,,
2018-02-06,13.376,13.376,13.085,13.085,73500,961747.5,,,,,
2018-02-07,13.259,13.55,13.259,13.55,72300,979665.0,,,,,
2018-02-08,13.376,13.376,13.259,13.376,59000,789184.0,,,,,
2018-02-09,13.085,13.317,13.085,13.317,66400,884248.8,,,,,
2018-02-12,13.201,13.376,13.201,13.376,52600,703577.6,,,,,
2018-02-13,13.143,13.434,13.085,13.434,60200,808726.7999999999,,,,,
2018-02-21,13.201,13.376,13.201,13.376,36300,485548.8,,,,,
2018-02-22,13.085,13.434,13.085,13.434,49900,670356.6,,,,,
2018-02-23,13.143,13.434,13.143,13.434,59400,797979.6,,,,,
2018-02-26,13.434,13.492,13.434,13.492,52800,712377.6000000001,,,,,
2018-02-27,13.376,13.492,13.376,13.492,54000,728568.0,,,,,
2018-02-28,13.492,13.55,13.492,13.55,30200,409210.0,,,,,
2018-03-01,13.259,13.666,13.259,13.666,40400,552106.4,,,,,
2018-03-02,13.317,13.376,13.259,13.376,39300,525676.7999999999,,,,,
2018-03-05,13.259,13.725,13.259,13.376,46800,625996.7999999999,,,,,
2018-03-06,13.376,13.434,13.376,13.434,54000,725436.0,,,,,
2018-03-07,13.376,13.434,13.259,13.259,46900,621847.1,,,,,
2018-03-08,13.317,13.317,13.259,13.259,24300,322193.7,,,,,
2018-03-09,13.259,13.317,13.259,13.317,49600,660523.2,,,,,
2018-03-12,13.259,13.376,13.259,13.376,36000,481536.0,,,,,
2018-03-13,13.259,13.376,13.259,13.376,42900,573830.4,,,,,
2018-03-14,13.317,13.376,13.317,13.376,76700,1025939.2,,,,,
