time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,2.676,2.748,2.676,2.748,1600,4396.8,,,,,
2013-01-03,2.748,2.748,2.748,2.748,100,274.8,,,,,
2013-01-04,2.676,2.676,2.676,2.676,700,1873.2,,,,,
2013-01-07,2.641,2.676,2.641,2.676,800,2140.8,,,,,
2013-01-08,2.676,2.676,2.676,2.676,500,1338.0,,,,,
2013-01-09,2.676,2.676,2.676,2.676,3000,8028.000000000001,,,,,
2013-01-10,2.605,2.605,2.605,2.605,1000,2605.0,,,,,
2013-01-11,2.605,2.605,2.605,2.605,4600,11983.0,,,,,
2013-01-14,2.605,2.605,2.498,2.498,3700,9242.6,,,,,
2013-01-15,2.498,2.676,2.462,2.676,12100,32379.6,,,,,
2013-01-16,2.676,2.676,2.676,2.676,0,0.0,,,,,
2013-01-17,2.676,2.676,2.676,2.676,0,0.0,,,,,
2013-01-18,2.676,2.676,2.676,2.676,0,0.0,,,,,
2013-01-21,2.676,2.676,2.676,2.676,0,0.0,,,,,
2013-01-22,2.676,2.676,2.676,2.676,0,0.0,,,,,
2013-01-23,2.534,2.534,2.498,2.498,6200,15487.600000000002,,,,,
2013-01-24,2.498,2.498,2.498,2.498,4800,11990.4,,,,,
2013-01-25,2.498,2.569,2.498,2.569,17000,43673.0,,,,,
2013-01-28,2.569,2.676,2.569,2.676,54100,144771.6,,,,,
2013-01-29,2.712,2.783,2.676,2.783,3200,8905.6,,,,,
2013-01-30,2.819,2.89,2.819,2.819,5100,14376.9,,,,,
2013-01-31,2.819,2.855,2.783,2.783,1300,3617.9,,,,,
2013-02-01,2.819,2.819,2.819,2.819,1000,2819.0,,,,,
2013-02-04,2.676,2.855,2.676,2.855,700,1998.5,,,,,
2013-02-05,2.855,2.855,2.855,2.855,0,0.0,,,,,
2013-02-06,2.819,2.855,2.819,2.855,2400,6852.0,,,,,
2013-02-07,2.819,2.819,2.819,2.819,2000,5638.0,,,,,
2013-02-08,2.783,2.997,2.783,2.997,3600,10789.2,,,,,
2013-02-18,2.89,2.962,2.89,2.962,300,888.6,,,,,
