time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2021-09-08,11.0,11.0,11.0,11.0,0,0.0,,,,,
2021-09-09,11.0,11.0,11.0,11.0,0,0.0,,,,,
2021-09-10,11.0,11.0,11.0,11.0,0,0.0,,,,,
2021-09-13,11.0,11.0,11.0,11.0,0,0.0,,,,,
2021-09-14,11.0,11.0,11.0,11.0,0,0.0,,,,,
2021-09-15,11.0,11.0,11.0,11.0,0,0.0,,,,,
2021-09-16,15.4,15.4,15.4,15.4,1800,27720.0,,,,,
2021-09-17,17.7,17.7,17.7,17.7,114900,2033730.0,,,,,
2021-09-20,20.3,20.3,18.8,18.9,658100,12438089.999999998,,,,,
2021-09-21,19.3,20.4,18.5,18.6,760800,14150880.000000002,,,,,
2021-09-22,18.0,18.0,16.8,16.8,350800,5893440.0,,,,,
2021-09-23,16.8,16.8,15.2,15.4,104100,1603140.0,,,,,
2021-09-24,15.7,15.7,14.7,15.1,72900,1100790.0,,,,,
2021-09-27,15.1,15.6,15.0,15.5,291900,4524450.0,,,,,
2021-09-28,15.5,15.7,15.5,15.6,189300,2953080.0,,,,,
2021-09-29,15.7,16.0,15.5,15.9,199200,3167280.0,,,,,
2021-09-30,15.9,16.0,15.6,15.7,57000,894900.0,,,,,
2021-10-01,15.8,15.8,15.4,15.5,168600,2613300.0,,,,,
2021-10-04,15.4,15.4,15.0,15.1,141000,2129100.0,,,,,
2021-10-05,15.0,15.4,15.0,15.2,322500,4902000.0,,,,,
2021-10-06,15.0,15.4,15.0,15.3,172000,2631600.0,,,,,
2021-10-07,15.3,15.5,15.2,15.4,155900,2400860.0,,,,,
2021-10-08,15.4,15.4,15.0,15.1,91600,1383160.0,,,,,
2021-10-11,15.2,15.2,15.0,15.0,347800,5217000.0,,,,,
2021-10-12,15.1,15.1,14.7,15.0,201200,3018000.0,,,,,
2021-10-13,17.0,17.0,14.9,15.1,172200,2600220.0,,,,,
2021-10-14,15.1,15.2,15.0,15.1,113000,1706300.0,,,,,
2021-10-15,15.1,15.3,15.0,15.0,172300,2584500.0,,,,,
2021-10-18,15.2,15.2,14.9,15.0,90400,1356000.0,,,,,
2021-10-19,15.1,15.2,15.0,15.0,99700,1495500.0,,,,,
2021-10-20,15.1,15.1,15.0,15.0,116400,1746000.0,,,,,
2021-10-21,15.1,15.1,14.7,15.0,94800,1422000.0,,,,,
2021-10-22,15.0,15.3,15.0,15.2,106800,1623360.0,,,,,
2021-10-25,15.2,15.5,14.9,15.1,494900,7472990.0,,,,,
2021-10-26,15.2,15.3,15.0,15.1,319400,4822940.0,,,,,
2021-10-27,15.1,15.2,14.9,15.0,287500,4312500.0,,,,,
2021-10-28,15.0,15.1,14.8,14.9,265500,3955950.0,,,,,
2021-10-29,15.0,15.0,14.6,14.7,280400,4121880.0,,,,,
2021-11-01,14.7,14.9,14.7,14.8,437200,6470560.0,,,,,
2021-11-02,14.8,14.8,14.3,14.4,404700,5827680.0,,,,,
2021-11-03,14.4,14.4,14.1,14.4,298000,4291200.0,,,,,
2021-11-04,14.3,14.5,14.3,14.4,294200,4236480.0,,,,,
2021-11-05,14.5,14.7,14.5,14.6,246700,3601820.0,,,,,
2021-11-08,14.6,14.7,14.5,14.6,430200,6280920.0,,,,,
2021-11-09,14.6,15.1,14.6,14.9,582300,8676270.0,,,,,
2021-11-10,15.0,15.1,14.6,14.8,347900,5148920.0,,,,,
2021-11-11,14.6,14.8,14.2,14.5,455300,6601850.0,,,,,
2021-11-12,14.5,14.6,14.2,14.4,505200,7274880.0,,,,,
2021-11-15,14.4,14.5,14.3,14.5,307300,4455850.0,,,,,
2021-11-16,14.3,14.7,14.3,14.6,548200,8003720.0,,,,,
2021-11-17,14.0,14.7,14.0,14.6,358500,5234100.0,,,,,
2021-11-18,14.5,14.6,14.2,14.4,508300,7319520.0,,,,,
2021-11-19,14.4,14.5,13.9,14.0,323300,4526200.0,,,,,
2021-11-22,14.1,14.3,13.4,13.6,490000,6664000.0,,,,,
2021-11-23,13.5,13.6,13.0,13.1,367900,4819490.0,,,,,
2021-11-24,13.0,13.4,12.9,13.1,324600,4252260.0,,,,,
2021-11-25,13.1,13.3,13.1,13.2,377400,4981680.0,,,,,
2021-11-26,13.2,13.3,12.9,13.2,393100,5188920.0,,,,,
2021-11-29,13.1,13.2,12.8,12.8,421600,5396480.0,,,,,
2021-11-30,12.8,13.1,12.6,12.6,324300,4086180.0,,,,,
2021-12-01,12.8,13.0,12.8,12.8,340000,4352000.0,,,,,
2021-12-02,12.8,13.0,12.7,12.8,327800,4195840.0,,,,,
2021-12-03,12.8,13.0,12.6,12.7,382200,4853940.0,,,,,
2021-12-06,12.7,12.8,11.8,11.8,211500,2495700.0,,,,,
2021-12-07,12.2,12.5,11.7,12.0,171300,2055600.0,,,,,
2021-12-08,12.0,12.2,11.6,11.9,172700,2055130.0,,,,,
