time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-02-21,27.069,27.069,22.863,22.863,81200,1856475.6,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-02-22,23.777,23.777,22.863,22.863,28900,660740.7,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-02-23,23.046,23.046,20.485,21.034,37800,795085.2,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-02-26,20.119,22.223,18.29,20.942,21100,441876.2,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-02-27,22.68,22.68,18.29,21.948,34700,761595.6,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-02-28,18.656,20.119,18.656,20.119,2300,46273.7,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-01,20.119,20.302,19.205,20.302,21100,428372.2,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-02,20.028,20.028,18.747,19.753,24900,491849.7,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-05,19.388,19.662,19.205,19.479,35500,691504.5,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-06,20.576,20.576,18.747,19.845,4200,83349.0,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-07,18.747,18.747,18.29,18.473,3000,55419.0,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-08,19.205,19.205,19.205,19.205,2100,40330.5,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-09,19.205,19.205,16.461,19.113,36700,701447.1,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-12,18.29,19.113,17.833,18.747,7000,131229.0,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-13,18.29,18.29,17.559,18.107,15100,273415.7,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-14,17.467,18.016,17.193,17.193,11700,201158.1,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-15,16.736,17.833,16.461,17.65,29700,524205.0,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-16,19.113,19.662,17.833,18.29,33500,612715.0,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-19,18.473,19.388,18.473,19.388,14000,271432.0,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
2018-03-20,18.29,19.113,17.467,18.29,101100,1849119.0,0.0,0.0,0.0,0.0,,0.96,0.0,0.0
