time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-03-01,28.934,28.934,26.993,28.934,14162900,409789348.6,190200.0,3946300.0,5800000.0,121170000.0,,1.62,5.8,121.17
2018-03-02,30.598,31.245,28.657,28.934,7695417,222659195.478,199410.0,1732300.0,6530000.0,55930000.0,,1.62,6.53,55.93
2018-03-05,30.506,30.506,28.565,28.657,4083263,117014067.791,1602300.0,410000.0,50200000.0,12880000.0,,1.62,50.2,12.88
2018-03-06,28.657,29.119,27.733,28.565,3132026,89466322.69,122200.0,145000.0,3770000.0,4480000.0,,1.62,3.77,4.48
2018-03-07,28.38,29.119,27.363,27.64,2770016,76563242.24,12300.0,702500.0,380000.0,21350000.0,,1.62,0.38,21.35
2018-03-08,28.01,28.01,25.884,26.346,2383360,62792002.56,52200.0,54200.0,1490000.0,1550000.0,,1.62,1.49,1.55
2018-03-09,26.253,27.917,26.253,26.808,3008463,80650876.104,0.0,502600.0,0.0,14620000.0,,1.62,0.0,14.62
2018-03-12,27.27,27.455,25.884,26.438,1896730,50145747.74,0.0,240400.0,0.0,6890000.0,,1.62,0.0,6.89
2018-03-13,26.716,26.716,25.699,25.884,1469970,38048703.48,2000.0,5000.0,60000.0,140000.0,,1.62,0.06,0.14
2018-03-14,25.884,25.884,23.85,24.497,5329546,130557888.362,604900.0,2596400.0,16010000.0,68550000.0,,1.62,16.01,68.55
2018-03-15,24.682,25.791,23.942,24.959,2586788,64563641.692,4000.0,520000.0,110000.0,14120000.0,,1.62,0.11,14.12
2018-03-16,25.052,25.421,24.774,24.959,1213193,30280084.087,30500.0,484000.0,820000.0,13080000.0,,1.62,0.82,13.08
2018-03-19,25.052,25.144,23.942,24.035,2111480,50749421.8,7500.0,269500.0,200000.0,7090000.0,,1.62,0.2,7.09
2018-03-20,24.035,25.606,23.573,25.237,3150487,79508840.419,117500.0,346500.0,3170000.0,9380000.0,,1.62,3.17,9.38
2018-03-21,25.421,25.606,25.144,25.329,1270380,32177455.02,108800.0,124200.0,2990000.0,3410000.0,,1.62,2.99,3.41
2018-03-22,25.421,25.514,24.682,24.867,1199547,29829135.249,90000.0,83500.0,2430000.0,2270000.0,,1.62,2.43,2.27
2018-03-23,24.59,24.59,23.665,24.312,1506200,36618734.4,79300.0,89200.0,2080000.0,2340000.0,,1.62,2.08,2.34
2018-03-26,24.22,24.867,23.942,24.035,916293,22023102.255,150400.0,84700.0,3950000.0,2230000.0,,1.62,3.95,2.23
2018-03-27,24.035,24.682,24.035,24.127,1025820,24749959.14,7800.0,37000.0,200000.0,970000.0,,1.62,0.2,0.97
2018-03-28,24.035,24.127,23.573,23.758,1111610,26409630.38,35100.0,3000.0,910000.0,80000.0,,1.62,0.91,0.08
2018-03-29,23.85,24.127,23.573,23.758,729200,17324333.599999998,1100.0,0.0,30000.0,0.0,,1.62,0.03,0.0
2018-03-30,23.758,24.59,23.665,24.59,1105930,27194818.7,280700.0,3100.0,7380000.0,80000.0,,1.62,7.38,0.08
2018-04-02,24.59,25.144,23.942,24.312,1817678,44191387.536,188800.0,281900.0,4980000.0,7430000.0,,1.62,4.98,7.43
