time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2002-04-18,6.21,6.21,6.21,6.21,37700,234117.0,,,,,,,,
2002-04-19,6.31,6.31,6.31,6.31,10000,63099.99999999999,,,,,,,,
2002-04-22,6.42,6.42,6.42,6.42,25600,164352.0,,,,,,,,
2002-04-23,6.34,6.34,6.34,6.34,48200,305588.0,,,,,,,,
2002-04-24,6.45,6.45,6.45,6.45,7600,49020.0,,,,,,,,
2002-04-25,6.5,6.5,6.5,6.5,17600,114400.0,,,,,,,,
2002-04-26,6.6,6.6,6.6,6.6,20000,132000.0,,,,,,,,
2002-05-02,6.74,6.74,6.74,6.74,2300,15502.0,,,,,,,,
2002-05-03,6.87,6.87,6.87,6.87,1700,11679.0,,,,,,,,
2002-05-06,7.0,7.0,7.0,7.0,500,3500.0,,,,,,,,
2002-05-07,6.87,6.87,6.87,6.87,21900,150453.0,,,,,,,,
2002-05-08,6.74,6.74,6.74,6.74,7900,53246.0,,,,,,,,
2002-05-09,6.87,6.87,6.87,6.87,3900,26793.0,,,,,,,,
2002-05-10,7.0,7.0,7.0,7.0,29800,208600.0,,,,,,,,
2002-05-13,6.87,6.87,6.87,6.87,7000,48090.0,,,,,,,,
2002-05-14,6.74,6.74,6.74,6.74,25500,171870.0,,,,,,,,
2002-05-15,6.79,6.79,6.79,6.79,2700,18333.0,,,,,,,,
2002-05-16,6.66,6.66,6.66,6.66,7200,47952.0,,,,,,,,
2002-05-17,6.74,6.74,6.74,6.74,4800,32352.0,,,,,,,,
2002-05-20,6.74,6.74,6.74,6.74,6300,42462.0,,,,,,,,
2002-05-21,6.74,6.74,6.74,6.74,13100,88294.0,,,,,,,,
2002-05-22,6.74,6.74,6.74,6.74,21500,144910.0,,,,,,,,
2002-05-23,6.74,6.74,6.74,6.74,10300,69422.0,,,,,,,,
