time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,4.767,4.813,4.767,4.813,10500,50536.5,,,,,,,,
2013-01-03,4.767,4.907,4.767,4.907,8300,40728.1,,,,,,,,
2013-01-04,4.907,4.907,4.767,4.767,9300,44333.100000000006,,,,,,,,
2013-01-07,4.813,4.813,4.767,4.767,1000,4767.0,,,,,,,,
2013-01-08,4.813,4.813,4.767,4.767,10600,50530.2,,,,,,,,
2013-01-09,4.813,4.813,4.813,4.813,1400,6738.2,,,,,,,,
2013-01-10,4.813,4.813,4.767,4.813,6200,29840.6,,,,,,,,
2013-01-11,4.813,4.813,4.813,4.813,7900,38022.7,,,,,,,,
2013-01-14,4.813,4.813,4.813,4.813,7500,36097.5,,,,,,,,
2013-01-15,4.813,4.813,4.813,4.813,9600,46204.8,,,,,,,,
2013-01-16,5.234,5.234,4.813,4.813,5100,24546.3,,,,,,,,
2013-01-17,4.813,4.813,4.813,4.813,15000,72195.0,,,,,,,,
2013-01-18,4.813,4.813,4.813,4.813,1800,8663.4,,,,,,,,
2013-01-21,4.813,4.813,4.813,4.813,7200,34653.6,,,,,,,,
2013-01-22,4.813,4.813,4.813,4.813,7200,34653.6,,,,,,,,
2013-01-23,4.813,4.813,4.813,4.813,9800,47167.4,,,,,,,,
2013-01-24,4.813,4.813,4.813,4.813,6900,33209.7,,,,,,,,
2013-01-25,4.813,4.813,4.813,4.813,0,0.0,,,,,,,,
2013-01-28,4.813,4.813,4.813,4.813,15100,72676.3,,,,,,,,
2013-01-29,4.813,4.813,4.813,4.813,12000,57756.0,,,,,,,,
2013-01-30,4.813,4.813,4.813,4.813,25000,120325.0,,,,,,,,
2013-01-31,4.86,4.86,4.86,4.86,100,486.00000000000006,,,,,,,,
2013-02-01,4.813,4.813,4.767,4.767,12000,57204.00000000001,,,,,,,,
2013-02-04,4.86,4.86,4.813,4.86,1200,5832.0,,,,,,,,
2013-02-05,4.86,4.86,4.86,4.86,0,0.0,,,,,,,,
2013-02-06,4.953,4.953,4.953,4.953,500,2476.5,,,,,,,,
2013-02-07,4.767,4.767,4.767,4.767,100,476.7000000000001,,,,,,,,
2013-02-08,4.767,4.767,4.767,4.767,0,0.0,,,,,,,,
2013-02-18,4.767,4.767,4.767,4.767,1400,6673.8,,,,,,,,
2013-02-19,4.299,5.187,4.299,5.187,3800,19710.6,,,,,,,,
2013-02-20,5.14,5.14,4.72,4.72,2400,11328.0,,,,,,,,
2013-02-21,4.953,4.953,4.953,4.953,1700,8420.1,,,,,,,,
2013-02-22,4.953,4.953,4.953,4.953,100,495.3,,,,,,,,
2013-02-25,4.486,4.486,4.486,4.486,5800,26018.8,,,,,,,,
2013-02-26,4.112,4.813,4.112,4.813,600,2887.8,,,,,,,,
2013-02-27,4.72,4.72,4.72,4.72,0,0.0,,,,,,,,
2013-02-28,5.094,5.094,5.094,5.094,500,2547.0,,,,,,,,
2013-03-01,5.14,5.14,4.86,4.86,200,972.0,,,,,,,,
2013-03-04,5.0,5.0,5.0,5.0,0,0.0,,,,,,,,
2013-03-05,5.0,5.0,5.0,5.0,0,0.0,,,,,,,,
2013-03-06,5.0,5.0,5.0,5.0,0,0.0,,,,,,,,
2013-03-07,5.0,5.0,5.0,5.0,0,0.0,,,,,,,,
2013-03-08,5.0,5.0,5.0,5.0,0,0.0,,,,,,,,
2013-03-11,5.281,5.281,5.281,5.281,200,1056.2,,,,,,,,
2013-03-12,5.281,5.281,5.281,5.281,0,0.0,,,,,,,,
2013-03-13,5.281,5.281,5.281,5.281,0,0.0,,,,,,,,
2013-03-14,5.14,5.14,5.14,5.14,100,514.0,,,,,,,,
2013-03-15,5.14,5.14,5.14,5.14,100,514.0,,,,,,,,
2013-03-18,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,
2013-03-19,5.561,5.561,5.561,5.561,100,556.1,,,,,,,,
2013-03-20,5.561,5.561,5.561,5.561,0,0.0,,,,,,,,
2013-03-21,5.561,5.561,5.561,5.561,0,0.0,,,,,,,,
2013-03-22,5.094,5.094,5.094,5.094,100,509.4,,,,,,,,
2013-03-25,5.094,5.094,5.094,5.094,0,0.0,,,,,,,,
2013-03-26,5.094,5.094,5.094,5.094,0,0.0,,,,,,,,
2013-03-27,4.72,4.72,4.72,4.72,100,472.0,,,,,,,,
2013-03-28,4.72,4.72,4.72,4.72,0,0.0,,,,,,,,
2013-03-29,4.72,4.72,4.72,4.72,0,0.0,,,,,,,,
2013-04-01,4.72,4.72,4.72,4.72,0,0.0,,,,,,,,
2013-04-02,4.72,4.72,4.72,4.72,0,0.0,,,,,,,,
2013-04-03,4.72,4.72,4.72,4.72,0,0.0,,,,,,,,
2013-04-04,5.187,5.187,5.187,5.187,100,518.7,,,,,,,,
2013-04-05,5.187,5.187,5.187,5.187,0,0.0,,,,,,,,
2013-04-08,5.187,5.187,5.187,5.187,0,0.0,,,,,,,,
2013-04-09,5.374,5.374,5.374,5.374,100,537.4,,,,,,,,
2013-04-10,5.374,5.374,5.374,5.374,0,0.0,,,,,,,,
2013-04-11,5.374,5.374,5.374,5.374,0,0.0,,,,,,,,
2013-04-12,5.374,5.374,5.374,5.374,0,0.0,,,,,,,,
2013-04-15,5.374,5.374,5.374,5.374,0,0.0,,,,,,,,
2013-04-16,5.374,5.374,5.374,5.374,0,0.0,,,,,,,,
2013-04-17,5.14,5.14,5.14,5.14,100,514.0,,,,,,,,
2013-04-18,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,
2013-04-22,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,
2013-04-23,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,
2013-04-24,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,
2013-04-25,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,
2013-04-26,5.14,5.14,5.14,5.14,100,514.0,,,,,,,,
2013-05-02,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,
2013-05-03,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,
2013-05-06,5.14,5.14,5.14,5.14,0,0.0,,,,,,,,
2013-05-07,5.561,5.561,5.561,5.561,2000,11122.0,,,,,,,,
2013-05-08,5.561,5.561,5.561,5.561,0,0.0,,,,,,,,
2013-05-09,5.561,5.561,5.561,5.561,0,0.0,,,,,,,,
2013-05-10,5.561,5.561,5.561,5.561,0,0.0,,,,,,,,
2013-05-13,5.561,5.561,5.561,5.561,0,0.0,,,,,,,,
2013-05-14,5.561,5.561,5.561,5.561,0,0.0,,,,,,,,
2013-05-15,5.666,5.666,5.666,5.666,100,566.6,,,,,,,,
2013-05-16,5.298,5.298,5.298,5.298,100,529.8,,,,,,,,
2013-05-17,5.298,5.298,5.298,5.298,0,0.0,,,,,,,,
2013-05-20,5.298,5.298,5.298,5.298,0,0.0,,,,,,,,
2013-05-21,5.298,5.298,5.298,5.298,0,0.0,,,,,,,,
2013-05-22,5.508,5.508,5.403,5.403,300,1620.9,,,,,,,,
2013-05-23,5.351,5.351,5.351,5.351,800,4280.8,,,,,,,,
2013-05-24,5.351,5.351,5.298,5.351,2500,13377.5,,,,,,,,
2013-05-27,5.351,5.351,5.351,5.351,0,0.0,,,,,,,,
2013-05-28,5.351,5.351,5.351,5.351,0,0.0,,,,,,,,
2013-05-29,5.351,5.351,5.351,5.351,1000,5351.0,,,,,,,,
2013-05-30,5.351,5.351,5.351,5.351,0,0.0,,,,,,,,
2013-05-31,5.351,5.351,5.351,5.351,0,0.0,,,,,,,,
2013-06-03,5.351,5.351,5.351,5.351,0,0.0,,,,,,,,
2013-06-04,5.351,5.351,5.351,5.351,0,0.0,,,,,,,,
2013-06-05,5.351,5.351,5.351,5.351,3000,16053.0,,,,,,,,
2013-06-06,5.456,5.456,5.456,5.456,100,545.6,,,,,,,,
2013-06-07,5.456,5.456,5.456,5.456,0,0.0,,,,,,,,
2013-06-10,5.456,5.456,5.456,5.456,0,0.0,,,,,,,,
2013-06-11,5.771,5.771,5.771,5.771,1000,5771.0,,,,,,,,
2013-06-12,5.508,5.508,5.508,5.508,100,550.8,,,,,,,,
2013-06-13,5.508,5.508,5.508,5.508,0,0.0,,,,,,,,
2013-06-14,5.771,5.771,5.666,5.771,14900,85987.9,,,,,,,,
2013-06-17,5.771,5.771,5.771,5.771,700,4039.7,,,,,,,,
2013-06-18,5.666,6.19,5.666,6.19,5700,35283.0,,,,,,,,
2013-06-19,6.138,6.138,6.138,6.138,0,0.0,,,,,,,,
2013-06-20,6.138,6.138,6.138,6.138,0,0.0,,,,,,,,
2013-06-21,6.138,6.138,6.138,6.138,0,0.0,,,,,,,,
2013-06-24,6.138,6.138,6.138,6.138,0,0.0,,,,,,,,
2013-06-25,5.666,5.666,5.666,5.666,100,566.6,,,,,,,,
2013-06-26,5.718,5.718,5.718,5.718,100,571.8,,,,,,,,
2013-06-27,5.718,5.718,5.718,5.718,0,0.0,,,,,,,,
2013-06-28,5.718,5.718,5.718,5.718,100,571.8,,,,,,,,
2013-07-01,5.718,5.718,5.718,5.718,0,0.0,,,,,,,,
2013-07-02,5.666,5.666,5.666,5.666,100,566.6,,,,,,,,
2013-07-03,5.666,5.666,5.666,5.666,5100,28896.6,,,,,,,,
2013-07-04,5.613,5.613,5.613,5.613,5000,28065.000000000004,,,,,,,,
2013-07-05,5.613,5.613,5.613,5.613,100,561.3000000000001,,,,,,,,
2013-07-08,5.613,5.613,5.613,5.613,0,0.0,,,,,,,,
2013-07-09,5.613,5.613,5.613,5.613,0,0.0,,,,,,,,
2013-07-10,5.613,5.613,5.613,5.613,0,0.0,,,,,,,,
2013-07-11,5.613,5.613,5.613,5.613,0,0.0,,,,,,,,
2013-07-12,5.613,5.613,5.613,5.613,0,0.0,,,,,,,,
2013-07-15,5.613,5.613,5.613,5.613,0,0.0,,,,,,,,
2013-07-16,5.613,5.613,5.613,5.613,0,0.0,,,,,,,,
2013-07-17,5.613,5.613,5.613,5.613,0,0.0,,,,,,,,
2013-07-18,5.613,5.666,5.613,5.666,400,2266.4,,,,,,,,
2013-07-19,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-07-22,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-07-23,5.508,5.508,5.508,5.508,5600,30844.8,,,,,,,,
2013-07-24,5.508,5.508,5.508,5.508,0,0.0,,,,,,,,
2013-07-25,5.508,5.508,5.508,5.508,0,0.0,,,,,,,,
2013-07-26,5.666,5.666,5.666,5.666,100,566.6,,,,,,,,
2013-07-29,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-07-30,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-07-31,5.875,5.875,5.875,5.875,0,0.0,,,,,,,,
2013-08-01,5.875,5.875,5.875,5.875,0,0.0,,,,,,,,
2013-08-02,5.875,5.875,5.875,5.875,0,0.0,,,,,,,,
2013-08-05,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-08-06,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-08-07,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-08-08,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-08-09,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-08-12,5.141,5.141,5.141,5.141,0,0.0,,,,,,,,
2013-08-13,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-08-14,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-08-15,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-08-16,5.666,5.666,5.666,5.666,0,0.0,,,,,,,,
2013-08-19,5.508,5.508,5.508,5.508,1000,5508.0,,,,,,,,
2013-08-20,5.508,5.508,5.508,5.508,0,0.0,,,,,,,,
2013-08-21,5.508,5.508,5.508,5.508,0,0.0,,,,,,,,
2013-08-22,5.771,5.771,5.771,5.771,100,577.1,,,,,,,,
2013-08-23,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-08-26,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-08-27,5.771,5.771,5.771,5.771,3500,20198.5,,,,,,,,
2013-08-28,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-08-29,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-08-30,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-09-03,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-09-04,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-09-05,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-09-06,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-09-09,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-09-10,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-09-11,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-09-12,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-09-13,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-09-16,5.193,5.193,5.193,5.193,100,519.3,,,,,,,,
2013-09-17,5.193,5.193,5.193,5.193,0,0.0,,,,,,,,
2013-09-18,5.246,5.666,5.246,5.666,7300,41361.8,,,,,,,,
2013-09-19,5.666,5.666,5.666,5.666,100,566.6,,,,,,,,
2013-09-20,5.666,5.666,5.666,5.666,100,566.6,,,,,,,,
2013-09-23,5.666,5.666,5.666,5.666,100,566.6,,,,,,,,
2013-09-24,5.771,5.771,5.771,5.771,500,2885.5,,,,,,,,
2013-09-25,5.771,5.771,5.771,5.771,1000,5771.0,,,,,,,,
2013-09-26,5.875,5.928,5.875,5.928,2000,11856.0,,,,,,,,
2013-09-27,5.928,5.928,5.928,5.928,0,0.0,,,,,,,,
2013-09-30,5.561,5.561,5.561,5.561,1000,5561.0,,,,,,,,
2013-10-01,5.771,5.771,5.771,5.771,4000,23084.0,,,,,,,,
2013-10-02,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-03,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-04,5.771,5.771,5.771,5.771,1000,5771.0,,,,,,,,
2013-10-07,5.771,5.771,5.771,5.771,100,577.1,,,,,,,,
2013-10-08,5.771,6.033,5.771,5.875,6800,39950.0,,,,,,,,
2013-10-09,5.823,5.823,5.771,5.771,10700,61749.7,,,,,,,,
2013-10-10,5.771,5.771,5.771,5.771,4900,28277.9,,,,,,,,
2013-10-11,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-14,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-15,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-16,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-17,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-18,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-21,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-22,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-23,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-24,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-10-25,5.561,5.561,5.561,5.561,1000,5561.0,,,,,,,,
2013-10-28,5.561,5.561,5.561,5.561,0,0.0,,,,,,,,
2013-10-29,5.823,5.823,5.823,5.823,100,582.3000000000001,,,,,,,,
2013-10-30,5.771,5.771,5.771,5.771,100,577.1,,,,,,,,
2013-10-31,5.771,5.771,5.771,5.771,100,577.1,,,,,,,,
2013-11-01,5.771,5.771,5.771,5.771,100,577.1,,,,,,,,
2013-11-04,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-11-05,5.771,5.771,5.771,5.771,0,0.0,,,,,,,,
2013-11-06,5.771,5.771,5.771,5.771,1000,5771.0,,,,,,,,
2013-11-07,5.771,5.771,5.771,5.771,300,1731.3,,,,,,,,
2013-11-08,5.771,6.138,5.771,6.138,300,1841.4,,,,,,,,
2013-11-11,5.771,5.875,5.771,5.771,700,4039.7,,,,,,,,
2013-11-12,5.875,5.875,5.875,5.875,100,587.5,,,,,,,,
2013-11-13,5.875,5.875,5.875,5.875,0,0.0,,,,,,,,
2013-11-14,5.771,5.875,5.771,5.875,1500,8812.5,,,,,,,,
2013-11-15,5.823,5.823,5.823,5.823,1000,5823.0,,,,,,,,
2013-11-18,5.875,5.875,5.823,5.823,1700,9899.1,,,,,,,,
2013-11-19,5.823,5.823,5.823,5.823,0,0.0,,,,,,,,
2013-11-20,5.928,5.928,5.928,5.928,300,1778.4,,,,,,,,
2013-11-21,5.98,5.98,5.98,5.98,500,2990.0,,,,,,,,
2013-11-22,5.403,6.033,5.403,6.033,3900,23528.7,,,,,,,,
2013-11-25,6.033,6.033,6.033,6.033,0,0.0,,,,,,,,
2013-11-26,6.033,6.19,6.033,6.19,200,1238.0,,,,,,,,
2013-11-27,6.19,6.19,6.19,6.19,0,0.0,,,,,,,,
2013-11-28,6.19,6.19,6.19,6.19,0,0.0,,,,,,,,
2013-11-29,6.19,6.19,6.19,6.19,0,0.0,,,,,,,,
2013-12-02,6.295,6.295,6.295,6.295,500,3147.5,,,,,,,,
2013-12-03,6.295,6.295,6.295,6.295,100,629.5,,,,,,,,
2013-12-04,6.19,6.19,5.666,6.19,1400,8666.0,,,,,,,,
2013-12-05,6.295,6.295,6.295,6.295,2410,15170.95,,,,,,,,
2013-12-06,6.295,6.295,6.295,6.295,0,0.0,,,,,,,,
2013-12-09,6.295,6.295,6.295,6.295,0,0.0,,,,,,,,
2013-12-10,6.295,6.295,6.295,6.295,0,0.0,,,,,,,,
2013-12-11,6.295,6.295,6.295,6.295,0,0.0,,,,,,,,
2013-12-12,6.295,6.295,6.295,6.295,0,0.0,,,,,,,,
2013-12-13,6.295,6.295,6.295,6.295,1000,6295.0,,,,,,,,
2013-12-16,6.925,6.925,5.666,6.925,500,3462.5,,,,,,,,
2013-12-17,6.925,6.925,6.925,6.925,0,0.0,,,,,,,,
2013-12-18,6.295,6.295,6.295,6.295,6000,37770.0,,,,,,,,
2013-12-19,6.295,6.295,6.295,6.295,0,0.0,,,,,,,,
2013-12-20,5.823,6.348,5.823,6.295,5300,33363.5,,,,,,,,
2013-12-23,6.295,6.295,6.295,6.295,0,0.0,,,,,,,,
2013-12-24,6.4,6.4,6.4,6.4,100,640.0,,,,,,,,
2013-12-25,6.4,6.4,6.4,6.4,1000,6400.0,,,,,,,,
2013-12-26,6.505,6.715,6.505,6.715,5200,34918.0,,,,,,,,
2013-12-27,6.557,6.557,6.557,6.557,800,5245.6,,,,,,,,
2013-12-30,6.505,6.505,6.505,6.505,2700,17563.5,,,,,,,,
2013-12-31,6.767,6.872,6.767,6.872,4800,32985.6,,,,,,,,
2014-01-02,6.767,6.767,6.767,6.767,200,1353.4,,,,,,,,
2014-01-03,6.767,6.767,6.767,6.767,0,0.0,,,,,,,,
2014-01-06,6.715,6.767,6.715,6.767,5100,34511.700000000004,,,,,,,,
2014-01-07,6.767,6.767,6.767,6.767,0,0.0,,,,,,,,
2014-01-08,6.715,6.715,6.715,6.715,0,0.0,,,,,,,,
2014-01-09,6.925,6.925,6.925,6.925,200,1385.0,,,,,,,,
2014-01-10,6.715,6.715,6.715,6.715,100,671.5,,,,,,,,
2014-01-13,7.292,7.292,7.292,7.292,1000,7292.0,,,,,,,,
2014-01-14,7.292,7.292,7.292,7.292,1100,8021.2,,,,,,,,
2014-01-15,7.082,7.292,7.082,7.292,1500,10938.0,,,,,,,,
2014-01-16,7.134,7.134,7.134,7.134,0,0.0,,,,,,,,
2014-01-17,7.134,7.134,7.134,7.134,0,0.0,,,,,,,,
2014-01-20,7.134,7.134,7.134,7.134,0,0.0,,,,,,,,
2014-01-21,6.767,6.767,6.767,6.767,500,3383.5,,,,,,,,
2014-01-22,6.767,6.767,6.767,6.767,0,0.0,,,,,,,,
2014-01-23,6.767,6.767,6.767,6.767,0,0.0,,,,,,,,
2014-01-24,6.767,6.767,6.767,6.767,0,0.0,,,,,,,,
2014-01-27,6.767,6.767,6.767,6.767,0,0.0,,,,,,,,
2014-02-06,6.767,6.767,6.767,6.767,0,0.0,,,,,,,,
2014-02-07,7.082,7.082,7.082,7.082,800,5665.599999999999,,,,,,,,
2014-02-10,7.082,7.082,7.082,7.082,0,0.0,,,,,,,,
2014-02-11,7.082,7.082,7.082,7.082,0,0.0,,,,,,,,
2014-02-12,7.082,7.082,7.082,7.082,0,0.0,,,,,,,,
2014-02-13,7.082,7.082,7.082,7.082,0,0.0,,,,,,,,
2014-02-14,7.607,7.659,7.607,7.659,1400,10722.6,,,,,,,,
2014-02-17,7.659,7.659,7.659,7.659,0,0.0,,,,,,,,
2014-02-18,6.977,7.659,6.977,7.659,4100,31401.9,,,,,,,,
2014-02-19,7.659,7.869,7.659,7.659,8600,65867.4,,,,,,,,
2014-02-20,7.607,7.869,7.607,7.869,4000,31476.0,,,,,,,,
2014-02-21,7.607,7.711,7.344,7.607,14400,109540.8,,,,,,,,
2014-02-24,7.607,7.607,7.607,7.607,3100,23581.7,,,,,,,,
2014-02-25,8.131,8.184,7.607,8.184,15000,122760.0,,,,,,,,
2014-02-26,8.026,8.026,8.026,8.026,0,0.0,,,,,,,,
2014-02-27,8.498,8.498,8.498,8.498,1600,13596.8,,,,,,,,
2014-02-28,8.393,8.498,8.393,8.498,3410,28978.18,,,,,,,,
2014-03-03,8.446,8.446,8.446,8.446,0,0.0,,,,,,,,
2014-03-04,8.393,8.393,8.393,8.393,100,839.3000000000001,,,,,,,,
2014-03-05,8.131,8.131,8.131,8.131,1000,8131.0,,,,,,,,
2014-03-06,8.393,8.393,8.393,8.393,100,839.3000000000001,,,,,,,,
2014-03-07,8.393,8.393,8.393,8.393,0,0.0,,,,,,,,
2014-03-10,8.393,8.393,8.393,8.393,4266,35804.538,,,,,,,,
2014-03-11,8.393,8.393,8.393,8.393,190,1594.67,,,,,,,,
2014-03-12,7.607,8.131,7.607,7.607,11500,87480.5,,,,,,,,
2014-03-13,8.131,8.131,7.607,7.607,22300,169636.1,,,,,,,,
2014-03-14,7.607,7.607,7.607,7.607,14720,111975.04,,,,,,,,
2014-03-17,7.607,7.607,7.607,7.607,0,0.0,,,,,,,,
2014-03-18,7.607,8.341,7.607,8.341,2100,17516.1,,,,,,,,
2014-03-19,7.659,7.659,7.659,7.659,60,459.54,,,,,,,,
2014-03-20,8.341,8.341,8.341,8.341,100,834.0999999999999,,,,,,,,
2014-03-21,9.075,9.075,9.075,9.075,100,907.5,,,,,,,,
2014-03-24,9.075,9.075,9.075,9.075,80,726.0,,,,,,,,
2014-03-25,9.075,9.075,9.075,9.075,0,0.0,,,,,,,,
2014-03-26,9.075,9.075,9.075,9.075,0,0.0,,,,,,,,
2014-03-27,9.075,9.075,9.075,9.075,0,0.0,,,,,,,,
2014-03-28,9.075,9.075,9.075,9.075,0,0.0,,,,,,,,
2014-03-31,8.236,8.236,8.184,8.184,4200,34372.8,,,,,,,,
2014-04-01,8.603,8.603,8.289,8.393,4100,34411.3,,,,,,,,
2014-04-02,8.393,8.918,8.393,8.918,8700,77586.59999999999,,,,,,,,
2014-04-03,8.708,8.708,8.708,8.708,0,0.0,,,,,,,,
2014-04-04,8.708,8.708,8.708,8.708,0,0.0,,,,,,,,
2014-04-07,8.708,8.708,8.708,8.708,0,0.0,,,,,,,,
2014-04-08,8.289,8.289,8.289,8.289,200,1657.8,,,,,,,,
2014-04-10,8.289,8.289,8.289,8.289,0,0.0,,,,,,,,
2014-04-11,8.393,8.393,8.393,8.393,100,839.3000000000001,,,,,,,,
2014-04-14,8.184,8.184,8.184,8.184,4400,36009.6,,,,,,,,
2014-04-15,8.184,8.184,8.184,8.184,0,0.0,,,,,,,,
2014-04-16,8.184,8.184,8.184,8.184,0,0.0,,,,,,,,
2014-04-17,8.184,8.184,8.184,8.184,1000,8183.999999999999,,,,,,,,
2014-04-18,8.079,8.079,8.079,8.079,8000,64632.00000000001,,,,,,,,
2014-04-21,8.131,8.131,7.974,8.079,10100,81597.90000000001,,,,,,,,
2014-04-22,7.921,8.498,7.239,8.498,8300,70533.4,,,,,,,,
2014-04-23,7.921,7.921,7.921,7.921,0,0.0,,,,,,,,
2014-04-24,7.607,8.551,7.607,8.551,200,1710.2,,,,,,,,
