time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2009-06-25,29.96,29.96,29.18,29.96,1542160,46203113.6,,,,,
2009-06-26,31.45,31.45,31.13,31.45,841370,26461086.5,,,,,
2009-06-29,32.75,32.75,32.75,32.75,257150,8421662.5,,,,,
2009-06-30,34.37,34.37,34.37,34.37,274410,9431471.7,,,,,
2009-07-01,32.75,33.4,32.75,32.75,1754070,57445792.5,,,,,
2009-07-02,31.45,32.1,31.13,31.13,1917580,59694265.4,,,,,
2009-07-03,29.57,31.13,29.57,31.13,914150,28457489.5,,,,,
2009-07-06,31.13,32.42,30.8,32.42,315150,10217163.0,,,,,
2009-07-07,31.0,31.77,30.8,30.8,456250,14052500.0,,,,,
2009-07-08,29.83,30.8,29.57,30.09,212950,6407665.5,,,,,
2009-07-09,31.58,31.58,29.5,30.09,341400,10272726.0,,,,,
2009-07-10,29.63,29.83,28.6,28.6,313630,8969818.0,,,,,
2009-07-13,27.43,27.56,27.17,27.17,178050,4837618.5,,,,,
2009-07-14,25.94,25.94,25.87,25.87,294920,7629580.4,,,,,
2009-07-15,25.87,26.59,25.29,25.61,389850,9984058.5,,,,,
2009-07-16,26.78,26.78,25.61,26.0,481640,12522640.0,,,,,
2009-07-17,26.26,26.26,25.16,25.74,183290,4717884.6,,,,,
2009-07-20,24.64,24.64,24.51,24.51,222380,5450533.800000001,,,,,
2009-07-21,23.99,24.51,23.73,23.99,359190,8616968.1,,,,,
2009-07-22,23.99,24.32,23.8,23.86,241660,5766007.6,,,,,
2009-07-23,23.21,25.03,23.15,25.03,313860,7855915.800000001,,,,,
2009-07-24,26.26,26.26,26.26,26.26,417250,10956985.0,,,,,
2009-07-27,27.23,27.56,24.97,27.43,555230,15229958.9,,,,,
2009-07-28,26.26,27.17,26.13,26.26,359000,9427340.0,,,,,
2009-07-29,26.26,26.46,25.94,25.94,254170,6593169.800000001,,,,,
2009-07-30,25.22,25.94,25.09,25.61,235080,6020398.8,,,,,
2009-07-31,26.78,26.85,26.39,26.85,417340,11205579.0,,,,,
2009-08-03,27.23,27.56,26.59,26.85,182570,4902004.5,,,,,
2009-08-04,27.82,27.88,27.3,27.88,323950,9031726.0,,,,,
2009-08-05,27.36,28.4,27.23,28.4,305330,8671372.0,,,,,
2009-08-06,27.88,28.53,27.23,27.23,446560,12159828.8,,,,,
2009-08-07,27.23,27.23,25.94,26.59,347350,9236036.5,,,,,
2009-08-10,26.91,27.23,26.59,26.98,113330,3057643.4,,,,,
2009-08-11,26.91,26.98,25.94,26.65,409350,10909177.5,,,,,
2009-08-12,26.98,26.98,26.2,26.72,380250,10160280.0,,,,,
2009-08-13,27.82,27.82,26.26,27.11,597270,16191989.7,,,,,
2009-08-14,26.98,27.23,26.46,26.72,147140,3931580.8,,,,,
2009-08-17,26.39,26.59,26.26,26.26,152850,4013841.000000001,,,,,
2009-08-18,25.61,26.07,25.61,26.07,130530,3402917.1,,,,,
2009-08-19,26.07,26.2,25.29,26.07,559420,14584079.4,,,,,
2009-08-20,26.07,26.07,25.61,25.61,108680,2783294.8,,,,,
2009-08-21,25.61,26.52,25.09,25.16,675640,16999102.4,,,,,
2009-08-24,25.61,26.39,25.35,26.39,222890,5882067.100000001,,,,,
2009-08-25,27.69,27.69,27.56,27.69,930330,25760837.700000003,,,,,
2009-08-26,27.75,27.88,26.59,26.78,344830,9234547.4,,,,,
2009-08-27,26.07,26.59,25.94,25.94,637930,16547904.2,,,,,
2009-08-28,26.26,26.46,26.07,26.33,354410,9331615.3,,,,,
2009-08-31,26.52,26.91,26.07,26.52,322850,8561982.0,,,,,
2009-09-01,26.39,26.39,26.13,26.39,279830,7384713.7,,,,,
2009-09-03,25.35,26.39,25.16,25.35,753910,19111618.5,,,,,
2009-09-04,25.29,25.81,25.29,25.29,264790,6696539.1,,,,,
2009-09-07,24.06,24.84,24.06,24.06,898220,21611173.2,,,,,
2009-09-08,24.58,24.64,24.25,24.58,271580,6675436.399999999,,,,,
2009-09-09,23.99,24.64,23.99,23.99,375160,9000088.399999999,,,,,
2009-09-10,23.73,23.99,23.73,23.73,265780,6306959.4,,,,,
2009-09-11,23.73,23.99,23.67,23.73,274600,6516258.0,,,,,
2009-09-14,23.8,24.32,23.67,23.99,248530,5962234.699999999,,,,,
2009-09-15,23.99,24.06,23.73,23.8,210260,5004188.0,,,,,
2009-09-16,23.99,24.32,23.8,24.19,371520,8987068.8,,,,,
2009-09-17,24.12,24.58,23.93,23.93,236600,5661838.0,,,,,
2009-09-18,23.99,24.32,23.73,24.32,343040,8342732.8,,,,,
2009-09-21,24.84,24.9,24.51,24.9,507520,12637248.0,,,,,
2009-09-22,24.58,24.64,23.99,24.25,180370,4373972.5,,,,,
2009-09-23,24.51,24.51,24.06,24.06,215620,5187817.2,,,,,
2009-09-24,23.73,23.99,23.73,23.73,201860,4790137.8,,,,,
2009-09-25,23.73,23.99,23.41,23.86,302150,7209299.0,,,,,
2009-09-28,23.8,23.86,23.34,23.41,282320,6609111.2,,,,,
2009-09-29,23.34,23.86,23.21,23.86,350860,8371519.6,,,,,
2009-09-30,23.86,24.77,23.21,24.77,610700,15127039.0,,,,,
2009-10-01,24.25,24.32,23.6,23.6,160910,3797476.0,,,,,
2009-10-02,22.63,23.08,22.44,22.44,327430,7347529.2,,,,,
2009-10-05,22.44,22.96,21.72,21.85,243110,5311953.5,,,,,
2009-10-06,22.37,22.57,21.79,21.98,126460,2779590.8000000003,,,,,
2009-10-07,22.63,22.83,22.37,22.57,211180,4766332.6,,,,,
2009-10-08,22.7,22.7,22.31,22.7,192390,4367253.0,,,,,
2009-10-09,23.21,23.21,22.7,22.83,201850,4608235.5,,,,,
2009-10-12,23.21,23.28,22.83,23.08,277940,6414855.199999999,,,,,
2009-10-13,22.83,22.96,22.57,22.7,256480,5822096.0,,,,,
2009-10-14,22.96,23.08,22.7,23.02,351080,8081861.6,,,,,
2009-10-15,23.67,23.67,22.83,23.08,343180,7920594.399999999,,,,,
2009-10-16,22.89,23.08,22.7,22.7,302880,6875376.0,,,,,
2009-10-19,22.7,22.7,22.5,22.63,245590,5557701.7,,,,,
2009-10-20,22.89,22.96,22.57,22.57,241200,5443884.0,,,,,
2009-10-21,22.57,23.08,22.37,22.37,503150,11255465.5,,,,,
2009-10-22,22.63,22.7,22.57,22.7,324820,7373414.0,,,,,
2009-10-23,23.8,23.8,23.8,23.8,355990,8472562.0,,,,,
2009-10-26,24.97,24.97,24.64,24.97,1433120,35785006.4,,,,,
2009-10-27,24.32,24.38,23.73,23.73,507320,12038703.6,,,,,
2009-10-28,23.8,24.06,23.8,24.06,581180,13983190.8,,,,,
2009-10-29,23.02,23.21,22.89,22.89,393430,9005612.700000001,,,,,
2009-10-30,23.99,23.99,23.34,23.67,612190,14490537.3,,,,,
2009-11-02,22.7,23.02,22.5,22.5,525040,11813400.0,,,,,
2009-11-03,22.5,22.5,21.59,21.72,299980,6515565.6,,,,,
2009-11-04,21.07,22.31,21.07,21.72,238860,5188039.2,,,,,
2009-11-05,22.44,22.44,21.72,21.92,221340,4851772.800000001,,,,,
2009-11-06,22.63,22.63,21.79,22.05,237390,5234449.5,,,,,
2009-11-09,22.05,22.05,20.94,20.94,360940,7558083.600000001,,,,,
2009-11-10,20.23,20.75,19.97,20.23,338110,6839965.3,,,,,
2009-11-11,20.23,20.75,20.23,20.43,211200,4314816.0,,,,,
2009-11-12,20.43,20.88,20.43,20.62,217620,4487324.4,,,,,
2009-11-13,20.62,20.62,19.78,20.36,229150,4665494.0,,,,,
2009-11-16,20.43,20.43,19.71,20.04,200240,4012809.6,,,,,
2009-11-17,20.04,20.1,19.32,19.84,239310,4747910.4,,,,,
2009-11-18,19.97,20.75,19.91,20.75,340860,7072845.0,,,,,
2009-11-19,20.75,20.75,19.84,20.23,223730,4526057.9,,,,,
2009-11-20,20.23,20.43,19.91,20.3,193150,3920945.0,,,,,
2009-11-23,20.36,20.36,19.32,19.32,192660,3722191.2,,,,,
2009-11-24,19.32,19.45,18.55,19.19,245140,4704236.600000001,,,,,
2009-11-25,19.0,19.13,18.29,18.29,122030,2231928.7,,,,,
2009-11-26,17.38,17.38,17.38,17.38,68230,1185837.4,,,,,
2009-11-27,16.54,18.22,16.54,17.38,155060,2694942.8,,,,,
2009-11-30,17.18,17.83,17.18,17.51,81100,1420061.0000000002,,,,,
2009-12-01,17.51,18.35,17.51,18.35,187720,3444662.0000000005,,,,,
2009-12-02,18.29,18.42,17.9,17.9,195880,3506251.9999999995,,,,,
2009-12-03,17.51,18.74,17.18,17.83,110660,1973067.8,,,,,
2009-12-04,17.83,18.16,17.51,17.64,76580,1350871.2,,,,,
2009-12-07,17.18,17.57,17.44,17.44,150320,2621580.8000000003,,,,,
2009-12-08,16.99,17.18,16.92,16.92,105740,1789120.8000000005,,,,,
2009-12-09,16.54,16.54,16.08,16.08,150780,2424542.4,,,,,
2009-12-10,16.21,16.21,15.56,15.56,96910,1507919.6,,,,,
2009-12-11,14.91,15.04,14.78,14.78,162110,2395985.8,,,,,
2009-12-14,14.59,15.5,14.59,15.5,157210,2436755.0,,,,,
2009-12-15,15.5,16.21,15.5,16.21,305930,4959125.3,,,,,
2009-12-16,16.47,16.86,16.02,16.86,560080,9442948.8,,,,,
2009-12-17,16.86,16.99,16.54,16.92,354550,5998986.000000001,,,,,
2009-12-18,17.51,17.77,17.05,17.77,203780,3621170.6,,,,,
2009-12-21,18.48,18.61,18.29,18.61,123850,2304848.5,,,,,
2009-12-22,17.83,19.06,17.83,18.8,322200,6057360.0,,,,,
2009-12-23,18.48,19.26,18.42,19.26,312520,6019135.2,,,,,
2009-12-24,19.39,20.17,18.87,20.17,282910,5706294.7,,,,,
2009-12-25,20.88,20.88,20.3,20.36,264560,5386441.6,,,,,
2009-12-28,20.36,20.36,19.39,19.45,199160,3873662.0,,,,,
2009-12-29,18.8,20.1,18.8,19.84,298440,5921049.6,,,,,
2009-12-30,19.19,20.82,19.19,20.82,297880,6201861.6,,,,,
2009-12-31,21.4,21.4,19.84,19.84,52360,1038822.4,,,,,
2010-01-04,19.45,20.69,19.45,20.62,142420,2936700.4000000004,,,,,
2010-01-05,21.4,21.4,20.56,20.75,200100,4152075.0,,,,,
2010-01-06,20.1,20.69,19.97,20.69,203390,4208139.100000001,,,,,
2010-01-07,20.43,20.62,20.1,20.36,101420,2064911.2,,,,,
2010-01-08,20.36,20.94,20.36,20.43,257750,5265832.5,,,,,
2010-01-11,20.69,20.69,19.91,20.43,99820,2039322.6,,,,,
2010-01-12,20.43,20.49,20.04,20.04,152270,3051490.8,,,,,
2010-01-13,20.69,21.01,20.43,21.01,603080,12670710.8,,,,,
2010-01-14,21.98,22.05,21.72,22.05,303360,6689088.0,,,,,
2010-01-15,22.05,22.7,22.05,22.7,278200,6315140.0,,,,,
2010-01-18,22.7,22.7,21.59,21.59,112160,2421534.4,,,,,
2010-01-19,22.05,22.5,21.72,22.5,282220,6349950.0,,,,,
2010-01-20,23.02,23.02,22.5,22.7,305620,6937574.0,,,,,
2010-01-21,22.05,22.7,22.05,22.24,211050,4693752.0,,,,,
2010-01-22,22.24,22.5,21.53,22.37,207660,4645354.2,,,,,
2010-01-25,22.57,22.63,22.37,22.63,171620,3883760.6,,,,,
2010-01-26,23.02,23.02,22.76,23.02,142040,3269760.8,,,,,
2010-01-27,23.02,23.02,22.37,22.37,150780,3372948.6,,,,,
2010-01-28,22.37,22.83,22.37,22.83,190950,4359388.5,,,,,
2010-01-29,22.83,23.02,22.76,23.02,149100,3432282.0,,,,,
2010-02-01,23.34,23.34,23.15,23.34,155650,3632871.0,,,,,
2010-02-02,23.34,23.6,23.15,23.6,102760,2425136.0,,,,,
2010-02-03,23.8,24.64,23.8,24.64,264120,6507916.8,,,,,
2010-02-04,24.64,24.9,24.64,24.77,175140,4338217.8,,,,,
2010-02-05,24.77,24.77,24.25,24.77,204660,5069428.2,,,,,
2010-02-08,24.64,24.77,24.58,24.77,108030,2675903.1,,,,,
2010-02-09,24.38,24.71,24.38,24.64,216700,5339488.0,,,,,
2010-02-10,24.97,25.61,24.9,25.61,178290,4566006.899999999,,,,,
2010-02-11,25.94,26.85,25.61,26.85,325360,8735916.0,,,,,
2010-02-12,27.88,28.14,27.43,28.14,388970,10945615.8,,,,,
