time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2021-06-11,11.478,11.478,11.478,11.478,2000,22956.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-14,13.14,13.14,13.14,13.14,2200,28908.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-15,15.04,15.04,15.04,15.04,3000,45120.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-16,17.256,17.256,17.256,17.256,2000,34512.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-17,19.789,19.789,19.789,19.789,4300,85092.70000000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-18,22.718,22.718,22.718,22.718,5600,127220.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-21,26.122,26.122,26.122,26.122,20600,538113.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-22,30.0,30.0,29.921,29.921,60400,1807228.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-23,30.0,34.433,30.0,34.117,28400,968922.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-24,35.621,35.621,29.051,31.267,20400,637846.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-25,25.726,25.726,25.726,25.726,8200,210953.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-28,21.926,21.926,21.926,21.926,9400,206104.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-29,18.681,18.681,18.681,18.681,8900,166260.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-06-30,15.91,21.451,15.91,21.451,15800,338925.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-01,19.868,19.868,19.868,19.868,3300,65564.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-02,22.797,22.797,22.797,22.797,4800,109425.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-05,26.201,26.201,19.789,22.48,12700,285496.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-06,18.998,22.085,18.998,19.077,1600,30523.200000000004,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-07,18.523,18.681,18.523,18.602,700,13021.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-08,20.185,20.185,19.314,19.789,3400,67282.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-09,19.789,19.789,19.631,19.631,1200,23557.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-12,19.789,19.789,19.789,19.789,500,9894.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-13,19.71,19.71,16.86,16.86,2100,35406.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-14,15.831,19.473,15.831,18.998,4700,89290.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-15,18.206,18.998,16.781,18.998,2700,51294.600000000006,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-16,17.414,20.027,17.414,19.789,3200,63324.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-19,16.86,18.76,16.781,18.76,600,11256.000000000002,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
