time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-07-20,12.097,12.097,12.097,12.097,2000,24194.0,,,,,,,,
2017-07-21,12.944,12.944,12.944,12.944,10010,129569.44,,,,,,,,
2017-07-24,13.825,13.825,13.825,13.825,10,138.25,,,,,,,,
2017-07-25,14.778,14.778,14.778,14.778,10,147.78,,,,,,,,
2017-07-26,15.8,15.8,15.8,15.8,6020,95116.0,,,,,,,,
2017-07-27,16.894,16.894,16.012,16.894,1078970,18228119.18,,,,,,,,
2017-07-28,18.057,18.057,17.846,18.057,360000,6500519.999999999,,,,,,,,
2017-07-31,19.292,19.292,19.292,19.292,220000,4244240.0,,,,,,,,
2017-08-01,20.632,20.632,20.632,20.632,551530,11379166.96,,,,,,,,
2017-08-02,22.043,22.043,19.75,20.456,703050,14381590.8,,,,,,,,
2017-08-03,20.456,20.456,19.045,19.045,353980,6741549.100000001,,,,,,,,
2017-08-04,19.75,20.35,19.045,20.315,194320,3947610.8,,,,,,,,
2017-08-07,21.091,21.091,19.891,20.315,124720,2533686.8000000003,,,,,,,,
2017-08-08,19.75,19.891,19.116,19.116,245060,4684566.96,,,,,,,,
2017-08-09,19.045,19.539,17.811,19.539,675340,13195468.260000002,,,,,,,,
2017-08-10,19.539,19.539,18.269,18.41,86550,1593385.5,,,,,,,,
2017-08-11,17.634,19.045,17.634,19.045,152900,2911980.5000000005,,,,,,,,
2017-08-14,19.045,19.221,18.057,18.657,161420,3011612.94,,,,,,,,
2017-08-15,18.41,18.41,17.352,17.775,391180,6953224.499999999,,,,,,,,
2017-08-16,18.199,18.199,17.705,17.987,106700,1919212.9,,,,,,,,
2017-08-17,17.987,18.128,17.846,17.846,80110,1429643.06,,,,,,,,
2017-08-18,17.846,17.846,17.493,17.634,67000,1181478.0,,,,,,,,
2017-08-21,17.599,18.163,17.564,18.128,135980,2465045.44,,,,,,,,
2017-08-22,18.128,18.128,17.74,17.916,16960,303855.36,,,,,,,,
2017-08-23,17.634,17.916,17.634,17.775,38920,691803.0,,,,,,,,
2017-08-24,17.775,17.775,17.564,17.634,22810,402231.54,,,,,,,,
2017-08-25,17.634,18.057,17.634,17.916,158370,2837356.92,,,,,,,,
2017-08-28,17.705,18.234,17.564,18.199,161300,2935498.7,,,,,,,,
2017-08-29,18.34,18.34,17.846,18.199,62230,1132523.77,,,,,,,,
2017-08-30,18.128,18.128,17.634,17.846,114910,2050683.86,,,,,,,,
2017-08-31,17.74,18.022,17.423,17.634,225550,3977348.7,,,,,,,,
2017-09-01,17.634,18.022,17.564,17.987,161080,2897345.9599999995,,,,,,,,
2017-09-05,18.304,18.304,17.775,17.987,126890,2282370.43,,,,,,,,
2017-09-06,17.67,17.846,17.634,17.705,521380,9231032.9,,,,,,,,
2017-09-07,17.775,17.846,17.634,17.846,172410,3076828.86,,,,,,,,
2017-09-08,17.916,18.622,17.881,18.269,253780,4636306.819999999,,,,,,,,
2017-09-11,18.692,18.974,17.987,18.34,320470,5877419.8,,,,,,,,
2017-09-12,17.881,18.551,17.881,18.34,482780,8854185.2,,,,,,,,
2017-09-13,18.869,19.045,18.128,18.692,585880,10951268.96,,,,,,,,
