time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-11-25,7.15,11.92,5.79,6.81,60100,409281.0,,,,,,,,
2009-11-26,7.32,7.32,6.4,6.4,54400,348160.0,,,,,,,,
2009-11-27,7.49,7.49,6.88,6.88,22700,156176.0,,,,,,,,
2009-11-30,7.01,7.01,7.01,7.01,4000,28040.0,,,,,,,,
2009-12-01,6.64,6.64,6.54,6.54,14500,94830.0,,,,,,,,
2009-12-02,6.09,6.43,6.09,6.09,18100,110229.0,,,,,,,,
2009-12-03,5.79,5.79,5.69,5.69,3600,20484.0,,,,,,,,
2009-12-04,5.79,6.09,5.79,6.09,3500,21315.0,,,,,,,,
2009-12-07,5.79,5.79,5.62,5.62,3400,19108.0,,,,,,,,
2009-12-08,5.45,5.45,5.34,5.45,700,3815.0,,,,,,,,
2009-12-09,5.0,5.0,5.0,5.0,400,2000.0,,,,,,,,
2009-12-10,4.66,4.66,4.66,4.66,1700,7922.0,,,,,,,,
2009-12-11,4.39,4.39,4.36,4.36,5200,22672.0,,,,,,,,
2009-12-14,4.15,4.63,4.15,4.63,3000,13890.0,,,,,,,,
2009-12-15,4.8,4.8,4.8,4.8,2100,10080.0,,,,,,,,
2009-12-16,5.04,5.04,4.49,5.04,10800,54432.0,,,,,,,,
2009-12-17,4.77,4.77,4.77,4.77,3400,16217.999999999998,,,,,,,,
2009-12-18,5.04,5.07,5.04,5.07,1600,8112.0,,,,,,,,
2009-12-21,5.38,5.38,5.38,5.38,2300,12374.0,,,,,,,,
2009-12-22,5.72,5.75,5.72,5.75,2500,14375.0,,,,,,,,
2009-12-23,6.06,6.13,5.99,6.13,4400,26972.0,,,,,,,,
2009-12-24,6.37,6.37,6.06,6.06,5500,33330.0,,,,,,,,
2009-12-25,6.06,6.06,6.06,6.06,0,0.0,,,,,,,,
2009-12-28,6.77,6.77,6.47,6.6,6200,40920.0,,,,,,,,
2009-12-29,6.6,6.74,6.3,6.3,7400,46620.0,,,,,,,,
2009-12-30,6.03,6.47,6.03,6.03,1100,6633.0,,,,,,,,
2009-12-31,6.47,6.47,6.06,6.4,12200,78080.0,,,,,,,,
2010-01-04,6.43,6.88,6.43,6.81,12600,85806.0,,,,,,,,
2010-01-05,7.22,7.29,7.15,7.29,23000,167670.0,,,,,,,,
2010-01-06,7.22,7.56,7.22,7.42,24300,180306.0,,,,,,,,
2010-01-07,7.52,7.66,7.52,7.66,4400,33704.0,,,,,,,,
2010-01-08,7.25,7.25,7.12,7.12,2200,15664.0,,,,,,,,
2010-01-11,7.18,7.18,6.81,6.81,4000,27240.0,,,,,,,,
2010-01-12,6.81,6.81,6.81,6.81,2000,13620.0,,,,,,,,
2010-01-13,6.5,6.81,6.33,6.81,3600,24516.0,,,,,,,,
2010-01-14,6.47,6.47,6.47,6.47,500,3235.0,,,,,,,,
2010-01-15,6.81,6.81,6.47,6.47,300,1941.0,,,,,,,,
2010-01-18,6.13,6.3,6.13,6.3,800,5040.0,,,,,,,,
2010-01-19,6.23,6.64,6.23,6.64,33700,223768.0,,,,,,,,
2010-01-20,6.47,6.47,6.47,6.47,1500,9705.0,,,,,,,,
2010-01-21,6.47,6.47,6.47,6.47,0,0.0,,,,,,,,
2010-01-22,6.91,6.91,6.91,6.91,100,691.0,,,,,,,,
2010-01-25,6.47,6.5,6.47,6.5,2000,13000.0,,,,,,,,
2010-01-26,6.81,6.81,6.06,6.06,1500,9090.0,,,,,,,,
2010-01-27,6.57,6.57,6.47,6.57,5400,35478.0,,,,,,,,
2010-01-28,6.09,6.09,6.09,6.09,200,1218.0,,,,,,,,
2010-01-29,6.3,6.3,6.3,6.3,3000,18900.0,,,,,,,,
2010-02-01,6.3,6.3,6.3,6.3,2000,12600.0,,,,,,,,
2010-02-02,5.89,5.89,5.89,5.89,1000,5890.0,,,,,,,,
2010-02-03,5.48,5.48,5.48,5.48,500,2740.0,,,,,,,,
2010-02-04,5.48,5.48,5.48,5.48,0,0.0,,,,,,,,
2010-02-05,5.48,5.48,5.48,5.48,0,0.0,,,,,,,,
2010-02-08,5.17,5.17,5.17,5.17,100,517.0,,,,,,,,
2010-02-09,5.17,5.17,5.17,5.17,0,0.0,,,,,,,,
2010-02-10,4.97,4.97,4.97,4.97,100,497.0,,,,,,,,
2010-02-11,5.31,5.31,5.31,5.31,200,1062.0,,,,,,,,
2010-02-12,5.31,5.31,5.31,5.31,0,0.0,,,,,,,,
2010-02-22,5.31,5.31,5.31,5.31,0,0.0,,,,,,,,
2010-02-23,5.65,5.65,5.65,5.65,2000,11300.0,,,,,,,,
2010-02-24,6.03,6.03,6.03,6.03,100,603.0,,,,,,,,
2010-02-25,6.43,6.43,6.43,6.43,500,3215.0,,,,,,,,
2010-02-26,5.99,6.88,5.99,6.64,1300,8632.0,,,,,,,,
2010-03-01,6.81,7.12,6.81,7.05,3500,24675.0,,,,,,,,
2010-03-02,7.15,7.15,7.15,7.15,4900,35035.0,,,,,,,,
2010-03-03,7.15,7.32,6.81,7.15,10800,77220.0,,,,,,,,
2010-03-04,7.49,7.49,7.49,7.49,500,3745.0,,,,,,,,
2010-03-05,7.63,7.73,7.49,7.66,15800,121028.0,,,,,,,,
2010-03-08,7.8,7.8,7.59,7.59,2600,19734.0,,,,,,,,
2010-03-09,8.02,8.02,8.02,8.02,0,0.0,,,,,,,,
2010-03-10,8.09,8.13,7.66,8.13,5500,44715.00000000001,,,,,,,,
2010-03-11,7.91,8.27,7.91,8.27,29300,242311.0,,,,,,,,
2010-03-12,8.45,8.63,8.38,8.45,58100,490945.0,,,,,,,,
2010-03-15,8.27,8.27,8.09,8.16,13000,106080.0,,,,,,,,
2010-03-16,8.23,8.45,8.23,8.23,6100,50203.0,,,,,,,,
2010-03-17,8.09,8.09,8.09,8.09,10000,80900.0,,,,,,,,
2010-03-18,7.55,8.09,7.55,7.55,7600,57380.0,,,,,,,,
2010-03-19,7.84,8.09,7.84,8.09,10000,80900.0,,,,,,,,
2010-03-22,7.41,7.44,7.41,7.44,3400,25296.0,,,,,,,,
2010-03-23,7.41,7.41,7.01,7.01,4000,28040.0,,,,,,,,
2010-03-24,7.01,7.01,7.01,7.01,0,0.0,,,,,,,,
2010-03-25,7.26,7.3,7.26,7.3,1300,9490.0,,,,,,,,
2010-03-26,7.37,7.55,7.23,7.55,15900,120045.0,,,,,,,,
2010-03-29,7.55,7.55,7.41,7.41,600,4446.0,,,,,,,,
2010-03-30,7.19,7.19,7.19,7.19,3000,21570.0,,,,,,,,
2010-03-31,7.23,7.37,7.23,7.37,9000,66330.0,,,,,,,,
2010-04-01,7.84,7.84,7.84,7.84,22200,174048.0,,,,,,,,
2010-04-02,7.34,8.06,7.3,8.06,7400,59644.00000000001,,,,,,,,
2010-04-05,7.91,8.09,7.91,7.91,5500,43505.0,,,,,,,,
2010-04-06,7.91,7.91,7.91,7.91,0,0.0,,,,,,,,
2010-04-07,7.91,7.91,7.91,7.91,9500,75145.0,,,,,,,,
2010-04-08,8.34,8.45,8.31,8.45,75100,634595.0,,,,,,,,
2010-04-09,8.99,8.99,8.92,8.99,61300,551087.0,,,,,,,,
2010-04-12,9.6,9.6,9.57,9.6,22800,218880.0,,,,,,,,
2010-04-13,9.6,9.6,9.6,9.6,0,0.0,,,,,,,,
2010-04-14,9.6,9.6,9.6,9.6,0,0.0,,,,,,,,
2010-04-15,9.6,9.6,9.6,9.6,0,0.0,,,,,,,,
2010-04-16,8.99,8.99,8.99,8.99,100,899.0,,,,,,,,
2010-04-19,8.38,8.38,8.38,8.38,1000,8380.0,,,,,,,,
2010-04-20,7.8,7.8,7.8,7.8,200,1560.0,,,,,,,,
2010-04-21,7.73,7.73,7.7,7.7,500,3850.0,,,,,,,,
2010-04-22,7.44,8.2,7.44,7.91,4000,31640.0,,,,,,,,
2010-04-26,7.91,7.91,7.91,7.91,0,0.0,,,,,,,,
2010-04-27,7.91,7.91,7.91,7.91,0,0.0,,,,,,,,
2010-04-28,8.27,8.41,8.27,8.41,18100,152221.0,,,,,,,,
2010-04-29,8.7,8.7,7.91,7.91,6000,47460.0,,,,,,,,
2010-05-04,8.59,8.88,8.59,8.63,15200,131176.0,,,,,,,,
2010-05-05,8.63,9.24,8.63,9.24,42400,391776.0,,,,,,,,
2010-05-06,9.78,9.82,9.64,9.82,73800,724716.0,,,,,,,,
2010-05-07,10.39,10.39,10.39,10.39,24400,253516.0,,,,,,,,
2010-05-10,10.43,11.11,10.43,10.97,43400,476098.0,,,,,,,,
2010-05-11,11.04,11.04,10.86,10.97,8700,95439.0,,,,,,,,
2010-05-12,11.51,11.51,11.47,11.47,7000,80290.0,,,,,,,,
2010-05-13,10.79,12.3,10.72,12.3,37700,463710.0,,,,,,,,
2010-05-14,10.82,10.82,10.82,10.82,100,1082.0,,,,,,,,
2010-05-17,11.58,11.58,10.97,10.97,11500,126155.0,,,,,,,,
2010-05-18,12.23,12.23,12.19,12.19,8500,103615.0,,,,,,,,
2010-05-19,12.23,12.95,12.23,12.95,5000,64750.0,,,,,,,,
2010-05-20,12.95,12.95,12.95,12.95,0,0.0,,,,,,,,
2010-05-21,11.76,11.76,11.76,11.76,100,1176.0,,,,,,,,
2010-05-24,11.87,11.87,11.87,11.87,500,5935.0,,,,,,,,
2010-05-25,11.69,11.69,11.15,11.15,8500,94775.0,,,,,,,,
2010-05-26,11.15,11.15,11.15,11.15,0,0.0,,,,,,,,
2010-05-27,11.15,11.15,11.15,11.15,0,0.0,,,,,,,,
2010-05-28,10.97,11.15,10.97,11.11,12500,138875.0,,,,,,,,
2010-05-31,11.87,11.87,11.87,11.87,1100,13057.0,,,,,,,,
2010-06-01,11.87,11.87,11.87,11.87,2000,23740.0,,,,,,,,
2010-06-02,11.04,11.04,11.04,11.04,21500,237360.0,,,,,,,,
2010-06-03,11.04,11.8,10.28,10.28,21100,216908.0,,,,,,,,
2010-06-04,10.28,10.28,10.21,10.21,11100,113331.0,,,,,,,,
2010-06-07,10.21,10.21,10.21,10.21,6000,61260.00000000001,,,,,,,,
2010-06-08,10.21,10.21,10.21,10.21,0,0.0,,,,,,,,
2010-06-09,10.21,10.9,10.21,10.9,8000,87200.0,,,,,,,,
2010-06-10,10.61,11.33,10.61,11.33,33500,379555.0,,,,,,,,
2010-06-11,11.33,11.33,11.33,11.33,0,0.0,,,,,,,,
2010-06-14,12.05,12.05,11.51,11.9,14000,166600.0,,,,,,,,
2010-06-15,12.23,12.23,11.51,11.51,12500,143875.0,,,,,,,,
2010-06-16,11.8,11.87,11.8,11.8,10200,120360.0,,,,,,,,
2010-06-17,11.87,11.87,11.8,11.8,18000,212400.0,,,,,,,,
2010-06-18,11.8,11.8,11.72,11.8,18000,212400.0,,,,,,,,
2010-06-21,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2010-06-22,11.8,11.8,11.8,11.8,0,0.0,,,,,,,,
2010-06-23,11.69,11.8,11.51,11.8,50700,598260.0,,,,,,,,
2010-06-24,11.08,11.72,11.08,11.72,12000,140640.0,,,,,,,,
2010-06-25,11.69,11.69,10.9,11.51,33800,389038.0,,,,,,,,
