time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2011-03-30,2.68,2.68,2.35,2.5,87620,219050.0,,,,,,,,
2011-03-31,2.62,2.62,2.5,2.55,28820,73491.0,,,,,,,,
2011-04-01,2.55,2.6,2.55,2.55,26730,68161.5,,,,,,,,
2011-04-04,2.51,2.58,2.51,2.51,15180,38101.8,,,,,,,,
2011-04-05,2.58,2.58,2.4,2.4,52410,125784.0,,,,,,,,
2011-04-06,2.43,2.51,2.36,2.51,39100,98141.0,,,,,,,,
2011-04-07,2.51,2.51,2.43,2.43,11020,26778.6,,,,,,,,
2011-04-08,2.41,2.43,2.38,2.38,33250,79135.0,,,,,,,,
2011-04-13,2.28,2.4,2.28,2.28,17930,40880.4,,,,,,,,
2011-04-14,2.23,2.35,2.18,2.23,25100,55973.0,,,,,,,,
2011-04-15,2.26,2.28,2.2,2.28,22140,50479.2,,,,,,,,
2011-04-18,2.21,2.33,2.18,2.21,18250,40332.5,,,,,,,,
2011-04-19,2.21,2.21,2.11,2.11,14000,29540.0,,,,,,,,
2011-04-20,2.13,2.21,2.13,2.21,22130,48907.3,,,,,,,,
2011-04-21,2.3,2.3,2.2,2.23,17990,40117.7,,,,,,,,
2011-04-22,2.15,2.15,2.15,2.15,5000,10750.0,,,,,,,,
2011-04-25,2.21,2.25,2.18,2.18,5190,11314.2,,,,,,,,
2011-04-26,2.11,2.18,2.11,2.16,12190,26330.4,,,,,,,,
2011-04-27,2.11,2.11,2.06,2.06,14310,29478.6,,,,,,,,
2011-04-28,1.98,1.99,1.98,1.99,10020,19939.8,,,,,,,,
2011-04-29,2.01,2.06,2.01,2.01,4080,8200.8,,,,,,,,
2011-05-04,2.11,2.11,2.01,2.1,2700,5670.0,,,,,,,,
2011-05-05,2.05,2.1,2.05,2.1,4910,10311.0,,,,,,,,
2011-05-06,2.06,2.06,2.06,2.06,3400,7004.0,,,,,,,,
2011-05-09,2.06,2.06,2.06,2.06,100,206.0,,,,,,,,
2011-05-10,2.08,2.13,2.08,2.13,5520,11757.6,,,,,,,,
2011-05-11,2.1,2.1,2.08,2.08,4000,8320.0,,,,,,,,
2011-05-12,2.1,2.15,2.08,2.15,8140,17501.0,,,,,,,,
2011-05-13,2.1,2.1,2.05,2.1,24000,50400.0,,,,,,,,
2011-05-16,2.05,2.05,2.05,2.05,10000,20500.0,,,,,,,,
2011-05-17,2.05,2.05,1.99,2.01,7370,14813.7,,,,,,,,
2011-05-18,2.08,2.11,2.08,2.11,16960,35785.6,,,,,,,,
2011-05-19,2.21,2.21,2.11,2.15,51290,110273.5,,,,,,,,
2011-05-20,2.15,2.18,2.11,2.11,14440,30468.4,,,,,,,,
2011-05-23,2.06,2.06,2.01,2.06,16740,34484.4,,,,,,,,
2011-05-24,1.98,1.99,1.96,1.96,5510,10799.6,,,,,,,,
2011-05-25,1.96,1.96,1.88,1.88,21620,40645.6,,,,,,,,
2011-05-26,1.79,1.96,1.79,1.96,20070,39337.2,,,,,,,,
2011-05-27,2.05,2.05,2.01,2.05,32760,67158.0,,,,,,,,
2011-05-30,2.09,2.09,1.94,1.94,1060,2056.4,,,,,,,,
2011-05-31,1.94,2.0,1.88,1.94,9270,17983.8,,,,,,,,
2011-06-01,2.0,2.02,2.0,2.02,7260,14665.2,,,,,,,,
2011-06-02,2.09,2.09,2.0,2.05,10660,21853.0,,,,,,,,
2011-06-03,2.09,2.09,2.0,2.0,13030,26060.0,,,,,,,,
2011-06-06,2.09,2.09,2.0,2.0,19350,38700.0,,,,,,,,
2011-06-07,2.09,2.11,2.07,2.11,20620,43508.2,,,,,,,,
2011-06-08,2.17,2.17,2.0,2.0,18290,36580.0,,,,,,,,
2011-06-09,2.07,2.09,2.07,2.09,11010,23010.9,,,,,,,,
2011-06-10,2.13,2.13,2.09,2.13,7700,16401.0,,,,,,,,
2011-06-13,2.05,2.11,2.05,2.11,15250,32177.5,,,,,,,,
2011-06-14,2.09,2.11,2.09,2.09,17190,35927.1,,,,,,,,
2011-06-15,2.09,2.09,2.0,2.07,80900,167463.0,,,,,,,,
2011-06-16,2.07,2.07,2.02,2.07,24520,50756.4,,,,,,,,
