time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-09-13,5.55,5.55,4.87,4.94,226300,1117922.0,,,,,,,,
2010-09-14,5.18,5.18,4.96,5.18,228930,1185857.4,,,,,,,,
2010-09-15,5.18,5.29,5.08,5.18,61060,316290.8,,,,,,,,
2010-09-16,5.1,5.2,5.03,5.1,22840,116484.0,,,,,,,,
2010-09-17,5.1,5.32,5.1,5.32,119850,637602.0,,,,,,,,
2010-09-20,5.51,5.58,5.37,5.56,127800,710568.0,,,,,,,,
2010-09-21,5.56,5.72,5.41,5.55,100810,559495.5,,,,,,,,
2010-09-22,5.37,5.55,5.37,5.37,129130,693428.1,,,,,,,,
2010-09-23,5.37,5.37,5.11,5.11,155180,792969.8,,,,,,,,
2010-09-24,4.99,5.18,4.99,5.15,95550,492082.50000000006,,,,,,,,
2010-09-27,5.13,5.27,5.13,5.13,71030,364383.9,,,,,,,,
2010-09-28,5.36,5.37,5.3,5.37,211490,1135701.3,,,,,,,,
2010-09-29,5.36,5.43,5.15,5.36,95990,514506.4,,,,,,,,
2010-09-30,5.36,5.36,5.2,5.25,43840,230160.0,,,,,,,,
2010-10-01,5.18,5.3,5.18,5.18,48890,253250.2,,,,,,,,
2010-10-04,4.94,5.18,4.94,4.94,101790,502842.6,,,,,,,,
2010-10-05,4.71,4.94,4.71,4.94,34440,170133.6,,,,,,,,
2010-10-06,5.13,5.13,4.89,5.13,40100,205713.0,,,,,,,,
2010-10-07,4.91,5.18,4.91,4.91,90700,445337.0,,,,,,,,
2010-10-08,4.85,5.01,4.85,4.87,52060,253532.2,,,,,,,,
2010-10-11,5.03,5.03,4.85,4.87,33360,162463.2,,,,,,,,
2010-10-12,4.77,4.87,4.77,4.77,36200,172673.99999999997,,,,,,,,
2010-10-13,4.71,4.8,4.68,4.71,79300,373503.0,,,,,,,,
2010-10-14,4.7,4.82,4.7,4.77,42050,200578.5,,,,,,,,
2010-10-15,4.97,4.97,4.77,4.97,66560,330803.2,,,,,,,,
2010-10-18,5.1,5.1,4.85,5.03,49050,246721.5,,,,,,,,
2010-10-19,4.96,5.03,4.82,4.91,42950,210884.5,,,,,,,,
2010-10-20,4.66,4.85,4.66,4.66,68380,318650.8,,,,,,,,
2010-10-21,4.66,4.68,4.51,4.51,28050,126505.5,,,,,,,,
2010-10-22,4.51,4.65,4.39,4.39,45630,200315.7,,,,,,,,
2010-10-25,4.35,4.47,4.33,4.45,37580,167231.0,,,,,,,,
2010-10-26,4.66,4.66,4.56,4.66,7860,36627.6,,,,,,,,
2010-10-27,4.51,4.68,4.47,4.51,15500,69905.0,,,,,,,,
2010-10-28,4.37,4.51,4.37,4.51,2660,11996.6,,,,,,,,
2010-10-29,4.54,4.58,4.47,4.54,31690,143872.6,,,,,,,,
2010-11-01,4.59,4.59,4.35,4.37,12120,52964.4,,,,,,,,
2010-11-02,4.44,4.44,4.32,4.32,15720,67910.40000000001,,,,,,,,
2010-11-03,4.21,4.32,4.19,4.21,12350,51993.5,,,,,,,,
2010-11-04,4.23,4.3,4.13,4.23,15960,67510.8,,,,,,,,
2010-11-05,4.26,4.3,4.25,4.26,9510,40512.6,,,,,,,,
2010-11-08,4.32,4.32,4.09,4.25,10470,44497.5,,,,,,,,
2010-11-09,4.39,4.39,4.06,4.06,26210,106412.6,,,,,,,,
2010-11-10,3.87,4.16,3.87,3.93,42380,166553.4,,,,,,,,
2010-11-11,3.99,4.13,3.92,4.13,93180,384833.4,,,,,,,,
2010-11-12,4.13,4.13,3.93,3.93,79590,312788.7,,,,,,,,
2010-11-15,3.93,3.99,3.74,3.92,22160,86867.2,,,,,,,,
2010-11-16,4.02,4.02,3.74,3.74,42510,158987.40000000002,,,,,,,,
2010-11-17,3.9,3.9,3.74,3.74,14720,55052.8,,,,,,,,
2010-11-18,3.85,3.9,3.74,3.85,38120,146762.0,,,,,,,,
2010-11-19,3.9,3.97,3.78,3.78,51030,192893.4,,,,,,,,
2010-11-22,3.61,3.76,3.61,3.61,39160,141367.6,,,,,,,,
2010-11-23,3.73,3.73,3.52,3.59,29690,106587.1,,,,,,,,
2010-11-24,3.43,3.54,3.41,3.43,37170,127493.1,,,,,,,,
2010-11-25,3.59,3.59,3.47,3.59,111610,400679.9,,,,,,,,
2010-11-26,3.64,3.67,3.55,3.64,55090,200527.6,,,,,,,,
2010-11-29,3.48,3.81,3.48,3.81,52290,199224.9,,,,,,,,
2010-11-30,3.9,4.0,3.9,4.0,91320,365280.0,,,,,,,,
2010-12-01,4.07,4.19,3.93,3.93,95160,373978.8,,,,,,,,
2010-12-02,4.13,4.13,3.92,4.13,53430,220665.9,,,,,,,,
2010-12-03,4.32,4.32,4.32,4.32,36220,156470.40000000002,,,,,,,,
2010-12-06,4.52,4.52,4.49,4.52,129430,585023.6,,,,,,,,
2010-12-07,4.33,4.75,4.33,4.33,97170,420746.1,,,,,,,,
2010-12-08,4.47,4.54,4.13,4.13,99870,412463.1,,,,,,,,
2010-12-09,4.25,4.32,4.11,4.32,102450,442584.00000000006,,,,,,,,
2010-12-10,4.49,4.52,4.33,4.52,91430,413263.6,,,,,,,,
2010-12-13,4.75,4.75,4.68,4.75,138410,657447.5,,,,,,,,
2010-12-14,4.97,4.97,4.52,4.97,221980,1103240.6,,,,,,,,
2010-12-15,4.77,4.97,4.73,4.73,102550,485061.50000000006,,,,,,,,
2010-12-16,4.54,4.56,4.51,4.51,59770,269562.7,,,,,,,,
2010-12-17,4.51,4.59,4.47,4.51,60300,271953.0,,,,,,,,
2010-12-20,4.51,4.54,4.42,4.51,70330,317188.3,,,,,,,,
2010-12-21,4.39,4.56,4.37,4.51,65600,295856.0,,,,,,,,
2010-12-22,4.32,4.56,4.32,4.32,45810,197899.2,,,,,,,,
2010-12-23,4.3,4.32,4.14,4.14,46650,193131.0,,,,,,,,
