time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2015-03-09,12.301,12.301,12.301,12.301,29000,356729.0,,,,,,,,
2015-03-10,13.121,13.121,13.121,13.121,91890,1205688.69,,,,,,,,
2015-03-11,14.009,14.009,14.009,14.009,1097370,15373056.33,,,,,,,,
2015-03-12,14.829,14.966,14.351,14.966,1302430,19492167.38,,,,,,,,
2015-03-13,14.692,14.966,14.351,14.829,524580,7778996.82,,,,,,,,
2015-03-16,13.804,13.941,13.804,13.804,1358550,18753424.2,,,,,,,,
2015-03-17,13.531,13.804,13.462,13.667,1241110,16962250.37,,,,,,,,
2015-03-18,13.599,13.736,13.462,13.736,971170,13339991.12,,,,,,,,
2015-03-19,13.736,14.077,13.667,13.804,1213710,16754052.84,,,,,,,,
2015-03-20,13.804,13.872,13.667,13.872,995200,13805414.4,,,,,,,,
2015-03-23,13.872,13.941,13.531,13.667,1297670,17735255.89,,,,,,,,
2015-03-24,13.667,13.667,13.394,13.462,791740,10658403.88,,,,,,,,
2015-03-25,13.531,13.667,13.462,13.599,885650,12043954.35,,,,,,,,
2015-03-26,13.531,13.667,13.531,13.599,592740,8060671.26,,,,,,,,
2015-03-27,13.667,13.667,13.462,13.462,602670,8113143.54,,,,,,,,
2015-03-30,13.462,13.531,13.394,13.394,651180,8721904.92,,,,,,,,
2015-03-31,13.394,13.872,13.394,13.667,717370,9804295.79,,,,,,,,
2015-04-01,13.667,13.736,13.394,13.462,695700,9365513.4,,,,,,,,
2015-04-02,13.531,13.667,13.462,13.531,784940,10621023.14,,,,,,,,
2015-04-03,13.599,14.419,13.531,14.419,2033850,29326083.15,,,,,,,,
2015-04-06,14.487,14.692,14.351,14.419,858080,12372655.52,,,,,,,,
2015-04-07,14.419,14.556,14.214,14.351,711680,10213319.68,,,,,,,,
2015-04-08,14.282,14.351,14.009,14.146,1354770,19164576.42,,,,,,,,
2015-04-09,14.146,14.419,14.009,14.282,998580,14261719.56,,,,,,,,
2015-04-10,14.282,14.829,14.214,14.692,1211750,17803031.0,,,,,,,,
2015-04-13,14.624,14.692,14.419,14.624,749720,10963905.28,,,,,,,,
2015-04-14,14.556,14.624,14.282,14.419,813180,11725242.42,,,,,,,,
2015-04-15,14.419,14.487,14.351,14.419,418880,6039830.72,,,,,,,,
2015-04-16,14.419,15.376,14.351,15.376,2004210,30816732.96,,,,,,,,
2015-04-17,15.376,15.444,14.897,15.102,1088830,16443510.66,,,,,,,,
2015-04-20,15.034,15.102,14.624,14.761,786990,11616759.39,,,,,,,,
2015-04-21,14.692,14.829,14.624,14.692,645590,9485008.28,,,,,,,,
2015-04-22,14.761,15.171,14.692,14.829,1266890,18786711.81,,,,,,,,
2015-04-23,14.829,14.966,14.624,14.829,845640,12539995.56,,,,,,,,
2015-04-24,14.829,14.897,14.692,14.761,809740,11952572.14,,,,,,,,
2015-04-27,14.761,14.829,14.624,14.692,888550,13054576.6,,,,,,,,
2015-05-04,14.692,14.761,13.667,13.667,1122570,15342164.19,,,,,,,,
2015-05-05,13.326,13.599,13.189,13.394,884920,11852618.48,,,,,,,,
2015-05-06,13.531,13.736,12.506,12.506,826870,10340836.22,,,,,,,,
2015-05-07,12.506,12.506,11.686,11.686,1541140,18009762.04,,,,,,,,
2015-05-08,11.686,12.027,11.617,11.822,796150,9412085.3,,,,,,,,
2015-05-11,11.822,12.027,11.822,11.822,555500,6567121.0,,,,,,,,
2015-05-12,11.822,11.822,11.686,11.822,502170,5936653.739999999,,,,,,,,
2015-05-13,11.822,11.959,11.754,11.822,431060,5095991.319999999,,,,,,,,
2015-05-14,11.822,11.891,11.686,11.822,468240,5535533.279999999,,,,,,,,
2015-05-15,11.822,11.891,11.617,11.754,407870,4794103.98,,,,,,,,
2015-05-18,11.754,11.891,11.686,11.822,601100,7106204.199999999,,,,,,,,
2015-05-19,11.822,12.027,11.754,11.822,522770,6180186.94,,,,,,,,
2015-05-20,11.822,11.891,11.686,11.891,560180,6661100.38,,,,,,,,
2015-05-21,11.891,12.027,11.754,11.822,400700,4737075.399999999,,,,,,,,
2015-05-22,11.822,11.959,11.754,11.822,366810,4336427.819999999,,,,,,,,
2015-05-25,11.822,12.027,11.754,11.891,576850,6859323.35,,,,,,,,
2015-05-26,11.891,12.027,11.822,11.959,504650,6035109.35,,,,,,,,
2015-05-27,11.959,12.027,11.754,11.959,340930,4077181.87,,,,,,,,
2015-05-28,11.959,12.779,11.891,12.779,1337460,17091401.34,,,,,,,,
2015-05-29,13.052,13.667,13.052,13.667,1541420,21066587.14,,,,,,,,
2015-06-01,13.804,13.872,13.462,13.667,705060,9636055.02,,,,,,,,
2015-06-02,13.599,13.667,13.326,13.462,763880,10283352.56,,,,,,,,
2015-06-03,13.462,13.599,13.326,13.462,612720,8248436.64,,,,,,,,
2015-06-04,13.462,14.077,13.462,13.941,983960,13717386.36,,,,,,,,
2015-06-05,13.941,14.419,13.872,14.282,1071380,15301449.16,,,,,,,,
2015-06-08,14.351,14.761,14.282,14.556,1258230,18314795.88,,,,,,,,
2015-06-09,14.487,14.692,14.351,14.487,1059290,15345934.23,,,,,,,,
2015-06-10,14.487,14.556,14.282,14.487,848210,12288018.27,,,,,,,,
2015-06-11,14.487,14.556,14.419,14.487,958200,13881443.4,,,,,,,,
2015-06-12,14.487,15.239,14.419,15.102,1355210,20466381.42,,,,,,,,
2015-06-15,15.171,15.376,15.034,15.102,1002750,15143530.5,,,,,,,,
2015-06-16,15.102,15.171,15.034,15.102,828890,12517896.78,,,,,,,,
2015-06-17,15.034,15.102,14.897,15.034,839590,12622396.06,,,,,,,,
2015-06-18,15.034,16.059,15.034,16.059,1969310,31625149.290000003,,,,,,,,
2015-06-19,16.264,16.811,16.264,16.401,1481890,24304477.89,,,,,,,,
2015-06-22,16.332,16.469,15.307,15.717,1072730,16860097.41,,,,,,,,
2015-06-23,15.649,15.786,15.307,15.444,906640,14002148.16,,,,,,,,
2015-06-24,15.444,15.922,15.376,15.649,1153930,18057850.57,,,,,,,,
2015-06-25,15.649,15.717,14.556,14.556,1765670,25701092.52,,,,,,,,
2015-06-26,14.487,14.761,14.351,14.624,855370,12508930.88,,,,,,,,
2015-06-29,14.556,14.761,14.487,14.624,773250,11308008.0,,,,,,,,
2015-06-30,14.556,14.624,14.419,14.556,860430,12524419.08,,,,,,,,
2015-07-01,14.556,15.512,14.487,15.512,1579000,24493448.0,,,,,,,,
2015-07-02,15.512,15.922,14.487,14.692,2037880,29940532.96,,,,,,,,
2015-07-03,14.692,15.034,13.667,13.804,1639520,22631934.08,,,,,,,,
2015-07-06,13.667,13.804,13.326,13.462,999130,13450288.06,,,,,,,,
2015-07-07,13.462,13.599,13.326,13.531,861350,11654926.85,,,,,,,,
2015-07-08,13.531,13.599,13.326,13.326,716640,9549944.64,,,,,,,,
2015-07-09,13.326,13.599,13.326,13.394,672410,9006259.540000001,,,,,,,,
2015-07-10,13.462,13.599,13.394,13.462,638670,8597775.54,,,,,,,,
2015-07-13,13.462,13.667,13.462,13.531,600000,8118600.0,,,,,,,,
2015-07-14,13.531,13.599,13.394,13.531,535300,7243144.300000001,,,,,,,,
2015-07-15,13.531,13.667,13.462,13.462,655120,8819225.44,,,,,,,,
2015-07-16,13.462,13.599,13.462,13.462,426460,5741004.52,,,,,,,,
2015-07-17,13.462,13.872,13.462,13.667,685650,9370778.55,,,,,,,,
2015-07-20,13.667,13.736,13.531,13.599,407620,5543224.38,,,,,,,,
2015-07-21,13.599,13.736,13.462,13.531,501490,6785661.19,,,,,,,,
2015-07-22,13.531,13.667,13.462,13.599,501480,6819626.5200000005,,,,,,,,
2015-07-23,13.599,13.736,13.531,13.599,743820,10115208.18,,,,,,,,
2015-07-24,13.599,13.599,13.394,13.599,841030,11437166.97,,,,,,,,
2015-07-27,13.599,13.736,13.531,13.599,599120,8147432.88,,,,,,,,
2015-07-28,13.599,13.667,13.531,13.531,584400,7907516.4,,,,,,,,
2015-07-29,13.531,13.667,13.462,13.531,678700,9183489.7,,,,,,,,
2015-07-30,13.531,13.599,13.462,13.531,628630,8505992.530000001,,,,,,,,
2015-07-31,13.531,13.667,13.462,13.531,796810,10781636.11,,,,,,,,
2015-08-03,13.462,13.599,13.394,13.462,622840,8384672.08,,,,,,,,
2015-08-04,13.462,13.599,13.462,13.599,637880,8674530.120000001,,,,,,,,
2015-08-05,13.599,13.872,13.531,13.804,1358180,18748316.72,,,,,,,,
2015-08-06,13.804,13.941,13.667,13.736,688430,9456274.48,,,,,,,,
2015-08-07,13.736,13.941,13.667,13.804,911610,12583864.44,,,,,,,,
2015-08-10,13.804,13.804,13.531,13.667,720680,9849533.56,,,,,,,,
2015-08-11,13.667,13.804,13.531,13.667,1042300,14245114.1,,,,,,,,
2015-08-12,13.599,13.667,13.531,13.599,601340,8177622.66,,,,,,,,
2015-08-13,13.599,13.667,13.462,13.531,834870,11296625.97,,,,,,,,
2015-08-14,13.531,13.599,13.462,13.462,628150,8456155.3,,,,,,,,
2015-08-17,13.462,13.599,13.394,13.531,971270,13142254.37,,,,,,,,
2015-08-18,13.531,13.804,13.531,13.667,606870,8294092.29,,,,,,,,
2015-08-19,13.667,13.736,13.531,13.667,849340,11607929.78,,,,,,,,
2015-08-20,13.667,13.736,13.531,13.599,629830,8565058.17,,,,,,,,
2015-08-21,13.531,13.599,13.394,13.599,1015280,13806792.72,,,,,,,,
2015-08-24,13.599,13.599,13.326,13.531,763600,10332271.6,,,,,,,,
2015-08-25,13.462,13.736,13.394,13.667,1216350,16623855.45,,,,,,,,
2015-08-26,13.667,14.009,13.599,13.941,957090,13342791.69,,,,,,,,
