time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-06-26,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-06-27,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-06-28,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-06-29,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-06-30,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-03,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-04,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-05,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-06,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-07,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-10,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-11,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-12,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-13,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-14,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-17,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-18,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-19,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-20,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-21,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-24,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-25,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-26,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-27,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-28,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-07-31,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-01,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-02,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-03,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-04,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-07,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-08,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-09,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-10,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-11,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-14,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-15,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-16,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
2017-08-17,5.288,5.288,5.288,5.288,0,0.0,,,,,,,,
