time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2014-09-29,4.673,4.673,4.549,4.673,2604800,12172230.4,,,,,,,,
2014-09-30,5.141,5.141,5.141,5.141,425690,2188472.29,,,,,,,,
2014-10-01,5.639,5.639,5.639,5.639,1125625,6347399.375,,,,,,,,
2014-10-02,6.2,6.2,5.67,6.169,1980565,12218105.485,,,,,,,,
2014-10-03,6.231,6.511,6.044,6.169,770850,4755373.649999999,,,,,,,,
2014-10-06,6.169,6.231,5.67,5.67,801205,4542832.35,,,,,,,,
2014-10-07,5.67,5.919,5.514,5.733,1044220,5986513.26,,,,,,,,
2014-10-08,5.764,5.857,5.328,5.328,963660,5134380.48,,,,,,,,
2014-10-09,5.328,5.452,5.172,5.203,776090,4037996.27,,,,,,,,
2014-10-10,5.234,5.234,4.923,4.923,1184660,5832081.18,,,,,,,,
2014-10-13,4.923,4.923,4.798,4.86,603690,2933933.4000000004,,,,,,,,
2014-10-14,4.86,5.078,4.829,4.954,473790,2347155.66,,,,,,,,
2014-10-15,4.954,4.985,4.486,4.86,634900,3085614.0,,,,,,,,
2014-10-16,4.86,4.923,4.673,4.798,614740,2949522.52,,,,,,,,
2014-10-17,4.798,4.985,4.798,4.985,500900,2496986.5,,,,,,,,
2014-10-20,5.078,5.078,4.829,4.954,349900,1733404.6,,,,,,,,
2014-10-21,4.891,4.954,4.829,4.923,122700,604052.1,,,,,,,,
2014-10-22,4.86,4.954,4.86,4.954,250410,1240531.14,,,,,,,,
2014-10-23,4.954,5.296,4.891,5.047,487603,2460932.341,,,,,,,,
2014-10-24,4.985,5.203,4.985,5.078,232410,1180177.98,,,,,,,,
2014-10-27,5.047,5.172,4.985,5.047,303500,1531764.5,,,,,,,,
2014-10-28,5.047,5.078,4.923,5.047,213800,1079048.6,,,,,,,,
2014-10-29,5.016,5.328,5.016,5.203,821900,4276345.7,,,,,,,,
2014-10-30,5.203,5.421,5.172,5.234,633930,3317989.62,,,,,,,,
2014-10-31,5.296,5.328,5.203,5.296,676620,3583379.52,,,,,,,,
2014-11-03,5.328,5.514,5.328,5.421,1342200,7276066.2,,,,,,,,
2014-11-04,5.452,5.452,5.328,5.328,555815,2961382.3200000003,,,,,,,,
2014-11-05,5.328,5.359,5.172,5.265,806800,4247802.0,,,,,,,,
2014-11-06,5.265,5.296,5.141,5.141,644140,3311523.74,,,,,,,,
2014-11-07,5.172,5.234,5.141,5.203,713500,3712340.5,,,,,,,,
2014-11-10,5.234,5.452,5.234,5.39,1300900,7011851.0,,,,,,,,
2014-11-11,5.39,5.421,5.296,5.296,879740,4659103.04,,,,,,,,
2014-11-12,5.296,5.359,5.265,5.296,1040350,5509693.600000001,,,,,,,,
2014-11-13,5.296,5.296,5.234,5.296,615420,3259264.3200000003,,,,,,,,
2014-11-14,5.296,5.452,5.265,5.359,1872510,10034781.09,,,,,,,,
2014-11-17,5.39,5.639,5.39,5.483,1343903,7368620.148999999,,,,,,,,
2014-11-18,5.546,5.67,5.483,5.514,2361540,13021531.56,,,,,,,,
2014-11-19,5.514,5.514,4.985,5.016,4022600,20177361.6,,,,,,,,
2014-11-20,5.047,5.203,5.016,5.109,1315013,6718401.417,,,,,,,,
2014-11-21,5.585,5.585,5.466,5.505,1574400,8667072.0,,,,,,,,
2014-11-24,5.426,5.426,5.149,5.149,388000,1997812.0,,,,,,,,
2014-11-25,5.149,5.268,5.109,5.149,401400,2066808.6,,,,,,,,
2014-11-26,5.109,5.149,4.753,4.872,815400,3972628.8,,,,,,,,
2014-11-27,4.872,4.951,4.753,4.911,654900,3216213.9,,,,,,,,
2014-11-28,4.911,5.149,4.911,5.03,758200,3813746.0,,,,,,,,
2014-12-01,5.07,5.228,4.991,4.991,544100,2715603.1,,,,,,,,
2014-12-02,4.991,5.109,4.951,5.03,620700,3122121.0,,,,,,,,
2014-12-03,5.03,5.07,4.991,5.07,578200,2931474.0,,,,,,,,
2014-12-04,5.07,5.07,4.991,4.991,586800,2928718.8,,,,,,,,
2014-12-05,4.991,5.07,4.951,5.03,667300,3356519.0,,,,,,,,
2014-12-08,5.03,5.03,4.911,5.03,650700,3273021.0,,,,,,,,
2014-12-09,4.991,4.991,4.634,4.911,842030,4135209.33,,,,,,,,
2014-12-10,4.832,4.991,4.753,4.991,645610,3222239.51,,,,,,,,
2014-12-11,4.951,4.991,4.872,4.911,704900,3461763.9,,,,,,,,
2014-12-12,4.832,4.911,4.753,4.753,633400,3010550.2,,,,,,,,
2014-12-15,4.792,4.872,4.713,4.753,561400,2668334.2,,,,,,,,
2014-12-16,4.753,4.832,4.634,4.634,586100,2715987.4000000004,,,,,,,,
2014-12-17,4.674,4.713,4.238,4.436,707500,3138470.0,,,,,,,,
2014-12-18,4.555,4.594,4.436,4.594,349610,1606108.34,,,,,,,,
2014-12-19,4.594,4.634,4.317,4.594,298000,1369012.0,,,,,,,,
2014-12-22,4.515,4.634,4.515,4.634,457400,2119591.6,,,,,,,,
2014-12-23,4.594,4.674,4.515,4.674,491700,2298205.8000000003,,,,,,,,
2014-12-24,4.634,4.872,4.634,4.832,795000,3841440.0,,,,,,,,
2014-12-25,4.832,4.872,4.674,4.792,583100,2794215.2,,,,,,,,
2014-12-26,4.713,4.713,4.476,4.476,527000,2358852.0,,,,,,,,
2014-12-29,4.476,4.555,4.198,4.198,547300,2297565.4000000004,,,,,,,,
2014-12-30,4.198,4.238,4.08,4.198,108200,454223.6,,,,,,,,
2014-12-31,4.238,4.594,4.238,4.594,463210,2127986.74,,,,,,,,
2015-01-05,4.674,4.674,4.594,4.594,72000,330768.0,,,,,,,,
2015-01-06,4.317,4.634,4.317,4.594,123800,568737.2000000001,,,,,,,,
2015-01-07,4.555,4.634,4.476,4.555,125000,569375.0,,,,,,,,
2015-01-08,4.515,4.634,4.436,4.594,227300,1044216.2,,,,,,,,
2015-01-09,4.555,4.594,4.515,4.555,96700,440468.5,,,,,,,,
2015-01-12,4.555,4.555,4.476,4.476,100600,450285.6,,,,,,,,
2015-01-13,4.476,4.476,4.357,4.357,153200,667492.4,,,,,,,,
2015-01-14,4.594,4.594,4.396,4.476,388620,1739463.12,,,,,,,,
2015-01-15,4.357,4.594,4.357,4.476,107500,481170.0,,,,,,,,
2015-01-16,4.476,4.515,4.396,4.476,168700,755101.2,,,,,,,,
2015-01-19,4.515,4.634,4.476,4.594,364400,1674053.6,,,,,,,,
2015-01-20,4.594,4.674,4.594,4.594,288530,1325506.82,,,,,,,,
2015-01-21,4.594,4.634,4.515,4.594,207200,951876.8,,,,,,,,
2015-01-22,4.555,4.594,4.515,4.594,222800,1023543.2,,,,,,,,
2015-01-23,4.594,4.674,4.555,4.634,310400,1438393.6,,,,,,,,
2015-01-26,4.713,5.07,4.634,4.832,1057200,5108390.399999999,,,,,,,,
2015-01-27,4.951,4.951,4.515,4.634,488600,2264172.4000000004,,,,,,,,
2015-01-28,4.634,4.713,4.555,4.555,351500,1601082.5,,,,,,,,
2015-01-29,4.634,4.753,4.555,4.634,420600,1949060.4,,,,,,,,
2015-01-30,4.634,4.674,4.476,4.515,329900,1489498.5,,,,,,,,
2015-02-02,4.476,4.555,4.396,4.476,306300,1370998.8,,,,,,,,
2015-02-03,4.436,4.476,4.278,4.278,377400,1614517.2,,,,,,,,
2015-02-04,4.278,4.278,4.119,4.238,316800,1342598.4,,,,,,,,
2015-02-05,4.198,4.515,4.198,4.396,577200,2537371.2,,,,,,,,
2015-02-06,4.436,4.476,4.357,4.436,216100,958619.6,,,,,,,,
2015-02-09,4.396,4.396,4.278,4.357,188700,822165.9,,,,,,,,
2015-02-10,4.317,4.436,4.317,4.396,404600,1778621.6,,,,,,,,
2015-02-11,4.396,4.515,4.396,4.396,456000,2004576.0,,,,,,,,
2015-02-12,4.436,4.515,4.436,4.476,444600,1990029.6,,,,,,,,
2015-02-13,4.476,4.555,4.436,4.555,485600,2211908.0,,,,,,,,
2015-02-24,4.674,4.872,4.634,4.753,825390,3923078.67,,,,,,,,
2015-02-25,4.713,4.753,4.634,4.674,588900,2752518.6,,,,,,,,
2015-02-26,4.674,4.674,4.594,4.674,626000,2925924.0000000005,,,,,,,,
2015-02-27,4.674,4.832,4.674,4.753,907510,4313395.03,,,,,,,,
2015-03-02,4.753,4.792,4.713,4.753,529050,2514574.65,,,,,,,,
2015-03-03,4.792,4.991,4.753,4.911,1198430,5885489.73,,,,,,,,
2015-03-04,4.911,4.991,4.792,4.911,899645,4418156.595,,,,,,,,
2015-03-05,4.951,4.951,4.832,4.832,793610,3834723.52,,,,,,,,
2015-03-06,4.832,4.991,4.792,4.951,1085510,5374360.01,,,,,,,,
2015-03-09,4.991,5.228,4.951,5.149,1541940,7939449.06,,,,,,,,
2015-03-10,5.228,5.228,5.03,5.149,972110,5005394.39,,,,,,,,
2015-03-11,5.149,5.149,5.03,5.03,917700,4616031.0,,,,,,,,
2015-03-12,4.991,5.03,4.911,5.03,735615,3700143.45,,,,,,,,
2015-03-13,5.03,5.07,4.951,5.03,767605,3861053.15,,,,,,,,
2015-03-16,4.991,5.03,4.872,4.951,601800,2979511.8,,,,,,,,
2015-03-17,5.03,5.03,4.911,4.911,717936,3525783.6959999995,,,,,,,,
2015-03-18,4.951,5.07,4.911,5.03,893600,4494808.0,,,,,,,,
2015-03-19,5.07,5.07,4.991,4.991,626210,3125414.11,,,,,,,,
2015-03-20,4.991,5.07,4.911,5.07,899399,4559952.930000001,,,,,,,,
2015-03-23,4.991,5.109,4.951,4.951,600310,2972134.81,,,,,,,,
2015-03-24,4.951,4.991,4.872,4.951,970425,4804574.175,,,,,,,,
2015-03-25,4.951,5.109,4.951,5.03,1198710,6029511.300000001,,,,,,,,
2015-03-26,5.03,5.268,5.03,5.268,1819069,9582855.492,,,,,,,,
2015-03-27,5.268,5.307,5.149,5.149,1355560,6979778.44,,,,,,,,
2015-03-30,5.149,5.228,4.991,5.03,693900,3490317.0,,,,,,,,
2015-03-31,5.03,5.149,5.03,5.109,1073640,5485226.76,,,,,,,,
2015-04-01,5.109,5.149,4.951,4.991,1256205,6269719.154999999,,,,,,,,
2015-04-02,4.991,5.109,4.991,5.109,881909,4505673.081,,,,,,,,
2015-04-03,5.109,5.189,5.109,5.189,1117000,5796113.0,,,,,,,,
2015-04-06,5.189,5.228,5.109,5.149,1030900,5308104.1,,,,,,,,
2015-04-07,5.149,5.36,5.149,5.36,1260600,6756816.0,,,,,,,,
2015-04-08,5.36,5.571,5.36,5.444,1761810,9591293.64,,,,,,,,
2015-04-09,5.444,5.529,5.402,5.486,1448400,7945922.399999999,,,,,,,,
2015-04-10,5.486,5.529,5.444,5.444,1336300,7274817.2,,,,,,,,
2015-04-13,5.444,5.529,5.36,5.36,1447400,7758064.0,,,,,,,,
2015-04-14,5.36,5.402,5.275,5.275,1244000,6562100.0,,,,,,,,
2015-04-15,5.275,5.402,5.233,5.402,1186200,6407852.4,,,,,,,,
2015-04-16,5.402,5.486,5.36,5.402,1001600,5410643.2,,,,,,,,
2015-04-17,5.444,5.613,5.402,5.529,3396474,18779104.746,,,,,,,,
2015-04-20,5.529,5.613,5.486,5.486,1176610,6454882.46,,,,,,,,
2015-04-21,5.486,5.571,5.402,5.402,1542000,8329884.0,,,,,,,,
2015-04-22,5.36,5.444,5.36,5.402,1129900,6103719.8,,,,,,,,
2015-04-23,5.444,5.444,5.318,5.318,1036900,5514234.199999999,,,,,,,,
2015-04-24,5.318,5.444,5.318,5.444,783000,4262652.0,,,,,,,,
2015-04-27,5.444,5.444,5.318,5.36,361500,1937640.0,,,,,,,,
2015-05-04,5.36,5.36,4.853,4.896,2291354,11218469.184,,,,,,,,
2015-05-05,4.896,4.98,4.642,4.938,739000,3649182.0,,,,,,,,
2015-05-06,4.811,4.896,4.685,4.727,678200,3205851.4000000004,,,,,,,,
2015-05-07,4.685,5.064,4.642,5.022,1264300,6349314.600000001,,,,,,,,
2015-05-08,5.064,5.107,4.98,5.022,723800,3634923.6,,,,,,,,
2015-05-11,5.022,5.149,5.022,5.064,567000,2871288.0,,,,,,,,
2015-05-12,5.064,5.107,4.938,4.98,474800,2364504.0,,,,,,,,
2015-05-13,4.98,5.022,4.896,5.022,503600,2529079.2,,,,,,,,
2015-05-14,4.98,5.064,4.938,5.022,370000,1858140.0,,,,,,,,
