time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-07-28,14.818,14.818,14.818,14.818,68000,1007624.0,,,,,,,,
2017-07-31,16.273,16.273,16.273,16.273,124400,2024361.2,,,,,,,,
2017-08-01,17.818,17.818,16.545,16.909,93200,1575918.7999999998,,,,,,,,
2017-08-02,16.909,16.909,16.091,16.182,113200,1831802.4,,,,,,,,
2017-08-03,15.727,15.727,14.636,14.636,169600,2482265.6,,,,,,,,
2017-08-04,14.091,14.091,13.182,13.182,26900,354595.8,,,,,,,,
2017-08-07,13.182,13.182,11.909,11.909,48300,575204.7000000001,,,,,,,,
2017-08-08,11.091,11.636,10.727,10.727,143700,1541469.9,,,,,,,,
2017-08-09,10.727,10.727,9.727,9.727,139300,1354971.1,,,,,,,,
2017-08-10,9.545,9.636,8.818,8.818,58800,518498.4,,,,,,,,
2017-08-11,8.818,9.636,8.818,9.636,332800,3206860.8,,,,,,,,
2017-08-14,10.545,10.545,8.727,8.727,139800,1220034.6,,,,,,,,
2017-08-15,8.727,8.909,8.455,8.545,52000,444340.0,,,,,,,,
2017-08-16,8.182,8.182,7.727,8.0,51000,408000.0,,,,,,,,
2017-08-17,7.818,7.818,7.273,7.273,84400,613841.2,,,,,,,,
2017-08-18,6.727,6.909,6.545,6.727,193490,1301607.23,,,,,,,,
2017-08-21,6.636,6.909,6.455,6.727,105600,710371.2000000001,,,,,,,,
2017-08-22,6.818,6.818,6.545,6.727,67300,452727.1,,,,,,,,
2017-08-23,6.636,7.0,6.636,6.909,88300,610064.7,,,,,,,,
2017-08-24,6.909,7.0,6.727,6.909,75300,520247.7,,,,,,,,
2017-08-25,6.818,6.818,6.545,6.636,90000,597240.0,,,,,,,,
2017-08-28,6.455,6.818,6.455,6.636,64300,426694.8,,,,,,,,
2017-08-29,6.636,6.818,6.636,6.636,337000,2236332.0,,,,,,,,
2017-08-30,6.727,6.727,6.545,6.636,235500,1562778.0,,,,,,,,
2017-08-31,6.727,6.727,6.182,6.182,256400,1585064.8,,,,,,,,
2017-09-01,6.182,6.364,6.091,6.273,146200,917112.6,,,,,,,,
2017-09-05,6.091,6.818,6.091,6.818,109600,747252.7999999999,,,,,,,,
2017-09-06,6.818,7.091,6.727,7.091,55000,390005.0,,,,,,,,
2017-09-07,7.0,7.455,6.818,7.455,106500,793957.5,,,,,,,,
2017-09-08,7.455,7.909,7.364,7.909,430800,3407197.2,,,,,,,,
2017-09-11,7.909,7.909,7.182,7.545,230500,1739122.5,,,,,,,,
2017-09-12,7.545,7.545,7.273,7.273,136800,994946.4,,,,,,,,
2017-09-13,7.273,7.727,7.182,7.636,191700,1463821.2,,,,,,,,
2017-09-14,7.545,7.818,7.273,7.727,238000,1839026.0,,,,,,,,
2017-09-15,7.364,7.364,7.0,7.0,180712,1264984.0,,,,,,,,
2017-09-18,6.818,7.0,6.364,6.727,409989,2757996.003,,,,,,,,
2017-09-19,6.364,7.0,6.364,7.0,78600,550200.0,,,,,,,,
2017-09-20,6.636,7.091,6.364,6.818,196820,1341918.76,,,,,,,,
2017-09-21,6.727,6.727,6.364,6.455,104600,675193.0,,,,,,,,
2017-09-22,6.455,6.636,6.364,6.455,72802,469936.91,,,,,,,,
2017-09-25,6.455,6.545,6.455,6.455,51100,329850.5,,,,,,,,
2017-09-26,6.455,6.545,6.364,6.364,109500,696858.0,,,,,,,,
2017-09-27,6.364,6.364,6.091,6.182,125700,777077.4,,,,,,,,
2017-09-28,6.182,6.364,6.0,6.364,126700,806318.7999999999,,,,,,,,
2017-09-29,6.182,6.182,5.727,5.818,113100,658015.7999999999,,,,,,,,
2017-10-02,5.545,6.0,5.273,5.364,279100,1497092.4,,,,,,,,
2017-10-03,5.455,5.636,5.182,5.455,67100,366030.5,,,,,,,,
2017-10-04,5.364,5.545,5.0,5.545,244002,1352991.09,,,,,,,,
2017-10-05,5.273,5.455,5.091,5.455,93300,508951.5,,,,,,,,
2017-10-06,5.455,5.455,4.909,4.909,155300,762367.7,,,,,,,,
2017-10-09,5.0,5.273,4.909,5.182,55200,286046.4,,,,,,,,
2017-10-10,5.182,5.273,5.091,5.091,30500,155275.5,,,,,,,,
2017-10-11,5.182,5.182,4.818,5.091,45800,233167.8,,,,,,,,
2017-10-12,5.0,5.091,4.909,5.0,31700,158500.0,,,,,,,,
2017-10-13,5.0,5.455,5.0,5.273,63800,336417.4,,,,,,,,
2017-10-16,5.364,5.455,5.273,5.273,38700,204065.1,,,,,,,,
2017-10-17,5.273,5.273,5.091,5.273,3300,17400.899999999998,,,,,,,,
2017-10-18,5.273,5.273,5.091,5.182,19701,102090.582,,,,,,,,
2017-10-19,5.091,5.273,5.091,5.273,12630,66597.98999999999,,,,,,,,
2017-10-20,5.364,5.364,5.0,5.182,34000,176188.0,,,,,,,,
2017-10-23,5.091,5.182,4.909,4.909,29100,142851.9,,,,,,,,
2017-10-24,5.182,5.182,4.818,5.091,21800,110983.8,,,,,,,,
2017-10-25,5.091,5.364,4.727,5.0,67800,339000.0,,,,,,,,
2017-10-26,5.091,5.091,4.818,5.0,11800,59000.0,,,,,,,,
2017-10-27,5.0,5.0,4.909,5.0,12700,63500.0,,,,,,,,
2017-10-30,5.0,5.0,4.909,5.0,8500,42500.0,,,,,,,,
2017-10-31,5.0,5.0,4.818,5.0,12610,63050.0,,,,,,,,
2017-11-01,4.818,5.0,4.818,5.0,53900,269500.0,,,,,,,,
2017-11-02,4.818,5.0,4.636,5.0,60300,301500.0,,,,,,,,
2017-11-03,4.727,5.0,4.727,4.909,35300,173287.69999999998,,,,,,,,
2017-11-06,4.727,4.909,4.636,4.909,11500,56453.5,,,,,,,,
2017-11-07,4.909,4.909,4.727,4.909,3000,14727.0,,,,,,,,
2017-11-08,4.818,4.909,4.636,4.727,22700,107302.9,,,,,,,,
2017-11-09,4.727,4.727,4.273,4.545,63000,286335.0,,,,,,,,
2017-11-10,4.455,4.455,4.455,4.455,2200,9801.0,,,,,,,,
2017-11-13,4.364,4.455,4.091,4.182,23800,99531.6,,,,,,,,
2017-11-14,4.455,4.455,4.091,4.273,52800,225614.4,,,,,,,,
2017-11-15,4.182,4.455,4.182,4.455,11600,51678.0,,,,,,,,
2017-11-16,4.273,4.545,4.182,4.455,21640,96406.2,,,,,,,,
2017-11-17,4.364,4.636,4.364,4.455,18160,80902.8,,,,,,,,
2017-11-20,4.455,4.545,4.091,4.455,50419,224616.645,,,,,,,,
2017-11-21,4.455,4.455,4.182,4.273,14700,62813.1,,,,,,,,
2017-11-22,4.182,4.273,4.091,4.273,15900,67940.7,,,,,,,,
2017-11-23,4.182,4.182,4.182,4.182,15000,62730.00000000001,,,,,,,,
2017-11-24,4.091,4.182,3.818,4.0,61810,247240.0,,,,,,,,
2017-11-27,4.1,4.3,4.0,4.2,33300,139860.0,,,,,,,,
2017-11-28,4.2,4.4,4.1,4.2,20900,87780.0,,,,,,,,
2017-11-29,4.2,4.3,4.2,4.3,4900,21070.0,,,,,,,,
2017-11-30,4.2,4.2,4.0,4.1,17300,70930.0,,,,,,,,
2017-12-01,4.0,4.2,4.0,4.2,9000,37800.0,,,,,,,,
2017-12-04,4.2,4.2,4.1,4.1,6000,24600.0,,,,,,,,
2017-12-05,4.1,4.1,4.0,4.1,28100,115210.0,,,,,,,,
2017-12-06,4.1,4.2,4.0,4.2,94630,397446.0,,,,,,,,
2017-12-07,4.1,4.1,3.8,4.1,52000,213200.0,,,,,,,,
2017-12-08,4.0,4.0,4.0,4.0,2217,8868.0,,,,,,,,
2017-12-11,4.0,4.2,4.0,4.1,20400,83640.0,,,,,,,,
2017-12-12,4.0,4.1,4.0,4.0,22600,90400.0,,,,,,,,
2017-12-13,4.0,4.1,4.0,4.1,8210,33661.0,,,,,,,,
2017-12-14,4.0,4.0,3.9,3.9,5900,23010.0,,,,,,,,
2017-12-15,4.0,4.1,4.0,4.0,9700,38800.0,,,,,,,,
2017-12-18,4.0,4.1,4.0,4.1,200,819.9999999999999,,,,,,,,
2017-12-19,4.0,4.1,3.9,4.1,9800,40180.0,,,,,,,,
2017-12-20,4.0,4.0,4.0,4.0,11700,46800.0,,,,,,,,
2017-12-21,4.0,4.0,4.0,4.0,34500,138000.0,,,,,,,,
2017-12-22,4.0,4.1,4.0,4.0,9200,36800.0,,,,,,,,
2017-12-25,4.0,4.1,4.0,4.1,26100,107010.0,,,,,,,,
2017-12-26,4.1,4.1,4.1,4.1,0,0.0,,,,,,,,
2017-12-27,4.0,4.1,4.0,4.1,30600,125460.0,,,,,,,,
2017-12-28,4.1,4.2,4.0,4.1,24212,99269.2,,,,,,,,
2017-12-29,4.1,4.2,4.0,4.1,24700,101270.0,,,,,,,,
2018-01-02,4.1,4.5,4.1,4.5,85000,382500.0,0.0,0.0,0.0,0.0,,0.14,0.0,0.0
2018-01-03,4.7,4.9,4.7,4.9,20700,101430.0,0.0,0.0,0.0,0.0,,0.14,0.0,0.0
2018-01-04,5.2,5.3,5.1,5.1,68700,350370.0,0.0,500.0,0.0,0.0,,0.14,0.0,0.0
2018-01-05,5.2,5.2,4.6,4.9,68500,335650.0,0.0,0.0,0.0,0.0,,0.14,0.0,0.0
2018-01-08,5.0,5.0,4.6,4.6,12800,58879.99999999999,0.0,0.0,0.0,0.0,,0.14,0.0,0.0
2018-01-09,4.4,4.6,4.3,4.6,19800,91080.0,0.0,0.0,0.0,0.0,,0.14,0.0,0.0
2018-01-10,4.4,4.5,4.3,4.3,71725,308417.5,0.0,0.0,0.0,0.0,,0.14,0.0,0.0
2018-01-11,4.3,4.6,4.3,4.6,9300,42780.0,0.0,0.0,0.0,0.0,,0.14,0.0,0.0
2018-01-12,4.6,4.7,4.3,4.5,24800,111600.0,0.0,0.0,0.0,0.0,,0.14,0.0,0.0
2018-01-15,4.4,4.8,4.3,4.6,23100,106260.0,0.0,0.0,0.0,0.0,,0.14,0.0,0.0
2018-01-16,4.4,5.0,4.4,5.0,59730,298650.0,500.0,0.0,0.0,0.0,,0.14,0.0,0.0
2018-01-17,5.0,5.5,5.0,5.5,185335,1019342.5,0.0,0.0,0.0,0.0,,0.14,0.0,0.0
