time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-04-20,3.56,3.56,3.56,3.56,1000,3560.0,,,,,,,,
2010-04-21,3.56,3.56,3.56,3.56,0,0.0,,,,,,,,
2010-04-22,3.88,3.88,3.56,3.56,300,1068.0,,,,,,,,
2010-04-26,3.63,3.63,3.56,3.56,2000,7120.0,,,,,,,,
2010-04-27,3.59,3.59,3.56,3.56,3000,10680.0,,,,,,,,
2010-04-28,3.56,3.63,3.56,3.56,6000,21360.0,,,,,,,,
2010-04-29,3.91,3.91,3.24,3.24,3100,10044.0,,,,,,,,
2010-05-04,3.56,3.56,3.56,3.56,7000,24920.0,,,,,,,,
2010-05-05,3.49,3.49,3.45,3.45,800,2760.0,,,,,,,,
2010-05-06,3.49,3.45,3.45,3.45,0,0.0,,,,,,,,
2010-05-07,3.56,3.63,3.49,3.56,19400,69064.0,,,,,,,,
2010-05-10,3.91,3.91,3.91,3.91,700,2737.0,,,,,,,,
2010-05-11,4.3,4.3,4.27,4.27,400,1707.9999999999998,,,,,,,,
2010-05-12,4.3,4.27,4.27,4.27,0,0.0,,,,,,,,
2010-05-13,4.27,4.27,4.27,4.27,2000,8540.0,,,,,,,,
2010-05-14,3.91,3.91,3.91,3.91,1000,3910.0,,,,,,,,
2010-05-17,3.91,3.91,3.91,3.91,0,0.0,,,,,,,,
2010-05-18,3.91,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-05-19,3.52,3.52,3.52,3.52,8200,28864.0,,,,,,,,
2010-05-20,3.52,3.52,3.52,3.52,0,0.0,,,,,,,,
2010-05-21,3.38,3.38,3.2,3.2,5600,17920.0,,,,,,,,
2010-05-25,3.41,3.2,3.2,3.2,0,0.0,,,,,,,,
2010-05-26,3.41,3.2,3.2,3.2,0,0.0,,,,,,,,
2010-05-27,3.41,3.2,3.2,3.2,0,0.0,,,,,,,,
2010-05-28,3.2,3.2,3.2,3.2,4600,14720.0,,,,,,,,
2010-05-31,3.02,3.02,3.02,3.02,1000,3020.0,,,,,,,,
2010-06-01,3.09,3.31,3.09,3.09,3250,10042.5,,,,,,,,
2010-06-02,3.17,3.09,3.09,3.09,0,0.0,,,,,,,,
2010-06-03,3.09,3.09,3.09,3.09,1500,4635.0,,,,,,,,
2010-06-07,2.95,2.95,2.92,2.92,12000,35040.0,,,,,,,,
2010-06-08,2.85,2.85,2.67,2.67,17400,46458.0,,,,,,,,
2010-06-10,3.2,3.2,3.2,3.2,5000,16000.0,,,,,,,,
2010-06-14,3.2,3.2,3.2,3.2,1500,4800.0,,,,,,,,
2010-06-15,3.52,3.52,3.38,3.38,2020,6827.599999999999,,,,,,,,
2010-06-16,3.7,3.7,3.7,0.0,30,0.0,,,,,,,,
2010-06-17,3.98,4.06,3.98,4.06,35,142.1,,,,,,,,
2010-06-18,4.02,4.06,4.06,4.06,0,0.0,,,,,,,,
2010-06-21,4.34,4.34,3.63,3.63,220,798.6,,,,,,,,
2010-06-22,3.84,3.84,3.34,3.63,3220,11688.6,,,,,,,,
2010-06-24,3.17,3.31,3.17,3.31,11300,37403.0,,,,,,,,
2010-06-25,2.95,3.24,2.95,3.2,4150,13280.0,,,,,,,,
2010-06-28,3.02,3.52,3.02,3.2,9600,30720.0,,,,,,,,
2010-06-29,3.02,3.52,2.92,3.13,9300,29109.0,,,,,,,,
2010-06-30,3.38,3.38,2.85,2.99,2380,7116.200000000001,,,,,,,,
2010-07-01,3.45,3.45,2.88,3.09,5300,16377.0,,,,,,,,
2010-07-02,3.45,3.45,3.24,3.45,70060,241707.0,,,,,,,,
2010-07-05,3.73,3.73,3.63,3.73,80350,299705.5,,,,,,,,
2010-07-06,4.09,4.09,4.09,4.09,82870,338938.3,,,,,,,,
2010-07-07,4.48,4.48,3.7,4.2,32800,137760.0,,,,,,,,
2010-07-08,3.98,3.98,3.91,3.91,16700,65297.0,,,,,,,,
2010-07-09,3.91,3.91,3.52,3.73,68480,255430.4,,,,,,,,
2010-07-12,4.06,4.06,3.56,3.73,22000,82060.0,,,,,,,,
2010-07-13,4.06,4.06,3.73,3.84,20180,77491.2,,,,,,,,
2010-07-14,3.81,3.81,3.63,3.73,19390,72324.7,,,,,,,,
2010-07-15,3.66,4.09,3.66,4.09,14600,59714.0,,,,,,,,
2010-07-19,4.09,4.23,3.81,4.09,191600,783644.0,,,,,,,,
2010-07-20,4.23,4.23,3.81,3.88,102200,396536.0,,,,,,,,
2010-07-21,3.91,4.02,3.7,3.7,30500,112850.0,,,,,,,,
2010-07-22,3.77,3.77,3.7,3.73,11500,42895.0,,,,,,,,
2010-07-23,3.7,3.7,3.45,3.7,44700,165390.0,,,,,,,,
