time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2017-01-12,9.803,9.803,9.803,9.803,30000,294090.0,,,,,
2017-01-13,11.269,11.269,9.601,9.601,7300,70087.3,,,,,
2017-01-16,9.096,9.753,9.096,9.753,4000,39012.0,,,,,
2017-01-17,9.096,9.096,8.489,8.54,22200,189588.0,,,,,
2017-01-18,7.378,8.085,7.378,8.085,200,1617.0000000000002,,,,,
2017-01-19,8.085,8.843,8.085,8.085,3900,31531.500000000004,,,,,
2017-01-20,8.59,8.59,8.59,8.59,200,1718.0,,,,,
2017-01-23,8.338,8.338,8.338,8.338,500,4169.0,,,,,
2017-01-24,8.338,8.338,8.338,8.338,500,4169.0,,,,,
2017-01-25,8.338,8.338,8.338,8.338,500,4169.0,,,,,
2017-02-02,8.338,8.338,8.338,8.338,0,0.0,,,,,
2017-02-03,8.338,8.338,8.136,8.136,1000,8135.999999999999,,,,,
2017-02-06,7.58,7.58,7.58,7.58,300,2274.0,,,,,
2017-02-07,7.58,8.338,7.58,8.338,1300,10839.4,,,,,
2017-02-08,7.63,7.63,7.58,7.58,300,2274.0,,,,,
2017-02-09,7.681,8.085,7.681,8.085,2600,21021.000000000004,,,,,
2017-02-10,8.085,8.085,8.085,8.085,2000,16170.000000000002,,,,,
2017-02-13,8.085,8.085,8.085,8.085,100,808.5000000000001,,,,,
2017-02-14,7.984,7.984,7.984,7.984,300,2395.2,,,,,
2017-02-15,8.035,8.035,8.035,8.035,200,1607.0,,,,,
2017-02-16,8.035,8.035,8.035,8.035,0,0.0,,,,,
2017-02-17,8.035,8.035,8.035,8.035,0,0.0,,,,,
2017-02-20,8.035,8.035,8.035,8.035,0,0.0,,,,,
2017-02-21,7.731,7.731,7.074,7.125,5200,37050.0,,,,,
2017-02-22,7.125,7.63,7.125,7.63,2000,15260.0,,,,,
2017-02-23,7.378,7.378,7.378,7.378,0,0.0,,,,,
2017-02-24,7.378,7.378,7.378,7.378,0,0.0,,,,,
2017-02-27,7.529,7.529,7.529,7.529,100,752.9,,,,,
2017-02-28,7.529,7.529,7.529,7.529,0,0.0,,,,,
2017-03-01,7.529,7.529,7.529,7.529,0,0.0,,,,,
2017-03-02,8.59,8.59,7.58,7.58,200,1516.0,,,,,
2017-03-03,8.085,8.085,8.085,8.085,0,0.0,,,,,
2017-03-06,8.54,8.54,6.973,6.973,2000,13946.0,,,,,
2017-03-07,8.035,8.035,8.035,8.035,100,803.5,,,,,
2017-03-08,8.035,8.035,7.277,7.428,4200,31197.6,,,,,
2017-03-09,7.327,7.327,7.327,7.327,7000,51289.0,,,,,
2017-03-10,7.327,7.327,7.327,7.327,0,0.0,,,,,
2017-03-13,6.468,6.468,6.468,6.468,1100,7114.8,,,,,
2017-03-14,5.559,6.62,5.559,6.569,2100,13794.9,,,,,
2017-03-15,5.66,6.569,5.66,6.569,2300,15108.7,,,,,
2017-03-16,7.074,7.074,7.024,7.074,3000,21222.0,,,,,
2017-03-17,6.62,7.074,6.62,7.074,2100,14855.4,,,,,
2017-03-20,6.064,6.064,6.064,6.064,100,606.4,,,,,
2017-03-21,5.205,5.205,5.205,5.205,100,520.5,,,,,
2017-03-22,5.963,5.963,5.963,5.963,1000,5963.0,,,,,
2017-03-23,6.822,6.822,6.822,6.822,8700,59351.4,,,,,
2017-03-24,7.782,7.782,7.327,7.327,2100,15386.7,,,,,
2017-03-27,6.569,6.569,6.569,6.569,1000,6569.0,,,,,
2017-03-28,6.519,6.519,6.519,6.519,700,4563.3,,,,,
2017-03-29,6.519,6.519,6.367,6.519,1900,12386.1,,,,,
2017-03-30,6.771,7.277,6.418,6.771,700,4739.7,,,,,
2017-03-31,6.973,6.973,6.973,6.973,200,1394.6,,,,,
2017-04-03,7.934,7.934,7.024,7.024,300,2107.2,,,,,
2017-04-04,7.63,7.63,6.822,7.024,500,3512.0,,,,,
2017-04-05,7.58,7.58,7.58,7.58,100,758.0,,,,,
2017-04-07,7.58,7.58,7.58,7.58,0,0.0,,,,,
2017-04-10,7.58,7.58,7.58,7.58,0,0.0,,,,,
2017-04-11,6.721,6.822,6.468,6.67,9400,62698.0,,,,,
2017-04-12,5.811,6.317,5.761,6.317,4400,27794.8,,,,,
2017-04-13,6.418,6.418,6.418,6.418,100,641.8000000000001,,,,,
2017-04-14,7.024,7.024,7.024,7.024,100,702.4,,,,,
2017-04-17,7.277,7.277,6.165,6.569,7000,45983.0,,,,,
2017-04-18,6.569,6.569,6.569,6.569,100,656.9,,,,,
2017-04-19,6.519,6.519,6.519,6.519,6000,39114.0,,,,,
2017-04-20,7.428,7.428,7.428,7.428,100,742.8,,,,,
2017-04-21,7.428,7.428,7.428,7.428,0,0.0,,,,,
2017-04-24,6.973,6.973,6.973,6.973,5000,34865.0,,,,,
2017-04-25,6.973,6.973,6.973,6.973,0,0.0,,,,,
2017-04-26,6.67,7.176,6.67,7.176,2100,15069.6,,,,,
2017-04-27,6.822,6.822,6.822,6.822,6000,40932.0,,,,,
2017-04-28,6.822,6.822,6.822,6.822,5000,34110.0,,,,,
