time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-03,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-04,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-07,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-08,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-09,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-10,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-11,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-14,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-15,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-16,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-17,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-18,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-21,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-22,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-23,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-24,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-25,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-28,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-29,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-30,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-01-31,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-01,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-04,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-05,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-06,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-07,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-08,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-18,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-19,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-20,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-21,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-22,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-25,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-26,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-27,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-02-28,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-01,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-04,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-05,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-06,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-07,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-08,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-11,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-12,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-13,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-14,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-15,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-18,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-19,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-20,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-21,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-22,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-25,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-26,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
2013-03-27,2.576,2.576,2.576,2.576,0,0.0,,,,,,,,
