time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-03-11,5.27,6.94,5.27,6.94,167500,1162450.0,,,,,,,,
2010-03-12,6.98,6.98,6.98,6.98,63900,446022.0,,,,,,,,
2010-03-15,7.46,7.46,7.46,7.46,14500,108170.0,,,,,,,,
2010-03-16,7.98,7.98,7.98,7.98,47200,376656.0,,,,,,,,
2010-03-17,8.54,8.54,7.98,8.54,259300,2214422.0,,,,,,,,
2010-03-18,8.47,8.95,7.95,8.02,135800,1089116.0,,,,,,,,
2010-03-19,7.57,8.09,7.57,7.98,71300,568974.0,,,,,,,,
2010-03-22,8.16,8.19,7.81,8.16,46300,377808.0,,,,,,,,
2010-03-23,8.33,8.33,7.53,7.6,29100,221160.0,,,,,,,,
2010-03-24,7.6,7.6,7.15,7.22,33000,238260.0,,,,,,,,
2010-03-25,7.11,7.18,6.91,6.94,27400,190156.0,,,,,,,,
2010-03-26,6.94,6.94,6.56,6.84,73700,504108.0,,,,,,,,
2010-03-29,6.94,7.15,6.8,7.11,17800,126558.0,,,,,,,,
2010-03-30,6.94,6.94,6.49,6.49,56300,365387.0,,,,,,,,
2010-03-31,6.25,6.42,6.14,6.14,29600,181744.0,,,,,,,,
2010-04-01,6.25,6.49,6.25,6.49,4200,27258.0,,,,,,,,
2010-04-02,6.59,6.59,6.32,6.42,8400,53928.0,,,,,,,,
2010-04-05,6.59,6.59,6.21,6.28,14900,93572.0,,,,,,,,
2010-04-06,6.42,6.45,6.14,6.21,41100,255231.0,,,,,,,,
2010-04-07,6.14,6.32,6.14,6.32,30300,191496.0,,,,,,,,
2010-04-08,6.52,6.66,6.32,6.66,49100,327006.0,,,,,,,,
2010-04-09,6.98,7.01,6.77,6.94,66600,462204.0,,,,,,,,
2010-04-12,7.29,7.29,6.59,6.66,33300,221778.0,,,,,,,,
2010-04-13,7.08,7.08,6.28,6.42,36700,235614.0,,,,,,,,
2010-04-14,6.59,6.59,6.18,6.25,20800,130000.0,,,,,,,,
2010-04-15,6.35,6.42,6.28,6.39,20200,129078.0,,,,,,,,
2010-04-16,6.59,6.77,6.56,6.77,44700,302619.0,,,,,,,,
2010-04-19,6.77,7.11,6.77,6.94,88600,614884.0,,,,,,,,
2010-04-20,6.94,7.01,6.87,7.01,76600,536966.0,,,,,,,,
2010-04-21,7.11,7.43,7.11,7.43,65400,485922.0,,,,,,,,
2010-04-22,7.91,7.91,6.94,7.04,61400,432256.0,,,,,,,,
2010-04-26,6.73,6.77,6.73,6.73,12200,82106.0,,,,,,,,
2010-04-27,6.94,6.94,6.28,6.8,31900,216920.0,,,,,,,,
2010-04-28,6.45,6.73,6.42,6.59,28000,184520.0,,,,,,,,
2010-04-29,6.56,6.8,6.45,6.66,68500,456210.0,,,,,,,,
2010-05-04,7.01,7.08,7.01,7.08,104500,739860.0,,,,,,,,
2010-05-05,7.57,7.57,7.57,7.57,104300,789551.0,,,,,,,,
2010-05-06,8.09,8.09,8.09,8.09,49500,400455.0,,,,,,,,
2010-05-07,8.64,8.64,8.02,8.64,468500,4047840.000000001,,,,,,,,
2010-05-10,8.02,8.61,8.02,8.02,16600,133132.0,,,,,,,,
2010-05-11,8.33,8.33,7.53,7.53,6000,45180.0,,,,,,,,
2010-05-12,7.04,7.04,7.04,7.04,15700,110528.0,,,,,,,,
2010-05-13,6.59,6.87,6.56,6.59,59500,392105.0,,,,,,,,
2010-05-14,6.77,7.04,6.77,7.04,42900,302016.0,,,,,,,,
2010-05-17,7.46,7.46,6.52,6.77,18700,126599.0,,,,,,,,
2010-05-18,6.56,6.59,6.45,6.59,28700,189133.0,,,,,,,,
2010-05-19,6.45,6.45,6.04,6.04,68300,412532.0,,,,,,,,
2010-05-20,6.18,6.32,5.83,6.25,48900,305625.0,,,,,,,,
2010-05-21,5.66,5.9,5.66,5.66,38800,219608.0,,,,,,,,
2010-05-24,5.73,5.97,5.73,5.86,8900,52154.0,,,,,,,,
