time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2011-01-11,3.89,3.89,3.89,3.89,20120,78266.8,,,,,,,,
2011-01-12,3.7,3.7,3.7,3.7,2460,9102.0,,,,,,,,
2011-01-13,3.54,3.54,3.54,3.54,2420,8566.8,,,,,,,,
2011-01-14,3.39,3.39,3.39,3.39,1820,6169.8,,,,,,,,
2011-01-17,3.31,3.39,3.23,3.39,9370,31764.300000000003,,,,,,,,
2011-01-18,3.31,3.31,3.23,3.23,36000,116280.0,,,,,,,,
2011-01-19,3.11,3.23,3.11,3.23,16720,54005.6,,,,,,,,
2011-01-20,3.31,3.31,3.07,3.19,22590,72062.1,,,,,,,,
2011-01-21,3.23,3.23,3.11,3.19,6700,21373.0,,,,,,,,
2011-01-24,3.11,3.11,3.04,3.04,6450,19608.0,,,,,,,,
2011-01-25,3.11,3.11,2.96,2.96,2180,6452.8,,,,,,,,
2011-01-26,3.04,3.07,3.04,3.07,6920,21244.4,,,,,,,,
2011-01-27,3.19,3.19,3.11,3.11,3590,11164.9,,,,,,,,
2011-01-28,3.11,3.23,3.11,3.23,770,2487.1,,,,,,,,
2011-02-08,3.07,3.23,3.07,3.23,2990,9657.7,,,,,,,,
2011-02-09,3.11,3.31,3.11,3.23,1120,3617.6,,,,,,,,
2011-02-10,3.07,3.11,3.07,3.07,3670,11266.9,,,,,,,,
2011-02-11,3.04,3.07,2.96,3.07,22600,69382.0,,,,,,,,
2011-02-14,3.0,3.0,3.0,3.0,30,90.0,,,,,,,,
2011-02-15,3.0,3.0,2.88,3.0,6870,20610.0,,,,,,,,
2011-02-16,2.92,2.92,2.88,2.88,2360,6796.8,,,,,,,,
2011-02-17,2.88,2.88,2.8,2.88,1590,4579.2,,,,,,,,
2011-02-18,2.88,2.88,2.84,2.88,8130,23414.4,,,,,,,,
2011-02-21,2.84,2.84,2.76,2.84,4900,13916.0,,,,,,,,
2011-02-22,2.72,2.72,2.72,2.72,4000,10880.0,,,,,,,,
2011-02-23,2.8,2.84,2.68,2.8,10660,29848.0,,,,,,,,
2011-02-24,2.72,2.8,2.68,2.8,520,1456.0,,,,,,,,
2011-02-25,2.8,2.88,2.8,2.88,3020,8697.6,,,,,,,,
2011-02-28,2.88,2.88,2.76,2.88,1110,3196.8,,,,,,,,
2011-03-01,2.88,2.88,2.76,2.8,4110,11508.0,,,,,,,,
2011-03-02,2.8,2.8,2.68,2.68,2600,6968.0,,,,,,,,
2011-03-03,2.61,2.68,2.57,2.68,2110,5654.8,,,,,,,,
2011-03-04,2.57,2.65,2.57,2.65,1600,4240.0,,,,,,,,
2011-03-07,2.57,2.72,2.53,2.53,22150,56039.49999999999,,,,,,,,
2011-03-08,2.45,2.53,2.41,2.53,11570,29272.1,,,,,,,,
2011-03-09,2.45,2.49,2.45,2.45,6690,16390.5,,,,,,,,
2011-03-10,2.49,2.57,2.49,2.57,1270,3263.9,,,,,,,,
2011-03-11,2.61,2.68,2.61,2.68,21510,57646.8,,,,,,,,
2011-03-14,2.68,2.68,2.57,2.57,3010,7735.7,,,,,,,,
2011-03-15,2.68,2.68,2.68,2.68,210,562.8000000000001,,,,,,,,
2011-03-16,2.68,2.76,2.68,2.76,530,1462.8,,,,,,,,
2011-03-17,2.72,2.8,2.72,2.8,250,700.0,,,,,,,,
2011-03-18,2.8,2.8,2.8,2.8,40,112.0,,,,,,,,
2011-03-21,2.76,2.8,2.68,2.68,6430,17232.4,,,,,,,,
2011-03-22,2.68,2.68,2.65,2.65,2150,5697.5,,,,,,,,
2011-03-23,2.68,2.68,2.65,2.68,12280,32910.4,,,,,,,,
2011-03-24,2.72,2.72,2.68,2.72,4330,11777.6,,,,,,,,
2011-03-25,2.8,2.8,2.8,2.8,100,280.0,,,,,,,,
2011-03-28,2.8,2.8,2.68,2.8,1070,2996.0,,,,,,,,
2011-03-29,2.68,2.68,2.68,2.68,8160,21868.800000000003,,,,,,,,
2011-03-30,2.65,2.68,2.61,2.68,4860,13024.8,,,,,,,,
2011-03-31,2.68,2.68,2.65,2.68,3470,9299.6,,,,,,,,
2011-04-01,2.68,2.68,2.57,2.57,17210,44229.7,,,,,,,,
2011-04-04,2.68,2.68,2.68,2.68,7320,19617.6,,,,,,,,
2011-04-05,2.68,2.72,2.68,2.68,2890,7745.200000000001,,,,,,,,
2011-04-06,2.76,2.76,2.76,2.76,1300,3587.9999999999995,,,,,,,,
2011-04-07,2.76,2.76,2.72,2.76,9730,26854.8,,,,,,,,
2011-04-08,2.76,2.76,2.76,2.76,5520,15235.2,,,,,,,,
2011-04-13,2.72,2.72,2.72,2.72,7490,20372.800000000003,,,,,,,,
2011-04-14,2.72,2.8,2.72,2.8,1110,3108.0,,,,,,,,
2011-04-15,2.8,2.8,2.8,2.8,10,28.0,,,,,,,,
2011-04-18,2.8,2.8,2.72,2.8,1000,2800.0,,,,,,,,
2011-04-19,2.8,2.8,2.8,2.8,0,0.0,,,,,,,,
2011-04-20,2.8,2.8,2.8,2.8,0,0.0,,,,,,,,
2011-04-21,2.72,2.8,2.72,2.8,160,448.0,,,,,,,,
2011-04-22,2.8,2.8,2.72,2.72,1870,5086.400000000001,,,,,,,,
2011-04-25,2.84,2.84,2.72,2.8,30,84.0,,,,,,,,
2011-04-26,2.76,2.8,2.76,2.8,20,56.0,,,,,,,,
2011-04-27,2.8,2.8,2.76,2.76,5260,14517.6,,,,,,,,
2011-04-28,2.8,2.8,2.8,2.8,200,560.0,,,,,,,,
2011-04-29,2.8,2.8,2.72,2.8,5520,15455.999999999998,,,,,,,,
2011-05-04,2.72,2.72,2.72,2.72,2000,5440.0,,,,,,,,
2011-05-05,2.76,2.76,2.72,2.72,2040,5548.8,,,,,,,,
2011-05-06,2.72,2.8,2.72,2.8,7940,22232.0,,,,,,,,
2011-05-09,2.8,2.92,2.8,2.92,1720,5022.4,,,,,,,,
2011-05-10,3.04,3.04,3.04,3.04,14660,44566.4,,,,,,,,
2011-05-11,3.11,3.11,3.04,3.11,15340,47707.4,,,,,,,,
2011-05-12,3.11,3.11,3.11,3.11,11350,35298.5,,,,,,,,
2011-05-13,3.11,3.11,3.07,3.11,4680,14554.8,,,,,,,,
2011-05-16,3.19,3.19,3.11,3.11,18050,56135.5,,,,,,,,
2011-05-17,3.11,3.11,2.96,2.96,4090,12106.4,,,,,,,,
2011-05-18,3.07,3.07,3.04,3.07,17830,54738.1,,,,,,,,
2011-05-19,3.15,3.15,3.04,3.04,9320,28332.8,,,,,,,,
2011-05-20,2.95,3.08,2.95,2.99,2970,8880.300000000001,,,,,,,,
2011-05-23,3.08,3.12,2.95,3.08,4490,13829.2,,,,,,,,
2011-05-24,2.95,3.04,2.95,2.95,13620,40179.0,,,,,,,,
2011-05-25,2.81,2.81,2.81,2.81,5650,15876.5,,,,,,,,
2011-05-26,2.68,2.95,2.68,2.95,910,2684.5,,,,,,,,
2011-05-27,3.08,3.08,2.99,3.04,11120,33804.8,,,,,,,,
2011-05-30,3.08,3.08,2.99,2.99,4140,12378.6,,,,,,,,
2011-05-31,2.86,2.99,2.86,2.99,15150,45298.5,,,,,,,,
2011-06-01,2.9,3.04,2.9,3.04,2470,7508.8,,,,,,,,
2011-06-02,3.04,3.04,3.04,3.04,1670,5076.8,,,,,,,,
2011-06-03,3.12,3.12,2.9,3.04,18320,55692.8,,,,,,,,
2011-06-06,3.08,3.08,3.04,3.08,3640,11211.2,,,,,,,,
2011-06-07,3.08,3.08,3.08,3.08,300,924.0,,,,,,,,
2011-06-08,3.08,3.08,3.08,3.08,0,0.0,,,,,,,,
2011-06-09,3.04,3.08,2.99,2.99,1800,5382.0,,,,,,,,
2011-06-10,2.99,3.08,2.99,3.04,6600,20064.0,,,,,,,,
2011-06-13,3.08,3.08,3.04,3.04,6830,20763.2,,,,,,,,
2011-06-14,3.08,3.08,3.08,3.08,5100,15708.0,,,,,,,,
2011-06-15,3.08,3.08,2.99,2.99,12500,37375.0,,,,,,,,
2011-06-16,2.99,3.08,2.99,3.08,3010,9270.8,,,,,,,,
2011-06-17,3.08,3.08,2.99,3.04,4660,14166.4,,,,,,,,
2011-06-20,3.04,3.12,3.04,3.12,5100,15912.0,,,,,,,,
2011-06-21,3.12,3.17,3.12,3.17,5400,17118.0,,,,,,,,
2011-06-22,3.12,3.17,3.12,3.12,18800,58656.0,,,,,,,,
2011-06-23,3.17,3.17,3.12,3.12,15750,49140.0,,,,,,,,
2011-06-24,3.17,3.17,3.17,3.17,3670,11633.9,,,,,,,,
2011-06-27,3.26,3.3,3.26,3.3,16830,55539.0,,,,,,,,
2011-06-28,3.3,3.3,3.3,3.3,25960,85668.0,,,,,,,,
2011-06-29,3.3,3.35,3.17,3.35,2630,8810.5,,,,,,,,
2011-06-30,3.26,3.3,3.26,3.3,2300,7590.0,,,,,,,,
2011-07-01,3.35,3.35,3.26,3.26,1710,5574.599999999999,,,,,,,,
2011-07-04,3.26,3.26,3.21,3.26,4000,13040.0,,,,,,,,
2011-07-05,3.26,3.26,3.26,3.26,0,0.0,,,,,,,,
2011-07-06,3.26,3.26,3.21,3.21,2230,7158.3,,,,,,,,
2011-07-07,3.17,3.3,3.12,3.12,3010,9391.2,,,,,,,,
2011-07-08,3.21,3.21,3.21,3.21,10,32.1,,,,,,,,
2011-07-11,3.21,3.26,3.21,3.26,2050,6683.0,,,,,,,,
2011-07-12,3.12,3.12,3.12,3.12,2090,6520.8,,,,,,,,
2011-07-13,3.21,3.21,3.21,3.21,20,64.2,,,,,,,,
2011-07-14,3.21,3.21,3.21,3.21,0,0.0,,,,,,,,
2011-07-15,3.21,3.21,3.08,3.08,1110,3418.8,,,,,,,,
2011-07-18,3.08,3.08,3.04,3.04,2720,8268.8,,,,,,,,
2011-07-19,3.12,3.12,3.12,3.12,50,156.0,,,,,,,,
2011-07-20,3.21,3.21,3.21,3.21,1210,3884.1,,,,,,,,
