time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2022-11-08,6.972,6.972,5.578,5.578,101700,567282.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-09,5.578,5.578,4.781,4.847,46300,224416.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-10,5.71,5.71,4.98,4.98,7200,35856.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-11,5.976,5.976,4.98,5.246,14000,73444.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-14,5.578,5.578,4.98,5.312,12500,66400.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-15,5.445,5.445,4.914,5.378,19400,104333.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-16,5.312,5.312,4.914,5.113,7900,40392.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-17,4.98,5.378,4.781,5.312,10700,56838.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-18,5.312,5.312,4.914,4.98,12700,63246.00000000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-21,5.179,5.246,4.98,5.179,14200,73541.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-22,5.113,5.246,4.648,5.246,44300,232397.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-23,5.246,5.246,5.046,5.046,2400,12110.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-24,5.113,5.113,4.914,4.98,22500,112050.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-25,5.246,5.246,5.113,5.113,2900,14827.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-28,5.246,5.312,5.179,5.246,27700,145314.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-29,5.246,5.246,5.113,5.113,24000,122712.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-11-30,5.179,5.246,5.113,5.113,15200,77717.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-01,5.113,5.246,5.046,5.113,20000,102260.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-02,5.246,5.246,5.046,5.113,8400,42949.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-05,5.246,5.246,5.113,5.113,11400,58288.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-06,5.246,5.91,5.113,5.312,23900,126956.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-07,5.777,5.777,5.113,5.113,5000,25565.000000000004,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-08,5.511,5.511,5.246,5.246,3900,20459.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-09,5.312,5.312,5.312,5.312,1000,5312.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-12,5.312,5.312,5.312,5.312,2200,11686.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-13,4.648,5.445,4.648,5.246,16800,88132.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-14,5.378,5.445,5.378,5.445,3000,16335.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-15,5.445,5.511,5.445,5.445,7000,38115.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-16,5.312,5.445,5.312,5.445,2300,12523.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-19,4.714,5.511,4.648,5.511,3500,19288.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-20,5.445,5.445,5.378,5.378,3400,18285.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-21,5.378,6.242,5.378,5.378,29100,156499.80000000002,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-22,5.378,5.511,5.378,5.511,16900,93135.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-23,5.445,5.511,5.378,5.378,4000,21512.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-12-26,5.378,5.378,5.378,5.378,1000,5378.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
