time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2010-11-29,8.48,8.48,6.59,7.5,48600,364500.0,,,,,
2010-11-30,7.5,7.5,7.27,7.27,1100,7996.999999999999,,,,,
2010-12-01,6.88,6.88,6.88,6.88,5300,36464.0,,,,,
2010-12-02,6.43,6.43,6.43,6.43,3100,19933.0,,,,,
2010-12-03,6.0,6.85,6.0,6.65,57300,381045.0,,,,,
2010-12-06,6.52,7.01,6.52,7.01,60800,426208.0,,,,,
2010-12-07,7.5,7.5,7.31,7.34,24700,181298.0,,,,,
2010-12-08,7.01,7.73,7.01,7.5,9000,67500.0,,,,,
2010-12-09,7.05,7.05,6.98,6.98,18900,131922.0,,,,,
2010-12-10,7.18,7.27,6.92,6.92,13100,90652.0,,,,,
2010-12-13,6.85,7.44,6.69,6.82,31500,214830.0,,,,,
2010-12-14,7.11,7.11,6.52,6.52,9200,59983.99999999999,,,,,
2010-12-15,6.23,6.26,6.13,6.13,5100,31263.0,,,,,
2010-12-16,5.87,6.03,5.84,5.84,4500,26280.0,,,,,
2010-12-17,6.2,6.26,6.2,6.26,15200,95152.0,,,,,
2010-12-20,6.69,6.69,6.62,6.62,19400,128428.0,,,,,
2010-12-21,6.95,6.95,6.69,6.72,8100,54432.0,,,,,
2010-12-22,6.82,6.82,6.33,6.33,13500,85455.0,,,,,
2010-12-23,6.36,6.36,6.0,6.0,8800,52800.0,,,,,
2010-12-24,6.07,6.13,5.87,6.13,400,2452.0,,,,,
2010-12-27,6.39,6.43,6.36,6.43,25500,163965.0,,,,,
2010-12-28,6.85,6.85,6.78,6.78,15300,103734.0,,,,,
2010-12-29,6.78,6.85,6.78,6.85,2200,15070.0,,,,,
2010-12-30,6.43,6.52,6.36,6.52,10200,66504.0,,,,,
2010-12-31,6.69,6.69,6.39,6.39,2400,15336.0,,,,,
2011-01-04,6.85,6.85,6.2,6.33,6600,41778.0,,,,,
2011-01-05,6.49,6.49,6.49,6.49,200,1298.0,,,,,
2011-01-06,6.65,6.65,6.2,6.49,4700,30503.0,,,,,
2011-01-07,6.49,6.49,6.49,6.49,1100,7139.0,,,,,
2011-01-10,6.49,6.49,6.2,6.2,2600,16120.0,,,,,
2011-01-11,6.52,6.52,6.52,6.52,300,1956.0,,,,,
2011-01-12,6.2,6.36,6.13,6.2,4200,26040.0,,,,,
2011-01-13,6.52,6.65,6.43,6.43,3600,23148.0,,,,,
