time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2019-03-15,15.1,15.1,15.1,15.1,3300,49830.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-03-18,17.3,17.3,17.3,17.3,1500,25950.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-03-19,19.8,19.8,19.8,19.8,31000,613800.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-03-20,22.7,22.7,21.1,22.7,4600,104420.0,100.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-03-21,26.1,26.1,22.8,26.1,4600,120060.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-03-22,29.5,29.6,29.5,29.6,13400,396640.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-03-25,33.9,33.9,33.0,33.0,6819,225027.0,110.0,100.0,0.0,0.0,,10.76,0.0,0.0
2019-03-26,33.0,33.0,30.0,31.0,4081,126511.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-03-27,30.5,30.8,30.5,30.8,200,6160.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-03-28,29.1,29.1,26.1,26.1,200,5220.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-03-29,23.5,29.0,23.5,29.0,7920,229680.0,100.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-04-01,24.5,24.5,20.9,24.0,2410,57840.0,0.0,110.0,0.0,0.0,,10.76,0.0,0.0
2019-04-02,22.5,22.5,22.5,22.5,0,0.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-04-03,22.0,22.0,22.0,22.0,600,13200.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-04-04,21.5,21.8,21.5,21.8,700,15260.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-04-05,24.0,24.0,24.0,24.0,220,5280.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
2019-04-08,25.0,25.0,25.0,25.0,1720,43000.0,1000.0,0.0,20000.0,0.0,,10.76,0.02,0.0
2019-04-09,25.0,25.0,25.0,25.0,0,0.0,0.0,0.0,0.0,0.0,,10.76,0.0,0.0
