time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-08-11,6.9,6.9,6.9,6.9,1520,10488.0,,,,,,,,
2009-08-12,7.24,7.24,7.24,7.24,60,434.4,,,,,,,,
2009-08-13,7.59,7.59,7.59,7.59,60,455.4,,,,,,,,
2009-08-14,7.93,7.93,7.93,7.93,60,475.8,,,,,,,,
2009-08-17,8.28,8.28,8.28,8.28,15550,128754.0,,,,,,,,
2009-08-18,8.69,8.69,8.69,8.69,25230,219248.7,,,,,,,,
2009-08-19,9.1,9.1,9.1,9.1,10020,91182.0,,,,,,,,
2009-08-20,9.52,9.52,9.52,9.52,8350,79492.0,,,,,,,,
2009-08-21,9.93,9.93,9.93,9.93,28100,279033.0,,,,,,,,
2009-08-24,10.41,10.41,10.35,10.41,521340,5427149.4,,,,,,,,
2009-08-25,10.83,10.83,10.62,10.69,668620,7147547.8,,,,,,,,
2009-08-26,10.48,10.76,10.48,10.48,257170,2695141.6,,,,,,,,
2009-08-27,10.41,10.48,10.14,10.41,248710,2589071.1,,,,,,,,
2009-08-28,10.48,10.69,10.41,10.69,206080,2202995.2,,,,,,,,
2009-08-31,10.97,10.97,10.76,10.97,284580,3121842.6,,,,,,,,
2009-09-01,11.04,11.04,10.76,11.04,357630,3948235.2,,,,,,,,
2009-09-03,10.76,10.97,10.76,10.76,133230,1433554.8,,,,,,,,
2009-09-04,10.76,11.1,10.62,10.76,280700,3020332.0,,,,,,,,
2009-09-07,10.69,10.76,10.41,10.69,112100,1198349.0,,,,,,,,
2009-09-08,10.9,10.97,10.76,10.9,149360,1628024.0,,,,,,,,
2009-09-09,10.97,11.04,10.9,10.97,224780,2465836.6,,,,,,,,
2009-09-10,11.45,11.45,11.04,11.45,293520,3360804.0,,,,,,,,
2009-09-11,12.0,12.0,12.0,12.0,137330,1647960.0,,,,,,,,
2009-09-14,12.55,12.55,12.28,12.55,366610,4600955.5,,,,,,,,
2009-09-15,13.17,13.17,13.1,13.17,587810,7741457.7,,,,,,,,
2009-09-16,13.24,13.52,12.97,13.1,263490,3451719.0,,,,,,,,
2009-09-17,13.1,13.17,12.69,13.1,327140,4285534.0,,,,,,,,
2009-09-18,13.17,13.73,13.04,13.73,1017600,13971648.0,,,,,,,,
2009-09-21,14.35,14.35,14.21,14.35,587340,8428329.0,,,,,,,,
2009-09-22,15.04,15.04,14.9,15.04,541760,8148070.399999999,,,,,,,,
2009-09-23,15.73,15.73,15.73,15.73,454660,7151801.8,,,,,,,,
2009-09-24,15.45,16.42,15.45,16.42,1042290,17114401.8,,,,,,,,
2009-09-25,16.83,17.1,16.55,17.1,827610,14152131.000000002,,,,,,,,
2009-09-28,17.79,17.93,17.52,17.93,677400,12145782.0,,,,,,,,
2009-09-29,18.76,18.76,17.93,18.76,594960,11161449.6,,,,,,,,
2009-09-30,18.35,19.31,17.93,17.93,613100,10992883.0,,,,,,,,
2009-10-01,17.52,17.66,17.1,17.1,539050,9217755.0,,,,,,,,
2009-10-02,16.28,16.28,16.28,16.28,99790,1624581.2000000002,,,,,,,,
2009-10-05,15.59,16.14,15.59,15.59,696370,10856408.3,,,,,,,,
2009-10-06,16.0,16.14,14.9,16.14,736300,11883882.0,,,,,,,,
2009-10-07,16.42,16.83,16.0,16.83,614930,10349271.9,,,,,,,,
2009-10-08,16.83,17.52,16.55,17.1,320220,5475762.0,,,,,,,,
2009-10-09,17.24,17.38,16.42,16.42,706490,11600565.8,,,,,,,,
2009-10-12,16.42,16.69,16.14,16.42,561420,9218516.4,,,,,,,,
