time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,4.038,4.519,4.038,4.423,6100,26980.3,,,,,,,,
2013-01-03,4.423,4.423,4.327,4.423,3800,16807.4,,,,,,,,
2013-01-04,4.231,4.423,4.231,4.423,1100,4865.3,,,,,,,,
2013-01-07,4.327,4.423,4.327,4.327,4900,21202.3,,,,,,,,
2013-01-08,4.135,4.423,4.135,4.423,4200,18576.6,,,,,,,,
2013-01-09,4.231,4.327,4.231,4.327,2600,11250.2,,,,,,,,
2013-01-10,4.327,4.327,4.327,4.327,4400,19038.8,,,,,,,,
2013-01-11,4.519,4.519,4.423,4.423,13500,59710.5,,,,,,,,
2013-01-14,4.327,4.327,4.231,4.327,5100,22067.7,,,,,,,,
2013-01-15,4.327,4.519,4.327,4.519,8200,37055.8,,,,,,,,
2013-01-16,4.615,4.615,4.519,4.519,11600,52420.4,,,,,,,,
2013-01-17,4.519,4.519,4.519,4.519,4000,18076.0,,,,,,,,
2013-01-18,4.423,4.808,4.423,4.808,4500,21636.0,,,,,,,,
2013-01-21,4.519,4.712,4.519,4.712,5500,25916.0,,,,,,,,
2013-01-22,4.423,4.423,4.327,4.327,13700,59279.9,,,,,,,,
2013-01-23,4.231,4.327,4.231,4.327,2100,9086.7,,,,,,,,
2013-01-24,4.327,4.519,3.942,4.519,18300,82697.7,,,,,,,,
2013-01-25,3.942,4.231,3.942,4.231,5000,21155.0,,,,,,,,
2013-01-28,4.135,4.231,4.135,4.231,7000,29617.0,,,,,,,,
2013-01-29,4.135,4.231,4.135,4.231,7000,29617.0,,,,,,,,
2013-01-30,4.231,4.231,4.231,4.231,3900,16500.899999999998,,,,,,,,
2013-01-31,4.327,4.327,4.231,4.231,2200,9308.2,,,,,,,,
2013-02-01,4.135,4.327,4.135,4.327,1900,8221.3,,,,,,,,
2013-02-04,4.327,4.423,4.327,4.423,2000,8846.0,,,,,,,,
2013-02-05,4.327,4.423,4.231,4.423,8900,39364.7,,,,,,,,
2013-02-06,4.327,4.423,4.327,4.423,8200,36268.6,,,,,,,,
2013-02-07,4.519,4.519,4.519,4.519,3000,13557.0,,,,,,,,
2013-02-08,4.327,4.519,4.327,4.519,7300,32988.700000000004,,,,,,,,
2013-02-18,4.615,4.615,4.615,4.615,1500,6922.5,,,,,,,,
2013-02-19,4.712,4.808,4.712,4.808,5300,25482.4,,,,,,,,
2013-02-20,4.808,4.808,4.808,4.808,600,2884.8,,,,,,,,
