time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2011-02-25,16.19,16.19,15.95,15.95,300,4785.0,,,,,,,,
2011-02-28,15.95,15.95,15.0,15.0,2000,30000.0,,,,,,,,
2011-03-01,14.88,14.88,14.41,14.41,1700,24497.0,,,,,,,,
2011-03-02,14.41,14.41,14.41,14.41,0,0.0,,,,,,,,
2011-03-03,13.72,13.72,13.72,13.72,100,1372.0,,,,,,,,
2011-03-04,12.76,12.76,12.76,12.76,1000,12760.0,,,,,,,,
2011-03-07,11.88,11.88,11.88,11.88,100,1188.0,,,,,,,,
2011-03-08,11.07,11.07,11.07,11.07,100,1107.0,,,,,,,,
2011-03-09,10.31,10.31,10.31,10.31,100,1031.0,,,,,,,,
2011-03-10,9.6,10.93,9.6,10.93,7900,86347.0,,,,,,,,
2011-03-11,10.6,10.62,9.29,9.29,13800,128202.0,,,,,,,,
2011-03-14,10.69,10.69,9.33,10.24,11000,112640.0,,,,,,,,
2011-03-15,9.98,9.98,9.98,9.98,200,1996.0,,,,,,,,
2011-03-16,10.62,10.62,10.48,10.48,1900,19912.0,,,,,,,,
2011-03-17,9.86,10.45,9.86,10.45,2600,27170.0,,,,,,,,
2011-03-18,10.57,10.57,10.57,10.57,900,9513.0,,,,,,,,
2011-03-21,11.17,11.17,11.07,11.07,6100,67527.0,,,,,,,,
2011-03-22,11.07,11.07,11.07,11.07,100,1107.0,,,,,,,,
2011-03-23,10.31,10.64,10.31,10.64,5100,54264.0,,,,,,,,
2011-03-24,9.93,10.67,9.91,10.67,1300,13871.0,,,,,,,,
2011-03-25,9.29,9.86,9.29,9.29,5500,51094.99999999999,,,,,,,,
2011-03-28,10.1,10.1,8.93,8.93,300,2679.0,,,,,,,,
2011-03-29,9.81,9.81,9.05,9.05,2300,20815.0,,,,,,,,
2011-03-30,9.29,9.74,9.29,9.74,500,4870.0,,,,,,,,
2011-03-31,9.98,9.98,9.5,9.5,7200,68400.0,,,,,,,,
2011-04-01,9.5,9.5,9.5,9.5,300,2850.0,,,,,,,,
2011-04-04,9.5,9.5,8.95,9.38,4300,40334.0,,,,,,,,
2011-04-05,9.64,10.1,8.81,8.81,4500,39645.0,,,,,,,,
2011-04-06,9.98,9.98,9.74,9.74,2000,19480.0,,,,,,,,
2011-04-07,9.74,9.74,9.74,9.74,0,0.0,,,,,,,,
2011-04-08,9.81,9.81,9.24,9.24,7000,64680.0,,,,,,,,
2011-04-13,9.48,9.48,8.91,8.91,6100,54351.0,,,,,,,,
2011-04-14,10.0,10.0,8.72,8.72,9700,84584.0,,,,,,,,
2011-04-15,9.05,9.05,9.05,9.05,100,905.0,,,,,,,,
2011-04-18,9.33,9.33,9.33,9.33,400,3732.0,,,,,,,,
2011-04-19,9.98,9.98,9.05,9.05,600,5430.0,,,,,,,,
2011-04-20,9.38,9.38,9.26,9.26,1600,14816.0,,,,,,,,
2011-04-21,9.29,9.29,9.29,9.29,1000,9290.0,,,,,,,,
2011-04-22,9.74,9.74,9.74,9.74,200,1948.0,,,,,,,,
2011-04-25,9.5,9.5,9.38,9.38,1500,14070.000000000002,,,,,,,,
2011-04-26,9.43,9.43,9.33,9.33,1900,17727.0,,,,,,,,
2011-04-27,9.52,9.52,9.52,9.52,1000,9520.0,,,,,,,,
2011-04-28,9.98,9.98,9.41,9.41,1700,15997.0,,,,,,,,
2011-04-29,9.52,9.52,9.52,9.52,200,1904.0,,,,,,,,
2011-05-04,8.86,9.29,8.86,8.86,1100,9746.0,,,,,,,,
2011-05-05,8.48,9.1,8.48,9.1,300,2730.0,,,,,,,,
2011-05-06,9.1,9.1,8.26,9.0,500,4500.0,,,,,,,,
2011-05-09,9.19,9.19,8.26,8.26,300,2478.0,,,,,,,,
2011-05-10,9.14,9.14,8.26,8.26,300,2478.0,,,,,,,,
2011-05-11,8.24,8.5,8.24,8.24,5000,41200.0,,,,,,,,
2011-05-12,8.72,8.74,8.41,8.43,4400,37092.0,,,,,,,,
2011-05-13,8.31,8.31,7.93,7.93,4800,38064.0,,,,,,,,
2011-05-16,8.26,8.26,8.26,8.26,200,1652.0,,,,,,,,
2011-05-17,7.69,7.69,7.69,7.69,100,769.0,,,,,,,,
2011-05-18,8.07,8.07,7.17,7.17,500,3585.0,,,,,,,,
2011-05-19,7.98,7.98,7.02,7.02,800,5616.0,,,,,,,,
2011-05-20,7.86,7.86,6.88,6.91,1000,6910.0,,,,,,,,
2011-05-23,8.0,8.1,7.14,7.14,800,5712.0,,,,,,,,
2011-05-24,8.33,8.33,7.81,7.81,900,7029.0,,,,,,,,
2011-05-25,7.83,7.86,7.6,7.6,4300,32680.0,,,,,,,,
2011-05-26,7.12,7.12,7.12,7.12,2500,17800.0,,,,,,,,
2011-05-27,6.64,6.67,6.64,6.64,300,1992.0,,,,,,,,
2011-05-30,6.19,6.19,6.19,6.19,600,3714.000000000001,,,,,,,,
