time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2015-11-05,8.586,8.586,8.586,8.586,27900,239549.4,,,,,,,,
2015-11-06,9.136,9.136,9.136,9.136,110,1004.96,,,,,,,,
2015-11-09,9.741,9.741,9.741,9.741,94040,916043.64,,,,,,,,
2015-11-10,10.402,10.402,10.072,10.072,115370,1162006.64,,,,,,,,
2015-11-11,10.732,10.732,9.907,9.962,31980,318584.76,,,,,,,,
2015-11-12,9.962,10.512,9.852,9.962,10980,109382.76,,,,,,,,
2015-11-13,10.127,10.127,9.741,9.907,29830,295525.81,,,,,,,,
2015-11-16,9.907,10.017,9.852,9.962,20050,199738.1,,,,,,,,
2015-11-17,9.962,10.017,9.962,9.962,32150,320278.3,,,,,,,,
2015-11-18,9.962,10.017,9.796,10.017,37360,374235.12,,,,,,,,
2015-11-19,9.962,10.182,9.962,10.127,25310,256314.37,,,,,,,,
2015-11-20,10.127,10.237,10.127,10.182,35200,358406.4,,,,,,,,
2015-11-23,10.237,10.842,10.182,10.842,75120,814451.04,,,,,,,,
2015-11-24,11.007,11.558,11.007,11.558,21250,245607.5,,,,,,,,
2015-11-25,11.558,12.328,11.393,12.328,21120,260367.36,,,,,,,,
2015-11-26,13.154,13.154,12.438,13.099,6680,87501.32,,,,,,,,
2015-11-27,12.934,13.759,12.823,12.823,43610,559211.03,,,,,,,,
2015-11-30,12.658,12.879,12.603,12.603,49430,622966.29,,,,,,,,
2015-12-01,12.603,12.768,12.603,12.658,26970,341386.26,,,,,,,,
2015-12-02,12.658,13.539,12.328,13.539,47220,639311.58,,,,,,,,
2015-12-03,13.704,14.475,13.374,14.475,47470,687128.25,,,,,,,,
2015-12-04,14.53,14.86,14.42,14.695,51060,750326.7000000001,,,,,,,,
2015-12-07,14.75,14.75,14.585,14.695,35320,519027.4,,,,,,,,
2015-12-08,14.75,15.685,14.53,15.685,29550,463491.75,,,,,,,,
2015-12-09,16.731,16.731,16.566,16.621,39860,662513.0599999999,,,,,,,,
2015-12-10,17.612,17.777,16.676,17.557,54160,950887.12,,,,,,,,
2015-12-11,18.547,18.767,17.557,18.767,32580,611428.86,,,,,,,,
2015-12-14,19.813,20.033,19.318,20.033,24550,491810.15,,,,,,,,
2015-12-15,21.409,21.409,21.409,21.409,4230,90560.07,,,,,,,,
2015-12-16,22.895,22.895,22.895,22.895,4100,93869.5,,,,,,,,
2015-12-17,24.491,24.491,21.574,23.225,73820,1714469.5,,,,,,,,
2015-12-18,24.821,24.821,23.666,24.491,25310,619867.21,,,,,,,,
2015-12-21,24.491,26.197,24.491,26.197,16470,431464.59,,,,,,,,
2015-12-22,26.197,27.353,26.197,26.748,24110,644894.28,,,,,,,,
2015-12-23,26.418,27.243,25.867,26.032,35030,911900.96,,,,,,,,
2015-12-24,25.867,25.977,25.207,25.867,30300,783770.1,,,,,,,,
2015-12-25,25.867,25.867,24.766,25.867,38380,992775.46,,,,,,,,
2015-12-28,25.867,26.418,25.757,26.418,31400,829525.2,,,,,,,,
