time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,5.385,5.385,5.385,5.385,100,538.5,,,,,,,,
2013-01-03,5.385,5.385,5.385,5.385,0,0.0,,,,,,,,
2013-01-04,5.385,5.385,5.385,5.385,0,0.0,,,,,,,,
2013-01-07,5.085,5.085,5.085,5.085,100,508.5,,,,,,,,
2013-01-08,5.085,5.085,5.085,5.085,700,3559.5,,,,,,,,
2013-01-09,5.085,5.085,5.085,5.085,0,0.0,,,,,,,,
2013-01-10,5.085,5.085,5.085,5.085,0,0.0,,,,,,,,
2013-01-11,5.235,5.235,5.235,5.235,200,1047.0,,,,,,,,
2013-01-14,5.235,5.235,5.235,5.235,0,0.0,,,,,,,,
2013-01-15,5.235,5.235,5.235,5.235,0,0.0,,,,,,,,
2013-01-16,5.235,5.235,5.235,5.235,0,0.0,,,,,,,,
2013-01-17,5.235,5.235,5.235,5.235,0,0.0,,,,,,,,
2013-01-18,5.235,5.235,5.235,5.235,0,0.0,,,,,,,,
2013-01-21,5.235,5.235,5.235,5.235,500,2617.5,,,,,,,,
2013-01-22,5.235,5.235,5.235,5.235,0,0.0,,,,,,,,
2013-01-23,5.235,5.235,5.235,5.235,0,0.0,,,,,,,,
2013-01-24,5.355,5.355,5.355,5.355,400,2142.0,,,,,,,,
2013-01-25,5.355,5.355,5.355,5.355,0,0.0,,,,,,,,
2013-01-28,5.355,5.355,5.355,5.355,0,0.0,,,,,,,,
2013-01-29,5.355,5.355,5.355,5.355,0,0.0,,,,,,,,
2013-01-30,5.355,5.355,5.355,5.355,0,0.0,,,,,,,,
2013-01-31,5.355,5.355,5.355,5.355,0,0.0,,,,,,,,
2013-02-01,5.355,5.355,5.355,5.355,0,0.0,,,,,,,,
2013-02-04,5.355,5.385,5.355,5.385,700,3769.5,,,,,,,,
2013-02-05,5.863,5.863,5.863,5.863,100,586.3000000000001,,,,,,,,
2013-02-06,5.863,5.863,5.863,5.863,0,0.0,,,,,,,,
2013-02-07,5.863,5.863,5.863,5.863,0,0.0,,,,,,,,
2013-02-08,5.355,5.355,5.355,5.355,2000,10710.0,,,,,,,,
2013-02-18,5.355,5.355,5.355,5.355,0,0.0,,,,,,,,
2013-02-19,5.355,5.355,5.355,5.355,0,0.0,,,,,,,,
2013-02-20,5.355,5.355,5.355,5.355,0,0.0,,,,,,,,
2013-02-21,5.744,5.744,5.744,5.744,100,574.4,,,,,,,,
2013-02-22,5.744,5.744,5.744,5.744,0,0.0,,,,,,,,
2013-02-25,5.744,5.744,5.744,5.744,0,0.0,,,,,,,,
2013-02-26,5.744,5.744,5.744,5.744,0,0.0,,,,,,,,
2013-02-27,5.355,5.355,5.355,5.355,500,2677.5,,,,,,,,
2013-02-28,5.355,5.355,5.355,5.355,500,2677.5,,,,,,,,
2013-03-01,5.624,5.624,5.624,5.624,200,1124.8,,,,,,,,
2013-03-04,5.624,5.624,5.624,5.624,0,0.0,,,,,,,,
2013-03-05,5.684,5.684,5.684,5.684,700,3978.8,,,,,,,,
2013-03-06,5.684,5.684,5.684,5.684,1100,6252.400000000001,,,,,,,,
2013-03-07,5.684,5.684,5.684,5.684,0,0.0,,,,,,,,
2013-03-08,5.684,5.684,5.684,5.684,0,0.0,,,,,,,,
2013-03-11,5.684,5.684,5.684,5.684,500,2842.0,,,,,,,,
2013-03-12,5.684,5.684,5.684,5.684,0,0.0,,,,,,,,
2013-03-13,5.684,5.684,5.684,5.684,0,0.0,,,,,,,,
2013-03-14,5.684,5.684,5.684,5.684,0,0.0,,,,,,,,
