time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2009-10-30,4.5,4.71,4.18,4.39,173500,761665.0,,,,,
2009-11-02,4.16,4.16,4.05,4.05,2200,8910.0,,,,,
2009-11-03,3.83,3.83,3.83,3.83,1000,3830.0,,,,,
2009-11-04,3.57,3.82,3.57,3.57,80800,288456.0,,,,,
2009-11-05,3.59,3.6,3.35,3.44,53800,185072.0,,,,,
2009-11-06,3.62,3.62,3.26,3.26,11000,35860.0,,,,,
2009-11-09,3.22,3.22,3.09,3.14,5300,16642.0,,,,,
2009-11-10,3.32,3.32,2.94,3.23,7700,24871.0,,,,,
2009-11-11,3.35,3.35,3.1,3.14,18800,59032.0,,,,,
2009-11-12,3.07,3.32,2.98,3.32,2500,8300.0,,,,,
2009-11-13,3.14,3.24,3.14,3.24,17200,55728.00000000001,,,,,
2009-11-16,3.35,3.35,3.03,3.03,2000,6060.0,,,,,
2009-11-17,3.09,3.19,3.03,3.03,3800,11514.0,,,,,
2009-11-18,3.08,3.09,3.08,3.09,1500,4635.0,,,,,
2009-11-19,3.09,3.09,3.03,3.09,2100,6489.0,,,,,
2009-11-20,3.07,3.07,2.93,2.93,4900,14357.0,,,,,
2009-11-23,2.93,2.93,2.88,2.88,2100,6048.0,,,,,
2009-11-24,3.13,3.13,2.93,2.93,1500,4395.0,,,,,
2009-11-25,2.87,2.87,2.76,2.76,3000,8280.0,,,,,
2009-11-26,2.97,2.97,2.59,2.59,7600,19684.0,,,,,
2009-11-27,2.77,2.85,2.49,2.85,2600,7410.0,,,,,
2009-11-30,2.82,2.82,2.8,2.8,6100,17080.0,,,,,
2009-12-01,2.92,2.92,2.82,2.88,3400,9792.0,,,,,
2009-12-02,2.88,2.88,2.88,2.88,0,0.0,,,,,
2009-12-03,2.82,2.82,2.77,2.8,1600,4480.0,,,,,
2009-12-04,2.76,2.76,2.62,2.62,3900,10218.0,,,,,
2009-12-07,2.62,2.68,2.51,2.64,31600,83424.0,,,,,
2009-12-08,2.62,2.62,2.55,2.62,6100,15982.0,,,,,
2009-12-09,2.62,2.62,2.56,2.56,5700,14592.0,,,,,
2009-12-10,2.74,2.74,2.74,2.74,1300,3562.0000000000005,,,,,
2009-12-11,2.74,2.74,2.55,2.55,1600,4080.0,,,,,
2009-12-14,2.76,2.76,2.71,2.76,34800,96048.0,,,,,
2009-12-15,2.72,2.72,2.72,2.72,115400,313888.0,,,,,
2009-12-16,2.78,2.79,2.78,2.79,1500,4185.0,,,,,
2009-12-17,2.63,2.82,2.63,2.82,3500,9870.0,,,,,
2009-12-18,2.88,2.92,2.77,2.92,1500,4380.0,,,,,
2009-12-21,2.93,3.0,2.88,3.0,8200,24600.0,,,,,
2009-12-22,3.08,3.08,3.06,3.07,4000,12280.0,,,,,
2009-12-23,3.07,3.22,3.0,3.0,4300,12900.0,,,,,
