time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-06-25,9.42,9.42,9.42,9.42,2000,18840.0,,,,,,,,
2009-06-26,9.42,9.42,9.42,9.42,0,0.0,,,,,,,,
2009-06-29,9.42,9.42,9.42,9.42,0,0.0,,,,,,,,
2009-06-30,9.42,9.42,9.42,9.42,0,0.0,,,,,,,,
2009-07-01,9.42,9.42,9.42,9.42,0,0.0,,,,,,,,
2009-07-02,9.42,9.42,9.42,9.42,0,0.0,,,,,,,,
2009-07-03,8.48,8.48,8.48,8.48,200,1696.0,,,,,,,,
2009-07-06,7.81,7.81,7.81,7.81,200,1562.0,,,,,,,,
2009-07-07,7.81,7.81,7.81,7.81,0,0.0,,,,,,,,
2009-07-08,7.81,7.81,7.81,7.81,0,0.0,,,,,,,,
2009-07-09,8.59,8.59,8.59,8.59,60,515.4,,,,,,,,
2009-07-10,8.59,9.42,8.59,9.42,50,471.0,,,,,,,,
2009-07-13,9.61,9.61,9.61,9.61,10,96.1,,,,,,,,
2009-07-14,10.55,10.55,10.55,10.55,20,211.0,,,,,,,,
2009-07-15,10.55,10.55,10.55,10.55,0,0.0,,,,,,,,
2009-07-16,11.6,11.6,11.6,11.6,20,232.0,,,,,,,,
2009-07-17,12.76,12.76,12.76,12.76,20,255.2,,,,,,,,
2009-07-22,15.45,15.45,15.45,15.45,10,154.5,,,,,,,,
2009-07-23,15.45,15.45,15.45,15.45,0,0.0,,,,,,,,
2009-07-24,16.96,16.96,13.92,13.92,110,1531.2,,,,,,,,
2009-07-27,15.58,15.58,15.58,15.58,10,155.8,,,,,,,,
2009-07-28,15.58,15.58,15.58,15.58,0,0.0,,,,,,,,
2009-07-29,15.58,15.58,15.58,15.58,0,0.0,,,,,,,,
2009-07-30,15.58,15.58,15.58,15.58,0,0.0,,,,,,,,
2009-07-31,16.15,16.15,14.32,14.32,50,716.0,,,,,,,,
