time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2025-04-22,11.8,13.6,11.8,12.0,11700,140400.0,,,,,,,,
2025-04-23,12.2,12.2,12.2,12.2,0,0.0,,,,,,,,
2025-04-24,10.4,10.4,10.4,10.4,1800,18720.0,,,,,,,,
2025-04-25,10.4,11.9,10.4,11.9,1800,21420.0,,,,,,,,
2025-04-28,10.1,10.2,10.0,10.2,2400,24480.0,,,,,,,,
2025-04-29,10.2,10.2,10.2,10.2,100,1020.0,,,,,,,,
2025-05-05,10.2,10.2,10.2,10.2,0,0.0,,,,,,,,
2025-05-06,10.2,10.2,10.2,10.2,0,0.0,,,,,,,,
2025-05-07,10.2,10.2,10.2,10.2,0,0.0,,,,,,,,
2025-05-08,10.2,10.2,10.2,10.2,0,0.0,,,,,,,,
2025-05-09,10.2,10.2,10.2,10.2,0,0.0,,,,,,,,
2025-05-12,8.8,8.8,8.8,8.8,0,0.0,,,,,,,,
2025-05-13,7.5,7.6,7.5,7.6,200,1520.0,,,,,,,,
2025-05-14,7.1,7.1,7.1,7.1,100,710.0,,,,,,,,
2025-05-15,8.1,8.1,8.1,8.1,800,6480.0,,,,,,,,
2025-05-16,9.3,9.3,8.6,8.6,500,4300.0,,,,,,,,
2025-05-19,10.2,10.2,7.6,7.6,1100,8360.0,,,,,,,,
2025-05-20,10.3,10.3,8.7,8.7,1100,9570.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-21,8.5,10.0,8.5,8.6,1100,9460.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-22,10.0,10.0,10.0,10.0,800,8000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-23,8.5,11.0,8.5,11.0,1500,16500.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-26,9.9,9.9,9.9,9.9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-27,8.5,8.5,8.5,8.5,300,2550.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-28,7.4,9.7,7.4,9.7,900,8730.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
