time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2024-12-30,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2024-12-31,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-02,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-03,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-06,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-07,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-08,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-09,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-10,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-13,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-14,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-15,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-16,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-17,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-20,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-21,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-22,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-23,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-01-24,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-02-03,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-02-04,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-02-05,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-02-06,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-02-07,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-02-10,12.4,12.4,12.4,12.4,0,0.0,,,,,,,,
2025-02-11,12.4,12.4,7.5,7.5,1000,7500.0,,,,,,,,
2025-02-12,11.4,11.4,11.4,11.4,0,0.0,,,,,,,,
2025-02-13,11.4,11.4,11.4,11.4,0,0.0,,,,,,,,
2025-02-14,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-17,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-18,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-19,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-20,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-21,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-24,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-25,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-26,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-27,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-28,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-03,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-04,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-05,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-06,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-07,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-10,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-11,11.4,11.4,11.4,11.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
