time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,8.726,8.726,8.109,8.109,1360,11028.24,,,,,,,,
2013-01-03,7.954,7.954,7.954,7.954,10,79.53999999999999,,,,,,,,
2013-01-04,7.954,7.954,7.954,7.954,0,0.0,,,,,,,,
2013-01-07,8.34,8.34,8.34,8.34,100,834.0,,,,,,,,
2013-01-08,7.954,8.418,7.954,8.418,15540,130815.72,,,,,,,,
2013-01-09,8.109,8.109,8.031,8.031,2140,17186.34,,,,,,,,
2013-01-10,8.031,8.031,8.031,8.031,100,803.1,,,,,,,,
2013-01-11,8.34,8.34,8.34,8.34,900,7506.0,,,,,,,,
2013-01-14,7.954,8.186,7.954,8.186,3020,24721.72,,,,,,,,
2013-01-15,8.031,8.726,7.954,8.726,5290,46160.54000000001,,,,,,,,
2013-01-16,8.958,8.958,8.726,8.958,6530,58495.74,,,,,,,,
2013-01-17,8.804,8.958,8.495,8.958,3500,31353.0,,,,,,,,
2013-01-18,9.267,9.267,8.34,8.726,1470,12827.22,,,,,,,,
2013-01-21,8.186,8.804,8.186,8.263,1610,13303.43,,,,,,,,
2013-01-22,8.109,8.186,8.109,8.109,510,4135.59,,,,,,,,
2013-01-23,7.8,8.495,7.723,8.495,26130,221974.35,,,,,,,,
2013-01-24,7.954,8.418,7.954,8.109,5590,45329.31,,,,,,,,
2013-01-25,7.8,8.495,7.723,8.495,4730,40181.35,,,,,,,,
2013-01-28,8.031,8.34,8.031,8.109,11540,93577.86,,,,,,,,
2013-01-29,8.109,8.263,7.723,8.263,19300,159475.9,,,,,,,,
2013-01-30,7.954,7.954,7.954,7.954,10,79.53999999999999,,,,,,,,
2013-01-31,7.877,8.186,7.877,8.186,830,6794.38,,,,,,,,
2013-02-01,8.109,8.109,7.954,8.109,610,4946.49,,,,,,,,
