time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-06-08,3.03,3.03,3.03,3.03,7500,22725.0,,,,,,,,
2009-06-09,3.24,3.24,3.24,3.24,16600,53784.0,,,,,,,,
2009-06-10,3.46,3.46,3.46,3.46,36000,124560.0,,,,,,,,
2009-06-11,3.7,3.7,3.7,3.7,17200,63640.0,,,,,,,,
2009-06-15,4.23,4.23,3.95,4.19,188500,789815.0000000001,,,,,,,,
2009-06-16,3.83,3.83,3.82,3.82,69400,265108.0,,,,,,,,
2009-06-17,3.56,4.03,3.56,3.82,85500,326610.0,,,,,,,,
2009-06-18,3.88,3.88,3.73,3.79,107700,408183.0,,,,,,,,
2009-06-19,3.91,4.07,3.59,3.7,31700,117290.0,,,,,,,,
2009-06-22,3.61,3.71,3.36,3.36,48400,162624.0,,,,,,,,
2009-06-23,3.18,3.19,3.18,3.18,83100,264258.0,,,,,,,,
2009-06-24,2.97,3.4,2.97,3.4,70700,240380.0,,,,,,,,
2009-06-25,3.39,3.49,3.16,3.19,31200,99528.0,,,,,,,,
2009-06-26,3.53,3.53,3.3,3.35,36400,121940.0,,,,,,,,
2009-06-29,3.61,3.61,3.38,3.49,53000,184970.0,,,,,,,,
2009-06-30,3.67,3.75,3.36,3.47,28500,98895.0,,,,,,,,
2009-07-01,3.29,3.31,3.28,3.28,48800,160064.0,,,,,,,,
2009-07-02,3.15,3.41,3.15,3.35,34900,116915.0,,,,,,,,
2009-07-03,3.11,3.31,3.08,3.3,73700,243210.0,,,,,,,,
2009-07-06,3.35,3.47,3.35,3.47,18900,65583.0,,,,,,,,
2009-07-07,3.45,3.51,3.41,3.43,17700,60711.0,,,,,,,,
2009-07-08,3.39,3.45,3.39,3.44,20500,70520.0,,,,,,,,
2009-07-09,3.43,3.43,3.4,3.42,19300,66006.0,,,,,,,,
2009-07-10,3.42,3.42,3.32,3.4,8200,27880.0,,,,,,,,
2009-07-13,3.27,3.31,3.2,3.21,11800,37878.0,,,,,,,,
2009-07-14,3.23,3.23,3.11,3.15,12800,40320.0,,,,,,,,
2009-07-15,3.19,3.23,3.15,3.22,24200,77924.0,,,,,,,,
2009-07-16,3.31,3.35,3.28,3.31,3600,11916.0,,,,,,,,
2009-07-17,3.27,3.39,3.27,3.28,10900,35752.0,,,,,,,,
2009-07-20,3.19,3.19,3.09,3.14,21300,66882.0,,,,,,,,
2009-07-21,3.13,3.16,3.13,3.15,6200,19530.0,,,,,,,,
2009-07-22,3.37,3.37,3.31,3.37,81700,275329.0,,,,,,,,
2009-07-23,3.51,3.59,3.39,3.59,66700,239453.0,,,,,,,,
2009-07-24,3.76,3.76,3.76,3.76,53200,200032.0,,,,,,,,
2009-07-27,4.01,4.01,3.75,3.89,60000,233400.0,,,,,,,,
2009-07-28,3.99,4.15,3.67,3.67,47500,174325.0,,,,,,,,
