time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2019-11-05,9.448,9.448,9.448,9.448,2800,26454.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-06,9.448,9.448,9.448,9.448,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-07,9.448,9.448,9.448,9.448,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-08,9.448,9.448,9.448,9.448,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-11,9.448,9.448,9.448,9.448,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-12,9.448,9.448,9.448,9.448,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-13,9.448,9.448,9.448,9.448,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-14,9.448,9.448,9.448,9.448,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-15,9.448,9.448,9.448,9.448,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-18,9.448,9.448,9.448,9.448,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-19,9.448,9.448,9.448,9.448,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-20,8.721,10.756,8.721,10.756,2100,22587.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-21,12.209,12.282,10.756,12.209,2500,30522.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-22,12.137,12.137,12.137,12.137,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-25,13.881,13.881,13.881,13.881,1000,13881.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-26,15.48,15.48,13.808,15.262,2600,39681.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-27,15.262,15.262,15.262,15.262,100,1526.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-28,15.262,15.262,15.262,15.262,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-29,15.262,15.262,15.262,15.262,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-02,15.262,15.262,15.262,15.262,100,1526.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-03,15.262,15.262,15.262,15.262,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-04,15.262,15.262,15.262,15.262,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-05,15.262,15.262,15.262,15.262,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-06,15.262,15.262,15.262,15.262,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-09,15.262,15.262,15.262,15.262,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-10,13.009,13.009,13.009,13.009,100,1300.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-11,13.009,13.009,13.009,13.009,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-12,12.645,12.645,12.645,12.645,300,3793.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-13,11.265,11.265,10.901,10.901,3000,32703.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-16,12.209,12.209,12.209,12.209,200,2441.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-17,10.974,13.953,10.974,13.953,400,5581.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-18,12.282,12.282,12.282,12.282,100,1228.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-19,12.645,12.645,12.645,12.645,100,1264.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-20,12.645,12.645,12.645,12.645,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-23,12.645,12.645,12.645,12.645,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-24,14.462,14.462,14.462,14.462,100,1446.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-25,14.462,14.462,14.462,14.462,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-26,12.355,12.355,12.355,12.355,2000,24710.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-27,12.355,12.355,12.355,12.355,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-30,14.026,14.026,14.026,14.026,100,1402.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-31,14.026,14.026,14.026,14.026,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-02,15.988,15.988,15.988,15.988,100,1598.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-03,15.988,15.988,15.988,15.988,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-06,15.988,15.988,15.988,15.988,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-07,15.988,15.988,15.988,15.988,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-08,15.988,15.988,15.988,15.988,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-09,15.988,15.988,15.988,15.988,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-10,13.59,13.59,13.59,13.59,100,1359.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-13,13.59,13.59,13.59,13.59,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-14,15.189,15.189,15.189,15.189,100,1518.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-15,15.189,15.189,15.189,15.189,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-16,15.189,15.189,15.189,15.189,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-17,15.189,15.189,15.189,15.189,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-20,12.936,15.189,12.936,15.189,400,6075.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-21,11.991,11.991,11.991,11.991,100,1199.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-22,13.59,13.59,10.247,11.919,300,3575.7000000000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-30,10.174,10.174,10.174,10.174,200,2034.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-31,11.555,11.555,11.555,11.555,100,1155.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-03,9.884,9.884,9.884,9.884,100,988.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-04,8.43,8.43,8.43,8.43,200,1686.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-05,9.593,9.593,9.593,9.593,100,959.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-06,8.721,8.721,8.212,8.212,1200,9854.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-07,7.413,7.413,7.413,7.413,200,1482.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-10,6.323,7.34,6.323,7.34,1800,13212.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-11,6.468,6.468,6.468,6.468,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-12,7.413,7.413,7.413,7.413,1100,8154.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-13,8.43,8.43,8.43,8.43,100,843.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-14,9.593,9.593,9.593,9.593,100,959.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-17,9.593,9.593,9.593,9.593,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-18,8.212,8.212,8.212,8.212,200,1642.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-19,9.012,9.012,7.122,7.122,200,1424.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-20,9.012,9.012,6.977,6.977,700,4883.900000000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-21,8.285,8.285,6.177,6.177,1900,11736.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-24,7.267,7.267,7.267,7.267,100,726.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-25,7.267,7.267,7.267,7.267,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-26,8.285,8.285,8.285,8.285,100,828.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-27,8.648,8.648,7.049,7.049,200,1409.8000000000002,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-02-28,8.939,8.939,8.939,8.939,100,893.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-02,8.939,8.939,8.939,8.939,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-03,8.939,8.939,8.939,8.939,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-04,8.939,8.939,8.939,8.939,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-05,8.939,8.939,8.939,8.939,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-06,8.939,8.939,8.939,8.939,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-03-09,8.939,8.939,8.939,8.939,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
