time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-10-13,11.49,11.49,10.86,11.49,366930,4216025.7,,,,,,,,
2010-10-14,11.49,11.7,11.39,11.49,102890,1182206.1,,,,,,,,
2010-10-15,10.97,11.49,10.97,10.97,79650,873760.5,,,,,,,,
2010-10-18,10.97,11.07,10.55,10.76,67420,725439.2,,,,,,,,
2010-10-19,10.86,11.18,10.45,10.86,64120,696343.2,,,,,,,,
2010-10-20,10.86,10.86,10.36,10.86,11000,119460.0,,,,,,,,
2010-10-21,10.86,10.86,10.45,10.86,20500,222630.0,,,,,,,,
2010-10-22,10.86,10.86,10.76,10.86,26000,282360.0,,,,,,,,
2010-10-25,10.45,10.86,10.45,10.86,26200,284532.0,,,,,,,,
2010-10-26,10.97,11.18,10.76,10.97,17310,189890.7,,,,,,,,
2010-10-27,10.97,11.18,10.45,10.97,20750,227627.5,,,,,,,,
2010-10-28,10.45,10.76,10.43,10.45,16160,168872.0,,,,,,,,
2010-10-29,10.66,10.66,10.03,10.66,18000,191880.0,,,,,,,,
2010-11-01,10.76,10.86,10.66,10.76,710,7639.599999999999,,,,,,,,
2010-11-02,10.34,10.86,10.24,10.34,5200,53768.0,,,,,,,,
2010-11-03,9.84,10.66,9.84,10.45,6680,69806.0,,,,,,,,
2010-11-04,9.94,10.64,9.94,10.64,9630,102463.2,,,,,,,,
2010-11-05,10.64,10.64,10.64,10.64,3000,31920.0,,,,,,,,
2010-11-08,10.64,10.64,10.32,10.64,29730,316327.2,,,,,,,,
2010-11-09,10.6,10.64,10.11,10.6,11060,117236.0,,,,,,,,
2010-11-10,10.6,10.6,10.08,10.57,3500,36995.0,,,,,,,,
2010-11-11,10.13,10.53,10.08,10.53,2310,24324.3,,,,,,,,
2010-11-12,10.4,10.4,10.02,10.4,6310,65624.0,,,,,,,,
2010-11-15,10.4,10.4,10.4,10.4,1000,10400.0,,,,,,,,
2010-11-16,9.94,10.38,9.94,9.94,3740,37175.6,,,,,,,,
2010-11-17,9.94,10.42,9.94,10.21,14590,148963.90000000002,,,,,,,,
2010-11-18,10.21,10.42,10.21,10.21,1100,11231.000000000002,,,,,,,,
2010-11-19,10.21,10.21,10.21,10.21,2100,21441.0,,,,,,,,
2010-11-22,10.11,10.11,10.11,10.11,2000,20220.0,,,,,,,,
2010-11-23,10.17,10.21,10.04,10.17,3600,36612.0,,,,,,,,
2010-11-24,10.17,10.17,10.17,10.17,200,2034.0,,,,,,,,
2010-11-25,10.17,10.19,10.15,10.17,3280,33357.6,,,,,,,,
2010-11-26,10.42,10.42,9.68,10.17,6420,65291.4,,,,,,,,
2010-11-29,10.04,10.08,9.68,10.04,4620,46384.8,,,,,,,,
2010-11-30,10.4,10.4,10.0,10.04,12820,128712.8,,,,,,,,
2010-12-01,10.0,10.04,9.57,10.0,14600,146000.0,,,,,,,,
2010-12-02,10.0,10.0,9.79,10.0,26600,266000.0,,,,,,,,
2010-12-03,10.0,10.49,10.0,10.42,36300,378246.0,,,,,,,,
2010-12-06,10.64,10.64,9.91,10.53,12700,133731.0,,,,,,,,
2010-12-07,10.36,10.49,10.02,10.36,46600,482776.0,,,,,,,,
2010-12-08,10.11,10.11,10.06,10.11,18690,188955.9,,,,,,,,
2010-12-09,10.45,10.49,9.62,10.45,6530,68238.5,,,,,,,,
2010-12-10,10.42,10.51,10.0,10.42,70010,729504.2,,,,,,,,
2010-12-13,10.42,10.45,10.42,10.42,96000,1000320.0,,,,,,,,
2010-12-14,10.42,10.42,9.91,10.42,49060,511205.2,,,,,,,,
2010-12-15,10.42,10.42,10.0,10.0,99100,991000.0,,,,,,,,
2010-12-16,10.0,10.42,9.51,10.42,237200,2471624.0,,,,,,,,
2010-12-17,10.45,10.45,10.0,10.45,134500,1405525.0,,,,,,,,
2010-12-20,10.42,10.64,10.17,10.42,109500,1140990.0,,,,,,,,
2010-12-21,10.38,10.42,10.17,10.38,230970,2397468.6,,,,,,,,
2010-12-22,10.3,10.42,10.13,10.3,152630,1572089.0,,,,,,,,
2010-12-23,10.0,10.6,9.83,10.0,150740,1507400.0,,,,,,,,
2010-12-24,9.62,10.02,9.62,9.98,92000,918160.0,,,,,,,,
2010-12-27,9.98,10.3,9.96,10.08,93000,937440.0,,,,,,,,
2010-12-28,10.08,10.17,9.6,9.66,145870,1409104.2,,,,,,,,
2010-12-29,9.38,9.79,9.25,9.79,129100,1263889.0,,,,,,,,
2010-12-30,9.79,9.57,9.3,9.32,162090,1510678.8,,,,,,,,
2010-12-31,9.32,9.77,9.34,9.77,61080,596751.6,,,,,,,,
2011-01-04,9.77,10.23,9.74,10.23,74550,762646.5,,,,,,,,
2011-01-05,10.23,10.4,10.21,10.21,56050,572270.5,,,,,,,,
2011-01-06,10.21,10.21,9.7,9.7,108300,1050510.0,,,,,,,,
2011-01-07,9.7,9.7,9.23,9.28,113030,1048918.4,,,,,,,,
2011-01-10,9.11,9.36,9.06,9.3,48200,448260.00000000006,,,,,,,,
2011-01-11,9.3,9.47,8.98,9.36,58900,551304.0,,,,,,,,
2011-01-12,9.15,9.47,9.15,9.3,65330,607569.0,,,,,,,,
2011-01-13,9.3,9.57,9.3,9.57,55380,529986.6,,,,,,,,
2011-01-14,9.57,9.68,9.47,9.64,43120,415676.8000000001,,,,,,,,
2011-01-17,9.19,9.98,9.17,9.62,46300,445406.0,,,,,,,,
2011-01-18,9.36,9.68,9.25,9.36,75170,703591.2,,,,,,,,
2011-01-19,9.36,9.47,9.36,9.47,61200,579564.0,,,,,,,,
2011-01-20,9.36,9.49,9.36,9.49,82530,783209.7000000001,,,,,,,,
2011-01-21,9.49,9.51,9.36,9.51,135030,1284135.3,,,,,,,,
2011-01-24,9.36,9.45,9.36,9.36,60730,568432.7999999999,,,,,,,,
2011-01-25,9.25,9.53,9.25,9.32,30350,282862.0,,,,,,,,
