time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2017-06-08,8.773,8.773,8.773,8.773,2894000,25389062.0,,,,,
2017-06-09,9.361,9.361,9.361,9.361,2268500,21235428.5,,,,,
2017-06-12,10.012,10.012,8.741,9.95,2498930,24864353.5,,,,,
2017-06-13,9.796,10.074,9.269,10.012,3809550,38141214.6,,,,,
2017-06-14,9.796,9.796,9.424,9.609,1047980,10070039.82,,,,,
2017-06-15,9.578,10.26,9.424,10.26,2860630,29350063.8,,,,,
2017-06-16,10.384,10.974,10.353,10.974,3212380,35252658.12,,,,,
2017-06-19,11.098,11.098,10.601,10.849,1253710,13601499.79,,,,,
2017-06-20,10.849,10.849,10.601,10.725,872250,9354881.25,,,,,
2017-06-21,10.725,10.911,10.508,10.756,1505590,16194126.04,,,,,
2017-06-22,10.725,10.849,10.478,10.725,1183930,12697649.25,,,,,
2017-06-23,10.756,10.974,10.725,10.787,1554810,16771735.47,,,,,
2017-06-26,10.819,11.531,10.819,11.531,2490950,28723144.450000003,,,,,
2017-06-27,11.562,11.996,11.562,11.965,2126670,25445606.55,,,,,
2017-06-28,11.965,12.058,11.407,11.81,2830970,33433755.700000003,,,,,
2017-06-29,11.81,11.841,11.253,11.749,2882890,33871074.61,,,,,
2017-06-30,11.686,11.841,10.942,10.942,2186090,23920196.78,,,,,
2017-07-03,10.199,10.725,10.199,10.663,2676180,28536107.34,,,,,
2017-07-04,10.663,10.974,10.508,10.571,2347990,24820602.29,,,,,
2017-07-05,10.571,10.601,9.857,10.199,1572490,16037825.51,,,,,
2017-07-06,9.92,10.044,9.485,9.485,2388100,22651128.5,,,,,
2017-07-07,9.3,9.609,9.269,9.548,1528000,14589344.0,,,,,
2017-07-10,9.548,9.548,8.896,8.896,2669680,23749473.28,,,,,
2017-07-11,8.277,8.989,8.277,8.958,3602570,32271822.06,,,,,
2017-07-12,8.958,9.237,8.896,9.175,2115590,19410538.25,,,,,
2017-07-13,9.175,9.207,8.555,8.555,1298370,11107555.35,,,,,
2017-07-14,8.028,8.649,8.028,8.432,506770,4273084.640000001,,,,,
2017-07-17,8.432,8.586,7.904,8.555,1132950,9692387.25,,,,,
2017-07-18,8.494,9.082,8.462,9.021,2198900,19836276.9,,,,,
2017-07-19,9.021,9.021,8.4,8.4,1208790,10153836.0,,,,,
2017-07-20,8.183,8.555,7.935,8.432,147400,1242876.8,,,,,
2017-07-21,8.432,8.432,7.843,7.843,263840,2069297.12,,,,,
2017-07-24,7.315,8.09,7.315,7.843,497610,3902755.23,,,,,
2017-07-25,8.059,8.059,7.502,7.935,170850,1355694.75,,,,,
2017-07-26,7.935,7.935,7.625,7.935,204600,1623501.0,,,,,
2017-07-27,7.75,7.75,7.408,7.719,194160,1498721.04,,,,,
2017-07-28,7.719,7.75,7.192,7.75,262480,2034220.0,,,,,
2017-07-31,7.253,7.532,7.223,7.315,1594360,11662743.4,,,,,
2017-08-01,6.82,7.253,6.82,7.192,2075200,14924838.4,,,,,
2017-08-02,7.192,7.284,7.099,7.223,276120,1994414.76,,,,,
2017-08-03,7.253,7.253,6.727,7.129,396900,2829500.1,,,,,
2017-08-04,7.129,7.625,6.664,7.625,1465130,11171616.25,,,,,
2017-08-07,7.811,8.028,7.687,8.028,524970,4214459.16,,,,,
2017-08-08,7.998,7.998,7.471,7.687,725610,5577764.07,,,,,
2017-08-09,7.625,7.625,7.161,7.161,752770,5390585.97,,,,,
2017-08-10,7.161,7.439,6.664,7.036,1182230,8318170.279999999,,,,,
2017-08-11,7.005,7.005,6.571,6.82,681220,4645920.4,,,,,
2017-08-14,6.788,6.788,6.354,6.354,574250,3648784.5,,,,,
2017-08-15,6.448,6.603,6.324,6.354,1496610,9509459.94,,,,,
2017-08-16,6.417,6.417,5.914,6.2,798660,4951692.0,,,,,
2017-08-17,6.2,6.293,5.766,6.293,1040220,6546104.46,,,,,
2017-08-18,6.261,6.293,5.852,6.2,2053250,12730150.0,,,,,
2017-08-21,6.187,6.187,5.766,6.013,1108450,6665109.85,,,,,
2017-08-22,5.858,5.89,5.598,5.598,707640,3961368.72,,,,,
2017-08-23,5.579,5.579,5.207,5.207,1225180,6379512.26,,,,,
2017-08-24,4.86,5.022,4.848,4.848,471750,2287044.0,,,,,
2017-08-25,4.867,5.183,4.848,5.183,1724600,8938601.799999999,,,,,
2017-08-28,5.221,5.543,5.201,5.543,2305420,12778943.06,,,,,
2017-08-29,5.543,5.766,5.27,5.579,1530270,8537376.33,,,,,
2017-08-30,5.381,5.704,5.188,5.579,1343310,7494326.489999999,,,,,
2017-08-31,5.567,5.567,5.188,5.338,1181930,6309142.34,,,,,
2017-09-01,5.338,5.381,4.966,5.022,1568360,7876303.92,,,,,
2017-09-05,5.022,5.369,5.022,5.369,1716430,9215512.67,,,,,
2017-09-06,5.394,5.456,5.022,5.381,1222480,6578164.88,,,,,
2017-09-07,5.356,5.356,5.065,5.065,495050,2507428.25,,,,,
2017-09-08,5.034,5.158,5.034,5.065,819900,4152793.500000001,,,,,
2017-09-11,5.065,5.077,4.991,5.077,316900,1608901.3,,,,,
2017-09-12,5.077,5.139,5.071,5.077,437410,2220730.57,,,,,
2017-09-13,5.146,5.146,4.991,5.077,235130,1193755.01,,,,,
2017-09-14,5.083,5.171,5.083,5.146,492500,2534405.0,,,,,
2017-09-15,5.146,5.201,5.015,5.083,306910,1560023.53,,,,,
2017-09-18,5.083,5.115,5.053,5.09,234120,1191670.8,,,,,
2017-09-19,5.083,5.096,5.053,5.09,353020,1796871.8,,,,,
2017-09-20,5.096,5.096,4.991,5.083,148520,754927.16,,,,,
2017-09-21,5.083,5.09,4.991,5.053,214270,1082706.31,,,,,
2017-09-22,4.997,5.053,4.966,5.053,355600,1796846.8,,,,,
2017-09-25,5.009,5.065,4.959,5.059,325480,1646603.32,,,,,
2017-09-26,5.053,5.083,5.003,5.065,173200,877258.0000000001,,,,,
2017-09-27,5.077,5.139,5.053,5.108,461470,2357188.76,,,,,
2017-09-28,5.015,5.108,5.015,5.028,31810,159940.68,,,,,
2017-09-29,5.083,5.083,4.991,4.991,51380,256437.58,,,,,
2017-10-02,5.022,5.022,4.774,4.984,220110,1097028.24,,,,,
2017-10-03,4.736,4.942,4.65,4.662,82080,382656.96,,,,,
2017-10-04,4.65,4.718,4.65,4.662,52910,246666.42,,,,,
2017-10-05,4.662,4.774,4.662,4.681,486540,2277493.74,,,,,
2017-10-06,4.557,4.699,4.557,4.6,44040,202584.0,,,,,
2017-10-09,4.594,4.6,4.495,4.495,46200,207669.0,,,,,
2017-10-10,4.34,4.482,4.34,4.34,152730,662848.2,,,,,
2017-10-11,4.402,4.402,4.296,4.402,54090,238104.18,,,,,
2017-10-12,4.433,4.457,4.346,4.358,57340,249887.72,,,,,
2017-10-13,4.358,4.402,4.179,4.321,54470,235364.87,,,,,
2017-10-16,4.34,4.34,4.154,4.154,238040,988818.16,,,,,
2017-10-17,4.154,4.327,4.154,4.321,141590,611810.39,,,,,
2017-10-18,4.34,4.402,4.278,4.389,127080,557754.12,,,,,
2017-10-19,4.396,4.414,4.278,4.396,99790,438676.84,,,,,
2017-10-20,4.402,4.402,4.278,4.402,256140,1127528.28,,,,,
2017-10-23,4.402,4.705,4.377,4.513,281430,1270093.59,,,,,
2017-10-24,4.463,4.681,4.34,4.513,146270,660116.51,,,,,
2017-10-25,4.525,4.575,4.278,4.278,210660,901203.48,,,,,
2017-10-26,4.278,4.457,4.216,4.216,238450,1005305.2,,,,,
2017-10-27,4.216,4.247,4.167,4.247,206130,875434.11,,,,,
2017-10-30,4.383,4.538,4.253,4.315,79290,342136.35000000003,,,,,
2017-10-31,4.34,4.495,4.104,4.104,406610,1668727.44,,,,,
2017-11-01,4.216,4.302,4.154,4.197,149860,628962.42,,,,,
2017-11-02,4.16,4.278,3.968,4.203,150050,630660.15,,,,,
2017-11-03,4.203,4.203,3.968,4.117,192220,791369.74,,,,,
2017-11-06,4.148,4.148,4.017,4.029,188920,761158.6799999999,,,,,
2017-11-07,4.029,4.092,3.968,4.079,281240,1147177.96,,,,,
2017-11-08,4.029,4.104,3.98,4.029,97230,391739.67,,,,,
2017-11-09,4.029,4.179,3.986,4.029,147400,593874.6,,,,,
2017-11-10,4.029,4.123,4.005,4.049,116650,472315.85,,,,,
2017-11-13,4.049,4.123,3.936,4.029,119230,480377.67,,,,,
2017-11-14,3.844,4.011,3.844,3.95,107100,423045.0,,,,,
2017-11-15,3.906,3.968,3.831,3.968,177160,702970.88,,,,,
2017-11-16,3.98,3.98,3.794,3.794,274610,1041870.34,,,,,
2017-11-17,3.825,3.93,3.825,3.85,122730,472510.5,,,,,
2017-11-20,3.961,3.961,3.812,3.85,110260,424501.0,,,,,
2017-11-21,3.875,3.894,3.806,3.831,139660,535037.46,,,,,
2017-11-22,3.837,3.844,3.757,3.812,106740,406892.88,,,,,
2017-11-23,3.856,3.856,3.744,3.744,146910,550031.04,,,,,
2017-11-24,3.726,3.999,3.713,3.869,312260,1208133.9400000002,,,,,
2017-11-27,3.869,4.079,3.844,3.881,258480,1003160.88,,,,,
2017-11-28,3.956,3.956,3.726,3.887,291880,1134537.56,,,,,
2017-11-29,3.887,3.887,3.726,3.794,277110,1051355.34,,,,,
2017-11-30,3.812,4.049,3.726,3.9,339960,1325844.0,,,,,
2017-12-01,3.72,3.993,3.72,3.968,326640,1296107.52,,,,,
2017-12-04,3.726,3.999,3.726,3.887,338260,1314816.62,,,,,
2017-12-05,3.956,3.956,3.751,3.788,226880,859421.44,,,,,
2017-12-06,3.875,3.875,3.744,3.825,212280,811971.0,,,,,
2017-12-07,3.825,3.825,3.738,3.812,98840,376778.08,,,,,
2017-12-08,3.763,3.825,3.732,3.738,138040,515993.52,,,,,
2017-12-11,3.738,3.77,3.732,3.757,75670,284292.19,,,,,
2017-12-12,3.77,3.776,3.688,3.726,129130,481138.38,,,,,
2017-12-13,3.757,3.837,3.751,3.751,220000,825220.0,,,,,
