time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-05-15,9.293,9.293,9.293,9.293,7230,67188.39,,,,,,,,
2013-05-16,8.664,8.664,8.664,8.664,130,1126.32,,,,,,,,
2013-05-17,8.083,8.083,8.083,8.083,10,80.83,,,,,,,,
2013-05-20,7.55,7.55,7.55,7.55,40310,304340.5,,,,,,,,
2013-05-21,7.066,7.26,7.066,7.26,2723800,19774788.0,,,,,,,,
2013-05-22,7.599,7.744,7.502,7.744,1274270,9867946.88,,,,,,,,
2013-05-23,8.276,8.276,8.034,8.276,1239310,10256529.56,,,,,,,,
2013-05-24,8.276,8.422,7.744,7.744,2523500,19541984.0,,,,,,,,
2013-05-27,7.357,7.647,7.212,7.212,1470620,10606111.44,,,,,,,,
2013-05-28,6.97,7.018,6.728,7.018,1198810,8413248.58,,,,,,,,
2013-05-29,6.679,6.97,6.534,6.728,998580,6718446.24,,,,,,,,
2013-05-30,6.582,7.115,6.582,6.873,374470,2573732.31,,,,,,,,
2013-05-31,6.776,6.97,6.534,6.534,615720,4023114.48,,,,,,,,
2013-06-03,6.534,6.728,6.486,6.631,379690,2517724.39,,,,,,,,
2013-06-04,6.631,6.679,6.244,6.244,374230,2336692.12,,,,,,,,
2013-06-05,6.389,6.486,6.195,6.244,284950,1779227.8,,,,,,,,
2013-06-06,6.195,6.389,6.147,6.147,351130,2158396.11,,,,,,,,
2013-06-07,6.147,6.34,6.147,6.244,437330,2730688.52,,,,,,,,
2013-06-10,6.292,6.389,6.002,6.05,264570,1600648.5,,,,,,,,
2013-06-11,6.05,6.437,6.05,6.437,1176730,7574611.010000001,,,,,,,,
2013-06-12,6.534,6.873,6.534,6.873,2428790,16693073.67,,,,,,,,
2013-06-13,7.115,7.163,6.873,6.873,1185800,8150003.4,,,,,,,,
2013-06-14,6.824,6.921,6.679,6.728,933890,6283211.92,,,,,,,,
2013-06-17,6.631,6.728,6.292,6.292,1093200,6878414.399999999,,,,,,,,
2013-06-18,6.292,6.437,6.244,6.292,497460,3130018.32,,,,,,,,
2013-06-19,6.486,6.728,6.437,6.728,983840,6619275.52,,,,,,,,
2013-06-20,6.728,7.018,6.728,6.824,1522520,10389676.48,,,,,,,,
2013-06-21,6.776,6.824,6.582,6.776,466530,3161207.28,,,,,,,,
2013-06-24,6.921,6.921,6.437,6.486,506810,3287169.66,,,,,,,,
2013-06-25,6.486,6.486,6.05,6.05,1310770,7930158.5,,,,,,,,
2013-06-26,6.05,6.244,6.002,6.05,467450,2828072.5,,,,,,,,
2013-06-27,6.147,6.195,6.098,6.147,241780,1486221.66,,,,,,,,
2013-06-28,6.195,6.244,6.05,6.147,333650,2050946.55,,,,,,,,
2013-07-01,6.098,6.195,6.002,6.05,202700,1226335.0,,,,,,,,
2013-07-02,6.05,6.147,6.05,6.147,149220,917255.34,,,,,,,,
2013-07-03,6.098,6.195,6.05,6.098,188220,1147765.56,,,,,,,,
2013-07-04,6.098,6.195,6.098,6.098,196440,1197891.12,,,,,,,,
2013-07-05,6.098,6.147,6.05,6.098,217050,1323570.9,,,,,,,,
2013-07-08,6.098,6.098,5.953,5.953,199980,1190480.94,,,,,,,,
2013-07-09,6.002,6.002,5.953,5.953,105230,626434.1900000001,,,,,,,,
2013-07-10,6.002,6.05,5.856,5.856,205060,1200831.36,,,,,,,,
2013-07-11,5.856,5.905,5.76,5.76,273790,1577030.4,,,,,,,,
2013-07-12,5.76,5.953,5.76,5.856,194040,1136298.24,,,,,,,,
2013-07-15,5.905,6.05,5.905,6.002,267370,1604754.74,,,,,,,,
2013-07-16,5.953,6.05,5.905,5.953,94400,561963.2000000001,,,,,,,,
2013-07-17,5.953,5.953,5.856,5.856,209240,1225309.44,,,,,,,,
2013-07-18,5.808,5.905,5.76,5.808,91700,532593.6,,,,,,,,
2013-07-19,5.856,5.856,5.808,5.808,135160,785009.28,,,,,,,,
2013-07-22,5.76,5.808,5.711,5.711,136260,778180.86,,,,,,,,
2013-07-23,5.711,5.808,5.663,5.663,141880,803466.4400000001,,,,,,,,
2013-07-24,5.808,5.856,5.711,5.808,227000,1318416.0,,,,,,,,
2013-07-25,5.808,5.808,5.518,5.518,198360,1094550.48,,,,,,,,
2013-07-26,5.518,5.566,5.227,5.227,398540,2083168.58,,,,,,,,
2013-07-29,5.276,5.276,4.985,4.985,319090,1590663.65,,,,,,,,
2013-07-30,4.985,5.082,4.937,4.985,292330,1457265.05,,,,,,,,
2013-07-31,4.937,4.985,4.743,4.792,356570,1708683.44,,,,,,,,
2013-08-01,4.743,5.082,4.743,5.082,429570,2183074.74,,,,,,,,
2013-08-02,5.179,5.324,4.985,4.985,192300,958615.5,,,,,,,,
2013-08-05,4.985,5.324,4.985,5.227,411390,2150335.5300000003,,,,,,,,
2013-08-06,5.179,5.324,5.13,5.276,154640,815880.64,,,,,,,,
2013-08-07,5.276,5.276,5.13,5.227,152770,798528.79,,,,,,,,
2013-08-08,5.179,5.421,5.179,5.227,254270,1329069.29,,,,,,,,
2013-08-09,5.227,5.227,5.13,5.13,110140,565018.2,,,,,,,,
2013-08-12,5.082,5.13,4.985,5.082,131850,670061.7,,,,,,,,
2013-08-13,5.034,5.082,4.888,4.985,313750,1564043.75,,,,,,,,
2013-08-14,4.937,5.034,4.888,4.985,180930,901936.05,,,,,,,,
2013-08-15,4.985,5.082,4.888,4.985,189690,945604.65,,,,,,,,
2013-08-16,4.985,5.179,4.985,5.082,253500,1288287.0,,,,,,,,
2013-08-19,5.082,5.179,5.034,5.13,242690,1244999.7,,,,,,,,
2013-08-20,5.179,5.227,5.034,5.13,171610,880359.2999999999,,,,,,,,
2013-08-21,5.13,5.13,5.034,5.082,225680,1146905.76,,,,,,,,
2013-08-22,5.082,5.13,4.937,4.937,180220,889746.14,,,,,,,,
2013-08-23,4.985,5.034,4.937,5.034,261370,1315736.5799999998,,,,,,,,
2013-08-26,5.034,5.034,4.937,5.034,129180,650292.12,,,,,,,,
2013-08-27,5.034,5.034,4.937,4.937,47520,234606.24,,,,,,,,
2013-08-28,4.937,4.937,4.792,4.937,310700,1533925.9,,,,,,,,
2013-08-29,4.937,4.985,4.792,4.84,115700,559988.0,,,,,,,,
2013-08-30,4.84,4.888,4.743,4.84,109620,530560.7999999999,,,,,,,,
