time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-01-18,21.32,21.32,18.6,19.55,318650,6229607.5,,,,,,,,
2010-01-19,19.55,19.6,18.6,18.6,59540,1107444.0,,,,,,,,
2010-01-20,18.82,18.82,17.69,17.69,127610,2257420.9000000004,,,,,,,,
2010-01-21,16.92,17.69,16.83,16.83,62170,1046321.1,,,,,,,,
2010-01-22,16.83,16.83,16.01,16.01,77630,1242856.3,,,,,,,,
2010-01-25,16.01,16.78,15.88,16.56,32210,533397.6,,,,,,,,
2010-01-26,17.01,17.37,17.01,17.37,69060,1199572.2,,,,,,,,
2010-01-27,17.37,17.46,16.78,17.01,34300,583443.0,,,,,,,,
2010-01-28,17.33,17.33,16.65,17.24,29910,515648.4,,,,,,,,
2010-01-29,17.19,17.24,16.74,17.19,27590,474272.1,,,,,,,,
2010-02-01,17.19,17.42,16.83,17.19,44890,771659.1000000001,,,,,,,,
2010-02-02,17.19,17.24,16.83,17.01,31840,541598.4,,,,,,,,
2010-02-03,16.78,17.01,16.6,16.65,50720,844487.9999999999,,,,,,,,
2010-02-04,16.6,17.06,16.6,16.78,43180,724560.4,,,,,,,,
2010-02-05,16.38,16.74,16.1,16.1,60150,968415.0,,,,,,,,
2010-02-08,16.87,16.87,15.88,16.87,122400,2064888.0,,,,,,,,
2010-02-09,17.19,17.19,16.87,16.92,40510,685429.2000000001,,,,,,,,
2010-02-10,17.37,17.37,17.19,17.19,14420,247879.8,,,,,,,,
2010-02-11,17.19,17.19,16.42,17.06,37650,642309.0,,,,,,,,
2010-02-12,16.33,16.56,16.24,16.28,86340,1405615.2000000002,,,,,,,,
2010-02-22,15.88,16.33,15.88,15.97,13270,211921.9,,,,,,,,
2010-02-23,15.38,15.51,15.24,15.38,24250,372965.0,,,,,,,,
2010-02-24,15.38,15.38,15.06,15.38,4430,68133.40000000001,,,,,,,,
2010-02-25,15.74,15.74,15.11,15.38,79090,1216404.2,,,,,,,,
2010-02-26,15.38,15.38,15.29,15.38,54340,835749.2000000001,,,,,,,,
2010-03-01,15.38,15.38,15.2,15.24,125950,1919478.0,,,,,,,,
2010-03-02,15.97,15.97,15.92,15.97,103050,1645708.5,,,,,,,,
2010-03-03,15.97,16.74,15.97,16.69,117460,1960407.4,,,,,,,,
2010-03-04,17.24,17.24,16.78,17.01,205800,3500658.0000000005,,,,,,,,
2010-03-05,16.87,17.42,16.83,17.42,156750,2730585.0000000005,,,,,,,,
2010-03-08,17.69,17.69,17.24,17.24,66420,1145080.7999999998,,,,,,,,
2010-03-09,16.83,17.46,16.83,17.37,146390,2542794.3000000003,,,,,,,,
2010-03-10,17.84,17.84,16.86,17.14,37410,641207.4,,,,,,,,
2010-03-11,17.14,17.23,16.81,16.86,103310,1741806.6,,,,,,,,
2010-03-12,17.14,17.14,16.72,16.86,76930,1297039.8,,,,,,,,
2010-03-15,16.86,17.7,16.86,17.42,92320,1608214.4,,,,,,,,
2010-03-16,16.67,17.42,16.67,16.67,44700,745149.0000000001,,,,,,,,
2010-03-17,16.67,16.77,16.4,16.53,29690,490775.7,,,,,,,,
2010-03-18,16.53,16.77,16.4,16.53,129450,2139808.5,,,,,,,,
2010-03-19,16.49,16.53,16.49,16.49,40620,669823.7999999999,,,,,,,,
2010-03-22,16.49,16.77,16.49,16.49,40800,672791.9999999999,,,,,,,,
