time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-11-01,8.009,8.009,8.009,8.009,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-11-02,8.009,8.009,8.009,8.009,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-11-05,8.009,8.009,8.009,8.009,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-11-06,11.203,11.203,11.203,11.203,100,1120.3,0.0,0.0,0.0,0.0,,0,0,0
2018-11-07,12.875,12.875,12.875,12.875,500,6437.5,0.0,0.0,0.0,0.0,,0,0,0
2018-11-08,14.802,14.802,14.802,14.802,100,1480.2,0.0,0.0,0.0,0.0,,0,0,0
2018-11-09,16.981,16.981,16.981,16.981,300,5094.3,0.0,0.0,0.0,0.0,,0,0,0
2018-11-12,19.516,19.516,19.516,19.516,100,1951.6,0.0,0.0,0.0,0.0,,0,0,0
2018-11-13,16.627,19.516,16.627,16.627,1600,26603.2,0.0,0.0,0.0,0.0,,0,0,0
2018-11-14,14.345,16.728,14.345,16.728,5100,85312.8,0.0,0.0,0.0,0.0,,0,0,0
2018-11-15,14.193,17.235,14.193,15.258,6700,102228.6,0.0,0.0,0.0,0.0,,0,0,0
2018-11-16,14.244,16.728,14.244,16.728,1400,23419.2,0.0,0.0,0.0,0.0,,0,0,0
2018-11-19,14.65,14.65,14.65,14.65,100,1465.0,0.0,0.0,0.0,0.0,,0,0,0
2018-11-20,12.47,12.47,12.47,12.47,1000,12470.0,0.0,0.0,0.0,0.0,,0,0,0
2018-11-21,14.295,14.295,14.295,14.295,100,1429.5,0.0,0.0,0.0,0.0,,0,0,0
2018-11-22,12.216,16.424,12.216,16.424,11848,194591.552,0.0,0.0,0.0,0.0,,0,0,0
2018-11-23,16.17,16.17,12.723,12.723,1500,19084.5,0.0,0.0,0.0,0.0,,0,0,0
2018-11-26,13.889,13.889,13.889,13.889,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-11-27,12.166,12.166,12.166,12.166,100,1216.6,0.0,0.0,0.0,0.0,,0,0,0
2018-11-28,12.166,12.166,12.166,12.166,35,425.81,0.0,0.0,0.0,0.0,,0,0,0
2018-11-29,12.166,12.166,12.166,12.166,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-11-30,13.991,13.991,13.991,13.991,100,1399.1,0.0,0.0,0.0,0.0,,0,0,0
2018-12-03,16.069,16.069,16.069,16.069,2800,44993.2,0.0,0.0,0.0,0.0,,0,0,0
2018-12-04,13.687,18.451,13.687,18.249,8948,163292.052,0.0,0.0,0.0,0.0,,0,0,0
2018-12-05,15.511,15.511,15.511,15.511,100,1551.1,0.0,0.0,0.0,0.0,,0,0,0
2018-12-06,15.258,17.792,13.534,15.765,1400,22071.0,0.0,0.0,0.0,0.0,,0,0,0
2018-12-07,18.705,18.705,16.322,18.705,4200,78561.0,0.0,0.0,0.0,0.0,,0,0,0
2018-12-10,15.765,15.765,15.765,15.765,1010,15922.65,0.0,0.0,0.0,0.0,,0,0,0
2018-12-11,14.295,14.295,14.295,14.295,100,1429.5,0.0,0.0,0.0,0.0,,0,0,0
2018-12-12,14.295,14.295,14.295,14.295,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-12-13,14.295,14.295,14.295,14.295,3,42.885,0.0,0.0,0.0,0.0,,0,0,0
2018-12-14,15.714,16.424,13.585,13.585,2400,32604.000000000004,0.0,0.0,0.0,0.0,,0,0,0
2018-12-17,15.207,15.207,15.207,15.207,0,0.0,0.0,0.0,0.0,0.0,,0,0,0
2018-12-18,15.207,15.207,15.207,15.207,10,152.07,0.0,0.0,0.0,0.0,,0,0,0
2018-12-19,17.488,17.488,15.461,15.461,700,10822.7,0.0,0.0,0.0,0.0,,0,0,0
