time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-12-10,67.508,67.508,62.686,67.508,27500,1856470.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2018-12-11,77.328,77.328,77.328,77.328,15251,1179329.328,100.0,0.0,20000.0,0.0,,1.05,0.02,0.0
2018-12-12,78.906,83.289,77.152,77.152,2353,181538.656,100.0,0.0,20000.0,0.0,,1.05,0.02,0.0
2018-12-13,69.7,71.454,68.823,69.262,11384,788478.608,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2018-12-14,69.13,69.13,60.714,61.941,7892,488838.372,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2018-12-17,61.371,61.941,60.407,60.407,5749,347279.843,700.0,0.0,100000.0,0.0,,1.05,0.1,0.0
2018-12-18,62.116,62.248,61.371,61.371,560,34367.76,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2018-12-19,61.853,63.519,60.757,63.519,2000,127038.0,1300.0,0.0,180000.0,0.0,,1.05,0.18,0.0
2018-12-20,65.755,65.755,63.563,63.563,200,12712.6,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2018-12-21,61.634,61.634,61.371,61.415,2705,166127.575,500.0,0.0,70000.0,0.0,,1.05,0.07,0.0
2018-12-24,61.371,61.81,61.371,61.371,1835,112615.785,500.0,0.0,70000.0,0.0,,1.05,0.07,0.0
2018-12-25,61.371,61.371,60.056,61.371,3600,220935.6,600.0,0.0,80000.0,0.0,,1.05,0.08,0.0
2018-12-26,70.314,70.314,61.152,61.371,710,43573.41,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2018-12-27,62.686,62.686,62.686,62.686,100,6268.6,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2018-12-28,60.188,60.188,60.188,60.188,200,12037.6,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-02,60.494,60.494,60.494,60.494,710,42950.74,500.0,0.0,70000.0,0.0,,1.05,0.07,0.0
2019-01-03,60.494,60.494,60.494,60.494,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-04,60.494,60.494,60.494,60.494,110,6654.34,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-01-07,60.933,61.371,60.714,61.371,943,57872.853,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-08,60.933,60.977,60.933,60.933,2703,164701.899,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-09,61.371,61.371,60.933,61.371,2000,122742.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-10,61.371,61.371,61.196,61.371,816,50078.736,600.0,0.0,80000.0,0.0,,1.05,0.08,0.0
2019-01-11,65.711,65.711,64.44,64.44,2837,182816.28,200.0,0.0,30000.0,0.0,,1.05,0.03,0.0
2019-01-14,63.485,67.929,62.125,62.125,800,49700.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-15,65.481,65.481,65.299,65.299,800,52239.2,200.0,0.0,30000.0,0.0,,1.05,0.03,0.0
2019-01-16,67.521,67.521,67.521,67.521,328,22146.888,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-17,58.134,65.208,58.134,65.208,958,62469.264,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-18,65.526,65.526,63.893,63.893,500,31946.5,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-01-21,63.485,63.485,63.485,63.485,140,8887.9,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-22,61.218,61.218,61.173,61.173,605,37009.665,300.0,0.0,40000.0,0.0,,1.05,0.04,0.0
2019-01-23,63.803,63.803,58.951,59.631,628,37448.268,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-24,60.311,60.311,59.903,59.903,1500,89854.5,400.0,0.0,50000.0,0.0,,1.05,0.05,0.0
2019-01-25,61.218,61.218,61.218,61.218,800,48974.4,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-28,61.218,61.218,61.218,61.218,100,6121.8,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-29,61.218,61.218,61.218,61.218,1240,75910.32,200.0,0.0,30000.0,0.0,,1.05,0.03,0.0
2019-01-30,61.218,61.218,61.218,61.218,100,6121.8,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-01-31,70.151,70.151,70.151,70.151,613,43002.563,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-02-01,70.151,70.151,70.151,70.151,110,7716.61,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-02-11,69.788,70.151,62.125,69.38,3275,227219.5,2570.0,0.0,380000.0,0.0,,1.05,0.38,0.0
2019-02-12,63.485,65.299,62.578,62.578,700,43804.6,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-02-13,62.17,62.17,62.125,62.125,200,12425.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-02-14,62.125,63.485,62.125,63.485,1100,69833.5,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-02-15,62.125,62.125,62.125,62.125,800,49700.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-02-18,62.125,62.125,61.218,61.218,462,28282.716,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-02-19,63.485,63.485,61.898,61.898,1108,68582.984,900.0,0.0,130000.0,0.0,,1.05,0.13,0.0
2019-02-20,63.032,63.032,62.125,62.125,1300,80762.5,400.0,0.0,60000.0,0.0,,1.05,0.06,0.0
2019-02-21,65.299,65.299,63.032,63.032,1300,81941.59999999999,900.0,0.0,130000.0,0.0,,1.05,0.13,0.0
2019-02-22,63.485,63.485,63.032,63.032,4000,252128.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-02-25,62.896,63.032,62.896,63.032,1300,81941.59999999999,1300.0,0.0,180000.0,0.0,,1.05,0.18,0.0
2019-02-26,61.263,61.263,61.263,61.263,101,6187.563,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-02-27,61.626,61.671,60.764,60.764,4713,286380.732,200.0,0.0,30000.0,0.0,,1.05,0.03,0.0
2019-02-28,60.311,60.311,58.951,59.132,750,44349.0,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-03-01,63.485,63.485,59.223,59.223,410,24281.43,100.0,300.0,10000.0,40000.0,,1.05,0.01,0.04
2019-03-04,63.349,63.349,63.349,63.349,300,19004.7,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-05,59.54,62.896,59.54,62.805,610,38311.05,200.0,0.0,30000.0,0.0,,1.05,0.03,0.0
2019-03-06,62.125,62.578,59.631,62.578,1574,98497.772,1000.0,0.0,130000.0,0.0,,1.05,0.13,0.0
2019-03-07,59.858,60.356,59.858,60.311,1390,83832.29,200.0,0.0,30000.0,0.0,,1.05,0.03,0.0
2019-03-08,59.858,60.084,59.858,60.039,500,30019.5,300.0,0.0,40000.0,0.0,,1.05,0.04,0.0
2019-03-11,59.404,59.404,58.951,59.041,500,29520.5,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-03-12,60.719,60.719,59.404,59.812,700,41868.4,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-13,60.719,60.719,60.13,60.13,500,30065.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-14,60.402,60.402,59.177,59.177,1500,88765.5,400.0,0.0,50000.0,0.0,,1.05,0.05,0.0
2019-03-15,62.85,62.85,59.404,59.404,500,29702.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-18,59.404,59.404,59.404,59.404,200,11880.8,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-19,59.223,59.812,59.177,59.812,500,29906.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-20,59.585,59.585,59.177,59.177,426,25209.402,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-21,64.846,64.846,59.404,59.404,301,17880.604,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-22,61.218,61.218,61.218,61.218,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-25,59.087,63.395,59.087,63.395,500,31697.5,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-26,59.087,59.087,59.087,59.087,100,5908.700000000001,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-27,61.626,61.626,58.497,58.497,900,52647.3,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-03-28,67.884,67.884,67.884,67.884,400,27153.6,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-03-29,67.884,67.884,67.884,67.884,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-04-01,57.726,60.719,57.726,60.719,500,30359.5,0.0,100.0,0.0,10000.0,,1.05,0.0,0.01
2019-04-02,61.127,61.127,58.542,60.901,3610,219852.61,0.0,2000.0,0.0,260000.0,,1.05,0.0,0.26
2019-04-03,58.361,59.676,58.316,59.676,2400,143222.4,0.0,1200.0,0.0,160000.0,,1.05,0.0,0.16
2019-04-04,61.581,61.581,61.581,61.581,400,24632.4,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-04-05,60.764,60.764,58.361,58.361,1300,75869.3,100.0,1200.0,10000.0,160000.0,,1.05,0.01,0.16
2019-04-08,58.089,59.767,56.321,59.767,1710,102201.57,0.0,1200.0,0.0,150000.0,,1.05,0.0,0.15
2019-04-09,59.812,59.812,54.869,54.915,4470,245470.05,0.0,1770.0,0.0,220000.0,,1.05,0.0,0.22
2019-04-10,55.323,55.323,54.915,55.323,4400,243421.2,1100.0,0.0,130000.0,0.0,,1.05,0.13,0.0
2019-04-11,55.323,56.593,54.915,56.593,500,28296.5,200.0,0.0,20000.0,0.0,,1.05,0.02,0.0
2019-04-12,55.731,55.776,55.731,55.776,1300,72508.8,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-04-16,57.998,57.998,55.232,55.232,260,14360.32,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-04-17,57.998,57.998,57.137,57.137,3190,182267.03,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-04-18,57.137,57.137,57.137,57.137,100,5713.7,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-04-19,63.395,63.395,63.395,63.395,100,6339.5,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-04-22,53.917,60.991,53.917,57.137,2900,165697.3,1000.0,100.0,130000.0,10000.0,,1.05,0.13,0.01
2019-04-23,57.545,58.044,57.545,58.044,2100,121892.4,1900.0,0.0,240000.0,0.0,,1.05,0.24,0.0
2019-04-24,56.683,56.683,56.683,56.683,9500,538488.5,6300.0,0.0,790000.0,0.0,,1.05,0.79,0.0
2019-04-25,58.044,61.037,56.683,61.037,4500,274666.5,200.0,0.0,30000.0,0.0,,1.05,0.03,0.0
2019-04-26,60.447,61.218,58.951,59.858,3700,221474.6,100.0,600.0,10000.0,80000.0,,1.05,0.01,0.08
2019-05-02,60.764,63.395,60.764,62.125,7011,435558.375,100.0,100.0,10000.0,10000.0,,1.05,0.01,0.01
2019-05-03,62.125,63.122,62.125,63.077,7200,454154.4,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-05-06,64.165,64.347,63.44,63.621,3200,203587.2,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-07,63.485,63.485,61.399,61.399,1943,119298.257,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-08,63.576,63.576,62.805,63.032,2167,136590.34399999998,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-09,64.973,64.973,64.973,64.973,1003,65167.919,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-10,60.209,63.481,60.209,63.481,2830,179651.23,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-13,62.567,63.289,60.449,60.449,1602,96839.298,400.0,0.0,50000.0,0.0,,1.05,0.05,0.0
2019-05-14,63.0,63.0,60.209,60.209,2500,150522.5,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-15,61.123,62.086,60.209,60.257,3872,233315.104,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-16,61.171,61.171,61.171,61.171,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-17,59.968,60.161,59.487,60.161,2400,144386.4,1000.0,0.0,120000.0,0.0,,1.05,0.12,0.0
2019-05-20,60.161,61.604,60.161,61.604,2915,179575.66,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-21,60.449,60.449,60.449,60.449,230,13903.27,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-22,60.882,60.882,60.257,60.257,808,48687.656,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-23,60.257,61.123,60.209,61.123,2500,152807.5,200.0,0.0,30000.0,0.0,,1.05,0.03,0.0
2019-05-24,61.46,61.46,61.46,61.46,300,18438.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-27,69.786,69.786,61.46,61.46,1610,98950.6,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-28,61.46,62.038,61.46,62.038,7000,434266.0,7000.0,0.0,900000.0,0.0,,1.05,0.9,0.0
2019-05-29,61.989,61.989,61.989,61.989,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-05-30,61.845,62.567,61.845,62.519,2614,163424.666,2400.0,0.0,310000.0,0.0,,1.05,0.31,0.0
2019-05-31,69.305,69.305,61.604,61.604,3100,190972.4,2900.0,0.0,370000.0,0.0,,1.05,0.37,0.0
2019-06-03,62.808,62.808,61.604,61.604,3600,221774.4,3000.0,0.0,380000.0,0.0,,1.05,0.38,0.0
2019-06-04,69.064,69.064,69.064,69.064,104,7182.655999999999,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-06-05,58.717,61.604,58.717,61.604,430,26489.72,300.0,100.0,40000.0,10000.0,,1.05,0.04,0.01
2019-06-06,61.604,69.786,61.604,61.604,2600,160170.4,1500.0,0.0,200000.0,0.0,,1.05,0.2,0.0
2019-06-07,62.663,62.663,62.663,62.663,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-06-10,62.567,62.567,62.567,62.567,1108,69324.236,900.0,0.0,120000.0,0.0,,1.05,0.12,0.0
2019-06-11,66.85,66.85,62.567,62.567,700,43796.9,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-06-12,67.332,67.332,62.567,62.567,1500,93850.5,600.0,0.0,80000.0,0.0,,1.05,0.08,0.0
2019-06-13,62.567,62.567,62.567,62.567,505,31596.335,500.0,0.0,60000.0,0.0,,1.05,0.06,0.0
2019-06-14,62.567,62.567,62.567,62.567,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-06-17,61.701,61.701,61.604,61.604,1000,61604.0,1000.0,0.0,130000.0,0.0,,1.05,0.13,0.0
2019-06-18,69.305,69.305,61.653,61.653,415,25585.995,200.0,0.0,30000.0,0.0,,1.05,0.03,0.0
2019-06-19,62.567,62.567,61.749,62.567,500,31283.5,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-06-20,62.567,71.134,61.749,61.749,500,30874.5,400.0,0.0,50000.0,0.0,,1.05,0.05,0.0
2019-06-21,64.107,64.107,64.107,64.107,30,1923.21,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-06-24,73.637,73.637,73.637,73.637,100,7363.7,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-06-25,62.615,62.856,62.615,62.615,1650,103314.75,200.0,100.0,30000.0,10000.0,,1.05,0.03,0.01
2019-06-26,62.615,62.615,62.615,62.615,910,56979.65,900.0,0.0,120000.0,0.0,,1.05,0.12,0.0
2019-06-27,62.615,62.615,62.615,62.615,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-06-28,62.615,62.615,62.615,62.615,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-07-01,69.69,69.69,61.653,61.653,1210,74600.13,1000.0,0.0,130000.0,0.0,,1.05,0.13,0.0
2019-07-02,67.38,67.38,67.38,67.38,135,9096.3,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-07-03,57.273,61.604,57.273,61.604,500,30802.0,400.0,100.0,50000.0,10000.0,,1.05,0.05,0.01
2019-07-04,67.38,67.38,61.604,61.604,6828,420632.112,6700.0,0.0,860000.0,0.0,,1.05,0.86,0.0
2019-07-05,61.701,61.701,61.701,61.701,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-07-08,61.701,62.567,61.701,62.567,1100,68823.7,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-07-09,62.567,62.567,62.567,62.567,1128,70575.576,900.0,0.0,120000.0,0.0,,1.05,0.12,0.0
2019-07-10,62.615,62.615,62.567,62.567,940,58812.98,200.0,0.0,30000.0,0.0,,1.05,0.03,0.0
2019-07-11,62.567,62.567,62.567,62.567,320,20021.44,300.0,0.0,40000.0,0.0,,1.05,0.04,0.0
2019-07-12,53.182,62.663,53.182,62.567,700,43796.9,0.0,100.0,0.0,10000.0,,1.05,0.0,0.01
2019-07-15,61.268,62.567,61.268,62.567,1900,118877.3,1000.0,0.0,130000.0,0.0,,1.05,0.13,0.0
2019-07-16,61.604,61.604,61.604,61.604,700,43122.8,700.0,0.0,90000.0,0.0,,1.05,0.09,0.0
2019-07-17,61.604,61.604,61.604,61.604,410,25257.64,400.0,0.0,50000.0,0.0,,1.05,0.05,0.0
2019-07-18,61.604,61.604,61.604,61.604,400,24641.6,400.0,0.0,50000.0,0.0,,1.05,0.05,0.0
2019-07-19,61.604,61.604,61.604,61.604,30,1848.12,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-07-22,70.653,70.653,61.604,61.604,214,13183.256,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-07-23,66.128,66.128,66.128,66.128,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-07-24,56.214,61.604,56.214,61.604,200,12320.8,100.0,100.0,10000.0,10000.0,,1.05,0.01,0.01
2019-07-25,62.567,62.567,62.567,62.567,100,6256.7,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-07-26,61.604,61.604,61.604,61.604,300,18481.2,300.0,0.0,40000.0,0.0,,1.05,0.04,0.0
2019-07-29,61.604,61.604,61.604,61.604,400,24641.6,400.0,0.0,50000.0,0.0,,1.05,0.05,0.0
2019-07-30,61.604,61.604,61.604,61.604,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-07-31,62.567,62.567,61.653,61.653,600,36991.8,400.0,0.0,50000.0,0.0,,1.05,0.05,0.0
2019-08-01,64.973,68.342,64.973,65.455,8650,566185.75,0.0,400.0,0.0,50000.0,,1.05,0.0,0.05
2019-08-02,64.011,64.011,64.011,64.011,200,12802.2,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-05,66.417,66.417,66.417,66.417,400,26566.8,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-06,69.112,69.112,69.112,69.112,100,6911.2,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-07,66.899,67.38,66.899,66.899,1035,69240.465,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-08,67.139,67.38,66.417,67.38,1906,128426.27999999998,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-09,67.38,67.38,66.899,66.899,2610,174606.39,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-12,66.899,66.899,65.936,65.936,5700,375835.2,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-13,67.765,67.765,65.695,66.85,1000,66850.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-14,69.785,69.785,64.804,64.804,1310,84893.24,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-15,67.45,67.45,64.337,64.337,3739,240556.043,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-08-16,66.932,66.932,66.932,66.932,800,53545.6,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-19,66.932,66.932,66.932,66.932,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-20,66.932,66.932,66.932,66.932,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-21,64.078,66.672,63.3,66.672,1400,93340.8,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-22,64.856,64.856,64.856,64.856,100,6485.599999999999,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-23,64.856,64.856,64.856,64.856,0,0.0,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-26,63.818,74.507,63.611,63.611,500,31805.5,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-27,75.752,75.752,70.045,70.045,235,16460.575,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-28,67.45,67.45,64.856,64.856,604,39173.024,0.0,0.0,0.0,0.0,,1.05,0.0,0.0
2019-08-29,66.413,66.413,66.413,66.413,100,6641.299999999999,100.0,0.0,10000.0,0.0,,1.05,0.01,0.0
2019-08-30,70.045,70.045,64.856,67.45,1700,114665.0,1000.0,0.0,130000.0,0.0,,1.05,0.13,0.0
