time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2018-04-26,33.113,33.113,30.905,33.113,948210,31398077.73,,,,,
2018-04-27,35.431,35.431,33.885,35.431,2520730,89311984.63,,,,,
2018-05-02,37.086,37.086,36.755,37.086,657340,24378111.24,,,,,
2018-05-03,34.503,36.976,34.503,34.658,261780,9072771.24,,,,,
2018-05-04,32.45,33.996,32.45,32.892,57020,1875501.84,,,,,
2018-05-07,34.172,34.172,30.949,33.554,67180,2254157.72,,,,,
2018-05-08,34.216,34.216,32.892,33.113,59090,1956647.17,,,,,
2018-05-09,33.113,33.885,32.892,33.642,96890,3259573.3800000004,,,,,
2018-05-10,33.996,34.172,33.665,34.172,89910,3072404.52,,,,,
2018-05-11,34.437,34.548,33.797,33.797,23700,800988.8999999999,,,,,
2018-05-14,33.797,35.21,33.223,33.223,40720,1352840.56,,,,,
2018-05-15,34.216,35.298,33.333,34.658,82190,2848541.02,,,,,
2018-05-16,35.32,35.32,34.658,34.658,113000,3916354.0,,,,,
2018-05-17,35.32,35.32,34.879,35.21,40650,1431286.5,,,,,
2018-05-18,35.21,35.32,34.923,35.21,35230,1240448.3,,,,,
2018-05-21,35.298,35.298,34.437,34.459,58530,2016885.2700000005,,,,,
2018-05-22,35.32,35.982,34.459,34.459,188830,6506892.970000001,,,,,
2018-05-23,34.106,35.32,34.106,34.658,148490,5146366.42,,,,,
2018-05-24,37.08,37.08,34.903,35.128,186210,6541184.88,,,,,
2018-05-25,35.128,35.316,35.128,35.128,185010,6499031.28,,,,,
2018-05-28,35.128,35.128,33.965,34.265,31840,1090997.6,,,,,
2018-05-29,34.528,34.528,32.651,34.152,48230,1647150.96,,,,,
2018-05-30,34.152,34.152,32.651,32.651,89010,2906265.51,,,,,
2018-05-31,32.651,33.965,32.651,33.927,30530,1035791.31,,,,,
2018-06-01,33.927,33.927,33.589,33.89,37140,1258674.6,,,,,
2018-06-04,33.89,33.89,33.214,33.402,36140,1207148.28,,,,,
2018-06-05,33.402,33.777,33.402,33.439,41780,1397081.42,,,,,
2018-06-06,33.439,33.514,33.402,33.514,14560,487963.84,,,,,
2018-06-07,33.777,34.152,33.514,33.777,120650,4075195.05,,,,,
2018-06-08,33.777,33.777,33.402,33.739,31310,1056368.09,,,,,
2018-06-11,33.777,33.777,33.702,33.777,43460,1467948.4200000002,,,,,
2018-06-12,33.814,33.814,33.026,33.402,31120,1039470.24,,,,,
2018-06-13,33.214,34.04,33.214,33.777,92830,3135518.91,,,,,
2018-06-14,34.152,34.152,32.651,32.651,18400,600778.4,,,,,
2018-06-15,33.402,33.402,32.689,32.689,1690,55244.41,,,,,
2018-06-18,32.576,32.689,30.812,32.689,10520,343888.28,,,,,
2018-06-19,32.276,32.276,30.437,30.437,59070,1797913.59,,,,,
2018-06-20,28.335,30.962,28.335,30.962,44480,1377189.76,,,,,
2018-06-21,31.337,31.337,29.986,30.024,65370,1962668.88,,,,,
2018-06-22,27.96,30.399,27.96,29.649,20150,597427.35,,,,,
2018-06-25,29.273,30.324,29.086,29.724,51350,1526327.4,,,,,
2018-06-26,29.986,29.986,28.147,29.649,27380,811789.62,,,,,
2018-06-27,29.273,30.399,29.273,30.212,88550,2675272.6,,,,,
2018-06-28,30.212,31.15,30.024,30.212,109760,3316069.12,,,,,
2018-06-29,30.212,31.15,29.836,30.399,54370,1652793.63,,,,,
2018-07-02,30.587,30.587,28.523,29.273,10350,302975.55,,,,,
2018-07-03,30.024,30.024,29.086,29.273,16480,482419.04,,,,,
2018-07-04,27.247,29.273,27.247,29.273,23410,685280.9299999999,,,,,
2018-07-05,28.147,28.898,27.772,27.772,680,18884.96,,,,,
2018-07-06,27.022,27.022,26.271,27.022,7600,205367.2,,,,,
2018-07-09,25.183,27.397,25.183,25.896,1500,38844.0,,,,,
2018-07-10,26.646,26.646,26.571,26.646,62420,1663243.32,,,,,
2018-07-11,26.834,27.397,26.646,27.397,44430,1217248.71,,,,,
2018-07-12,27.022,27.697,27.022,27.397,21480,588487.5599999999,,,,,
2018-07-13,27.772,29.273,27.397,29.273,13610,398405.53,,,,,
2018-07-16,29.311,29.311,28.147,29.273,940,27516.62,,,,,
2018-07-17,28.147,28.147,28.147,28.147,750,21110.25,,,,,
2018-07-18,26.308,28.898,26.308,28.898,7960,230028.08,,,,,
2018-07-19,28.898,29.574,27.022,27.022,23540,636097.88,,,,,
2018-07-20,27.209,27.772,27.209,27.772,10370,287995.64,,,,,
2018-07-23,27.772,28.147,27.772,27.772,14610,405748.92,,,,,
2018-07-24,27.322,27.584,27.322,27.584,4080,112542.72,,,,,
2018-07-25,27.584,27.772,27.584,27.584,5600,154470.4,,,,,
2018-07-26,27.772,27.772,27.397,27.772,9830,272998.76,,,,,
2018-07-27,26.271,29.273,26.271,27.735,25420,705023.7,,,,,
2018-07-30,27.735,29.273,27.735,28.147,25240,710430.2799999999,,,,,
2018-07-31,26.308,28.147,26.308,28.072,15950,447748.4,,,,,
2018-08-01,27.397,28.072,27.022,27.397,2430,66574.70999999999,,,,,
2018-08-02,27.772,27.772,27.022,27.022,1420,38371.24,,,,,
2018-08-03,27.359,27.359,26.571,26.571,5000,132855.0,,,,,
2018-08-06,26.384,26.646,24.807,26.646,37050,987234.3,,,,,
2018-08-07,25.896,27.697,25.52,26.646,23730,632309.5800000001,,,,,
2018-08-08,25.52,27.022,25.52,27.022,7530,203475.66,,,,,
2018-08-09,26.871,27.022,26.871,27.022,15530,419651.66,,,,,
2018-08-10,26.646,27.022,26.646,27.022,860,23238.92,,,,,
2018-08-13,27.022,27.172,27.022,27.059,8960,242448.64,,,,,
2018-08-14,27.022,27.097,27.022,27.059,4290,116083.11,,,,,
2018-08-15,28.861,28.861,27.397,27.772,18660,518225.52,,,,,
2018-08-16,28.147,28.523,27.434,27.772,6470,179684.84,,,,,
2018-08-17,26.346,27.772,26.346,27.772,9180,254946.96,,,,,
2018-08-20,26.721,27.622,26.721,27.622,260,7181.72,,,,,
2018-08-21,27.622,28.523,26.646,28.523,28170,803492.91,,,,,
2018-08-22,27.772,28.898,27.022,28.898,17480,505137.04,,,,,
2018-08-23,28.898,28.898,27.397,28.898,27060,781979.88,,,,,
2018-08-24,27.772,28.71,27.772,27.772,4430,123029.96,,,,,
2018-08-27,28.147,28.147,27.997,28.035,21140,592659.9,,,,,
2018-08-28,28.035,28.147,27.772,28.147,24020,676090.94,,,,,
2018-08-29,30.024,30.024,28.035,28.485,23490,669112.65,,,,,
2018-08-30,28.485,28.523,27.772,28.523,47390,1351704.97,,,,,
2018-08-31,28.523,28.673,27.96,28.673,8680,248881.64,,,,,
2018-09-04,28.523,28.673,28.147,28.673,5360,153687.28,,,,,
2018-09-05,28.673,28.673,28.185,28.673,9090,260637.57,,,,,
2018-09-06,28.523,28.523,28.147,28.523,21550,614670.65,,,,,
2018-09-07,28.523,28.523,27.96,28.485,15540,442656.9,,,,,
2018-09-10,28.147,28.147,27.397,27.772,4200,116642.4,,,,,
2018-09-11,27.772,28.147,27.772,28.147,27520,774605.44,,,,,
2018-09-12,27.434,27.772,27.434,27.772,320,8887.039999999999,,,,,
2018-09-13,28.147,28.335,27.96,28.147,19000,534793.0,,,,,
2018-09-14,28.335,28.335,28.147,28.147,5580,157060.25999999998,,,,,
2018-09-17,28.147,28.147,28.147,28.147,10,281.47,,,,,
2018-09-18,28.147,28.147,27.434,27.997,14040,393077.88,,,,,
2018-09-19,27.059,28.335,27.059,27.96,9430,263662.8,,,,,
2018-09-20,27.922,28.147,27.922,27.997,4770,133545.69,,,,,
2018-09-21,28.11,28.298,27.997,28.147,22400,630492.7999999999,,,,,
2018-09-24,28.147,28.185,28.147,28.147,13710,385895.37,,,,,
2018-09-25,28.298,28.56,28.11,28.485,5320,151540.19999999998,,,,,
2018-09-26,28.485,28.485,28.147,28.147,430,12103.21,,,,,
2018-09-27,28.485,28.485,27.96,27.96,1740,48650.4,,,,,
2018-09-28,28.147,28.635,28.147,28.56,39560,1129833.6,,,,,
2018-10-01,29.236,29.236,28.147,28.523,7800,222479.4,,,,,
2018-10-02,28.523,28.523,27.96,28.485,5920,168631.19999999998,,,,,
2018-10-03,28.147,28.335,27.96,28.335,32660,925421.1,,,,,
2018-10-04,28.147,29.236,28.147,28.523,19150,546215.45,,,,,
2018-10-05,28.523,28.523,27.772,27.772,7160,198847.52,,,,,
2018-10-08,28.598,28.598,27.81,27.81,630,17520.3,,,,,
2018-10-09,27.772,28.147,27.772,28.147,6540,184081.38,,,,,
2018-10-10,28.448,28.448,26.534,28.373,9980,283162.54000000004,,,,,
2018-10-11,28.485,28.485,26.684,27.397,11320,310134.04,,,,,
2018-10-12,26.646,27.772,26.646,27.772,2920,81094.23999999999,,,,,
2018-10-15,27.022,27.097,26.909,26.909,2940,79112.45999999999,,,,,
2018-10-16,26.946,27.66,26.834,27.584,16370,451550.08,,,,,
2018-10-17,28.523,28.523,27.397,27.509,31600,869284.4,,,,,
2018-10-18,27.209,27.209,27.209,27.209,1700,46255.3,,,,,
2018-10-19,27.209,27.397,27.209,27.397,4710,129039.87,,,,,
2018-10-22,27.397,28.072,27.397,27.772,20620,572658.64,,,,,
2018-10-23,27.772,28.072,26.571,27.772,1910,53044.52,,,,,
2018-10-24,27.772,27.772,27.772,27.772,6900,191626.8,,,,,
2018-10-25,26.871,27.397,26.646,27.397,1360,37259.92,,,,,
2018-10-26,27.397,27.397,27.359,27.359,130,3556.67,,,,,
2018-10-29,27.397,27.397,25.933,26.384,11590,305790.56,,,,,
2018-10-30,26.121,26.984,24.582,25.52,30850,787292.0,,,,,
2018-10-31,24.695,27.284,24.695,27.284,33170,905010.28,,,,,
2018-11-01,26.496,27.622,26.496,27.622,2950,81484.9,,,,,
2018-11-02,27.472,27.472,26.308,26.646,1970,52492.62,,,,,
2018-11-05,26.646,26.646,26.646,26.646,730,19451.58,,,,,
2018-11-06,26.646,27.022,26.646,26.909,11200,301380.8,,,,,
2018-11-07,26.946,26.946,26.646,26.684,30990,826937.16,,,,,
2018-11-08,26.646,27.322,26.646,27.209,3790,103122.11,,,,,
2018-11-09,26.646,27.172,25.595,26.646,4830,128700.18,,,,,
2018-11-12,26.946,26.946,25.896,26.796,8770,235000.92,,,,,
2018-11-13,26.271,26.646,26.271,26.646,19010,506540.46,,,,,
2018-11-14,27.059,27.059,25.595,25.595,18230,466596.85,,,,,
2018-11-15,25.183,26.233,25.183,26.196,20250,530469.0,,,,,
2018-11-16,26.796,27.022,26.796,27.022,1000,27022.0,,,,,
2018-11-19,26.271,26.646,26.271,26.646,18530,493750.38,,,,,
2018-11-20,26.233,26.271,25.971,26.271,9690,254565.99,,,,,
2018-11-21,26.271,26.271,26.271,26.271,30,788.13,,,,,
2018-11-22,26.271,26.646,25.483,26.459,10340,273586.06,,,,,
2018-11-23,25.821,25.821,25.821,25.821,10,258.21000000000004,,,,,
2018-11-26,26.271,26.271,25.821,26.271,6050,158939.55000000002,,,,,
2018-11-27,26.083,26.271,25.858,26.271,17890,469988.19,,,,,
2018-11-28,26.946,27.059,25.896,27.059,55370,1498256.83,,,,,
2018-11-29,27.359,27.359,27.059,27.209,18120,493027.08,,,,,
2018-11-30,27.397,27.397,26.646,27.397,86220,2362169.34,,,,,
2018-12-03,28.523,28.523,27.397,28.335,36380,1030827.3,,,,,
2018-12-04,28.147,28.335,27.772,28.335,25450,721125.75,,,,,
2018-12-05,27.772,28.335,27.772,28.147,39510,1112087.97,,,,,
2018-12-06,27.772,28.298,27.772,28.298,15320,433525.36,,,,,
2018-12-07,28.147,28.335,28.147,28.335,22400,634704.0,,,,,
2018-12-10,28.335,28.335,26.384,28.298,130,3678.74,,,,,
2018-12-11,26.459,28.147,26.459,28.147,14890,419108.83,,,,,
2018-12-12,28.11,28.147,28.072,28.147,62170,1749898.99,,,,,
2018-12-13,28.147,28.147,28.147,28.147,26270,739421.69,,,,,
2018-12-14,28.035,28.147,27.772,28.147,15090,424738.23,,,,,
2018-12-17,28.147,28.147,27.022,28.147,23970,674683.59,,,,,
2018-12-18,28.147,28.147,26.871,28.11,24190,679980.9,,,,,
2018-12-19,27.022,27.96,27.022,27.96,34790,972728.4,,,,,
2018-12-20,26.008,27.772,26.008,27.772,92690,2574186.68,,,,,
2018-12-21,27.772,27.772,27.622,27.697,14310,396344.07,,,,,
2018-12-24,27.697,27.772,27.397,27.772,35760,993126.72,,,,,
2018-12-25,27.772,27.772,26.646,27.66,55860,1545087.6,,,,,
2018-12-26,27.735,27.772,26.871,27.772,56310,1563841.3199999998,,,,,
2018-12-27,27.96,28.335,27.772,28.335,131750,3733136.25,,,,,
2018-12-28,28.335,28.335,26.984,26.984,38810,1047249.04,,,,,
2019-01-02,28.147,28.147,25.52,26.871,590,15853.89,,,,,
2019-01-03,27.772,27.772,26.534,26.534,3810,101094.54,,,,,
2019-01-04,26.046,27.735,25.896,26.646,2590,69013.14,,,,,
2019-01-07,25.896,26.271,25.896,26.271,8280,217523.88,,,,,
