time,open,high,low,close,volume,value
21/07/2020 01:00,12.54,12.54,12.5,12.54,2660,33356.4
22/07/2020 01:00,13.41,13.41,13.41,13.41,90820,1217896.2
23/07/2020 01:00,14.34,14.34,12.5,12.5,25130,314125
24/07/2020 01:00,13.37,13.37,12,13.37,2840,37970.8
27/07/2020 01:00,12.44,12.44,12.44,12.44,2640,32841.6
28/07/2020 01:00,11.57,11.57,11.57,11.57,4870,56345.9
29/07/2020 01:00,10.77,10.77,10.77,10.77,1440,15508.8
30/07/2020 01:00,10.77,10.77,10.02,10.02,5930,59418.6
31/07/2020 01:00,9.32,9.6,9.32,9.6,31380,301248
03/08/2020 01:00,9.5,9.85,8.93,9.84,9510,93578.4
04/08/2020 01:00,9.9,9.98,9.9,9.98,2500,24950
05/08/2020 01:00,10,10.13,10,10.13,9980,101097.4
06/08/2020 01:00,10.2,10.25,9.59,10.1,7960,80396
07/08/2020 01:00,10.14,10.18,10,10.18,10230,104141.4
10/08/2020 01:00,10.22,10.28,10.18,10.28,4920,50577.6
11/08/2020 01:00,10,10.26,10,10.21,4620,47170.2
12/08/2020 01:00,10.22,10.25,10.22,10.25,2250,23062.5
13/08/2020 01:00,10.29,10.45,10,10.45,4480,46816
14/08/2020 01:00,10.38,10.38,10,10.32,5770,59546.4
17/08/2020 01:00,10,10.23,9.8,10.23,4130,42249.9
18/08/2020 01:00,10.25,10.25,10.25,10.25,2000,20500
19/08/2020 01:00,10.2,10.32,10.2,10.32,1780,18369.6
20/08/2020 01:00,10.32,10.33,10.32,10.32,3800,39216
21/08/2020 01:00,10.35,10.36,10.35,10.35,3510,36328.5
24/08/2020 01:00,10.35,10.35,10.35,10.35,6400,66240
25/08/2020 01:00,10.55,10.64,10.55,10.64,3060,32558.4
26/08/2020 01:00,10.64,10.85,10.55,10.85,3730,40470.5
27/08/2020 01:00,10.1,10.75,10.1,10.75,1290,13867.5
28/08/2020 01:00,10.7,10.7,10.6,10.6,3370,35722
31/08/2020 01:00,10.7,10.85,10.6,10.85,1110,12043.5
01/09/2020 01:00,10.65,10.75,10.45,10.75,1880,20210
03/09/2020 01:00,10.9,10.99,10.8,10.99,2890,31761.1
04/09/2020 01:00,10.8,10.95,10.8,10.95,30,328.5
07/09/2020 01:00,10.68,11.4,10.68,11,850,9350
08/09/2020 01:00,11.4,11.4,10.69,11,2270,24970
09/09/2020 01:00,11,11,11,11,10,110
10/09/2020 01:00,11,11.3,10.9,10.9,1070,11663
11/09/2020 01:00,10.6,11.3,10.6,10.8,3330,35964
14/09/2020 01:00,10.8,10.8,10.8,10.8,1500,16200
15/09/2020 01:00,10.9,10.9,10.85,10.85,90,976.5
16/09/2020 01:00,10.9,10.9,10.9,10.9,30,327
17/09/2020 01:00,10.94,10.94,10.94,10.94,10,109.4
18/09/2020 01:00,10.94,11.07,10.94,11.07,4590,50811.3
21/09/2020 01:00,11.13,11.13,11.07,11.08,2150,23822
