time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-12-26,9.269,9.269,9.269,9.269,100,926.9,,,,,,,,
2016-12-27,10.657,10.657,10.657,10.657,1500,15985.5,,,,,,,,
2016-12-28,12.232,12.232,12.232,12.232,100,1223.1999999999998,,,,,,,,
2016-12-29,14.061,14.061,13.935,14.061,2100,29528.1,,,,,,,,
2016-12-30,13.998,13.998,13.998,13.998,600,8398.8,,,,,,,,
2017-01-03,13.998,13.998,13.998,13.998,400,5599.2,,,,,,,,
2017-01-04,13.998,13.998,13.998,13.998,0,0.0,,,,,,,,
2017-01-05,13.998,13.998,13.998,13.998,0,0.0,,,,,,,,
2017-01-06,13.998,13.998,13.998,13.998,0,0.0,,,,,,,,
2017-01-09,13.998,13.998,13.998,13.998,0,0.0,,,,,,,,
2017-01-10,13.998,13.998,13.998,13.998,0,0.0,,,,,,,,
2017-01-11,11.916,11.916,11.916,11.916,100,1191.6,,,,,,,,
2017-01-12,11.916,11.916,11.916,11.916,0,0.0,,,,,,,,
2017-01-13,11.916,11.916,11.916,11.916,0,0.0,,,,,,,,
2017-01-16,11.916,11.916,11.916,11.916,0,0.0,,,,,,,,
2017-01-17,11.916,11.916,11.916,11.916,0,0.0,,,,,,,,
2017-01-18,11.916,11.916,11.916,11.916,0,0.0,,,,,,,,
2017-01-19,11.916,11.916,11.916,11.916,0,0.0,,,,,,,,
2017-01-20,11.916,11.916,11.916,11.916,0,0.0,,,,,,,,
2017-01-23,11.916,11.916,11.916,11.916,0,0.0,,,,,,,,
2017-01-24,11.916,11.916,11.916,11.916,0,0.0,,,,,,,,
2017-01-25,11.916,11.916,11.916,11.916,0,0.0,,,,,,,,
2017-02-02,10.152,10.152,10.152,10.152,800,8121.599999999999,,,,,,,,
2017-02-03,10.152,10.152,10.152,10.152,600,6091.2,,,,,,,,
2017-02-06,9.457,9.457,9.457,9.457,100,945.7,,,,,,,,
2017-02-07,9.457,9.457,9.457,9.457,0,0.0,,,,,,,,
2017-02-08,8.07,8.197,8.07,8.197,800,6557.599999999999,,,,,,,,
2017-02-09,9.333,9.333,9.333,9.333,600,5599.8,,,,,,,,
2017-02-10,9.333,9.333,9.333,9.333,0,0.0,,,,,,,,
2017-02-13,9.333,9.333,9.333,9.333,0,0.0,,,,,,,,
2017-02-14,8.828,8.828,8.828,8.828,2800,24718.4,,,,,,,,
2017-02-15,8.322,8.322,8.322,8.322,700,5825.4,,,,,,,,
2017-02-16,8.322,8.322,8.322,8.322,0,0.0,,,,,,,,
2017-02-17,8.322,8.322,8.322,8.322,0,0.0,,,,,,,,
2017-02-20,7.881,7.881,7.881,7.881,1000,7881.0,,,,,,,,
2017-02-21,7.881,7.881,7.881,7.881,0,0.0,,,,,,,,
2017-02-22,7.881,7.881,7.881,7.881,0,0.0,,,,,,,,
2017-02-23,7.881,7.881,7.881,7.881,0,0.0,,,,,,,,
2017-02-24,7.881,7.881,7.881,7.881,0,0.0,,,,,,,,
2017-02-27,7.881,7.881,7.881,7.881,0,0.0,,,,,,,,
2017-02-28,7.881,7.881,7.881,7.881,0,0.0,,,,,,,,
2017-03-01,7.881,7.881,7.881,7.881,0,0.0,,,,,,,,
2017-03-02,7.881,7.881,7.881,7.881,0,0.0,,,,,,,,
2017-03-03,7.881,7.881,7.881,7.881,500,3940.5,,,,,,,,
2017-03-06,8.891,8.891,8.891,8.891,100,889.1,,,,,,,,
