time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2009-11-17,3.59,3.59,3.59,3.59,213340,765890.6,,,,,
2009-11-18,3.76,3.76,3.67,3.68,71640,263635.2,,,,,
2009-11-19,3.5,3.58,3.5,3.5,31280,109480.0,,,,,
2009-11-20,3.33,3.33,3.33,3.33,17680,58874.4,,,,,
2009-11-23,3.17,3.17,3.17,3.17,3190,10112.3,,,,,
2009-11-24,3.02,3.09,3.02,3.02,109190,329753.8,,,,,
2009-11-25,2.87,2.88,2.87,2.87,44130,126653.1,,,,,
2009-11-26,2.73,2.73,2.73,2.73,1710,4668.3,,,,,
2009-11-27,2.73,2.86,2.61,2.61,105290,274806.9,,,,,
2009-11-30,2.48,2.61,2.48,2.48,50890,126207.2,,,,,
2009-12-01,2.55,2.6,2.51,2.6,24500,63700.0,,,,,
2009-12-02,2.64,2.64,2.6,2.64,21810,57578.4,,,,,
2009-12-03,2.64,2.64,2.51,2.61,18200,47502.0,,,,,
2009-12-04,2.63,2.63,2.48,2.6,13990,36374.0,,,,,
2009-12-07,2.5,2.59,2.47,2.47,13870,34258.9,,,,,
2009-12-08,2.36,2.36,2.35,2.35,30590,71886.5,,,,,
2009-12-09,2.24,2.34,2.24,2.34,2100,4914.0,,,,,
2009-12-10,2.34,2.34,2.23,2.34,10850,25389.0,,,,,
2009-12-11,2.23,2.25,2.23,2.23,5330,11885.9,,,,,
2009-12-14,2.12,2.34,2.12,2.32,10590,24568.8,,,,,
2009-12-15,2.23,2.39,2.21,2.23,101280,225854.4,,,,,
2009-12-16,2.28,2.28,2.18,2.27,12090,27444.3,,,,,
2009-12-17,2.18,2.25,2.16,2.21,17280,38188.8,,,,,
2009-12-18,2.23,2.32,2.23,2.32,8970,20810.4,,,,,
2009-12-21,2.42,2.43,2.41,2.43,21770,52901.100000000006,,,,,
2009-12-22,2.54,2.54,2.32,2.54,14550,36957.0,,,,,
2009-12-23,2.43,2.53,2.42,2.53,5940,15028.2,,,,,
2009-12-24,2.42,2.62,2.4,2.62,11090,29055.800000000003,,,,,
2009-12-25,2.75,2.75,2.62,2.75,86680,238370.0,,,,,
2009-12-28,2.89,2.89,2.76,2.89,115920,335008.8,,,,,
2009-12-29,2.9,2.95,2.89,2.9,29390,85231.0,,,,,
2009-12-30,2.8,2.91,2.8,2.9,18910,54839.0,,,,,
2009-12-31,2.76,2.92,2.76,2.76,28700,79212.0,,,,,
2010-01-04,2.76,2.82,2.74,2.76,54110,149343.59999999998,,,,,
2010-01-05,2.76,2.76,2.62,2.62,54250,142135.0,,,,,
2010-01-06,2.55,2.74,2.53,2.72,18720,50918.4,,,,,
2010-01-07,2.64,2.72,2.61,2.61,26900,70209.0,,,,,
2010-01-08,2.61,2.74,2.61,2.74,181880,498351.2,,,,,
2010-01-11,2.66,2.74,2.64,2.74,36580,100229.2,,,,,
2010-01-12,2.63,2.81,2.63,2.63,15140,39818.2,,,,,
2010-01-13,2.63,2.63,2.55,2.63,10570,27799.1,,,,,
2010-01-14,2.63,2.72,2.59,2.63,4600,12098.0,,,,,
2010-01-15,2.63,2.63,2.58,2.58,7030,18137.4,,,,,
2010-01-18,2.46,2.53,2.46,2.46,11200,27552.0,,,,,
2010-01-19,2.46,2.53,2.46,2.49,7980,19870.2,,,,,
2010-01-20,2.42,2.53,2.42,2.42,6250,15125.0,,,,,
2010-01-21,2.31,2.42,2.31,2.31,17660,40794.6,,,,,
2010-01-22,2.23,2.4,2.23,2.4,4660,11184.0,,,,,
2010-01-25,2.5,2.51,2.5,2.5,210,525.0,,,,,
2010-01-26,2.5,2.5,2.48,2.5,7560,18900.0,,,,,
2010-01-27,2.39,2.5,2.38,2.39,30970,74018.3,,,,,
2010-01-28,2.44,2.44,2.31,2.44,5590,13639.6,,,,,
2010-01-29,2.45,2.45,2.45,2.45,1030,2523.5,,,,,
2010-02-01,2.35,2.46,2.34,2.35,4680,10998.0,,,,,
2010-02-02,2.35,2.35,2.26,2.26,5170,11684.2,,,,,
2010-02-03,2.32,2.37,2.32,2.37,6650,15760.5,,,,,
2010-02-04,2.42,2.49,2.42,2.49,1780,4432.200000000001,,,,,
