time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2015-10-26,7.491,7.491,6.386,7.491,18200,136336.19999999998,,,,,,,,
2015-10-27,6.904,6.904,6.904,6.904,3500,24164.0,,,,,,,,
2015-10-28,6.524,6.524,5.903,5.972,31900,190506.8,,,,,,,,
2015-10-29,5.972,6.524,5.938,6.283,20300,127544.9,,,,,,,,
2015-10-30,6.076,6.559,6.076,6.386,19500,124527.0,,,,,,,,
2015-11-02,6.421,6.524,6.007,6.317,8200,51799.4,,,,,,,,
2015-11-03,6.317,6.559,6.248,6.559,56900,373207.1,,,,,,,,
2015-11-04,6.593,7.249,6.559,6.939,70000,485730.0,,,,,,,,
2015-11-05,7.422,7.802,7.422,7.802,20812,162375.224,,,,,,,,
2015-11-06,8.458,8.837,7.94,8.216,75488,620209.4079999999,,,,,,,,
2015-11-09,8.354,8.354,7.111,8.078,135200,1092145.6,,,,,,,,
2015-11-10,8.389,8.389,6.973,7.249,133600,968466.4,,,,,,,,
2015-11-11,6.663,7.387,6.628,7.249,65707,476310.043,,,,,,,,
2015-11-12,7.249,7.767,7.215,7.595,84303,640281.285,,,,,,,,
2015-11-13,7.595,7.836,7.457,7.802,148800,1160937.6,,,,,,,,
2015-11-16,7.629,7.836,7.111,7.491,214000,1603074.0,,,,,,,,
2015-11-17,7.56,7.698,7.422,7.526,30300,228037.8,,,,,,,,
2015-11-18,7.422,7.56,6.904,7.215,178600,1288599.0,,,,,,,,
2015-11-19,7.353,7.353,6.939,7.18,94000,674920.0,,,,,,,,
2015-11-20,6.904,7.146,6.559,7.008,126700,887913.6,,,,,,,,
2015-11-23,7.008,7.249,6.904,7.215,66850,482322.75,,,,,,,,
2015-11-24,6.904,7.422,6.904,7.249,140402,1017774.098,,,,,,,,
2015-11-25,7.18,7.422,7.111,7.387,109200,806660.3999999999,,,,,,,,
2015-11-26,7.318,7.595,7.318,7.422,77008,571553.3759999999,,,,,,,,
2015-11-27,7.457,7.457,7.353,7.387,59100,436571.7,,,,,,,,
2015-11-30,7.318,7.353,7.18,7.215,96200,694083.0,,,,,,,,
2015-12-01,7.353,7.422,7.18,7.215,29100,209956.5,,,,,,,,
2015-12-02,7.18,7.215,7.008,7.042,103300,727438.6,,,,,,,,
2015-12-03,7.077,7.111,7.042,7.077,45600,322711.2,,,,,,,,
2015-12-04,7.042,7.077,6.939,7.008,58300,408566.4,,,,,,,,
2015-12-07,6.973,6.973,6.835,6.835,57400,392329.0,,,,,,,,
2015-12-08,6.87,6.939,6.732,6.904,114600,791198.4,,,,,,,,
2015-12-09,6.835,7.111,6.766,7.042,133103,937311.326,,,,,,,,
2015-12-10,7.008,7.111,6.939,6.973,72700,506937.1,,,,,,,,
2015-12-11,6.904,7.008,6.904,7.008,84500,592176.0,,,,,,,,
2015-12-14,6.939,7.008,6.939,6.973,79200,552261.6,,,,,,,,
2015-12-15,6.904,7.008,6.835,7.008,59900,419779.2,,,,,,,,
2015-12-16,7.008,7.249,6.939,7.042,97600,687299.2,,,,,,,,
2015-12-17,7.042,7.146,7.008,7.146,469200,3352903.2,,,,,,,,
2015-12-18,7.077,7.077,6.559,7.008,143102,1002858.816,,,,,,,,
2015-12-21,6.835,6.87,6.386,6.87,340600,2339922.0,,,,,,,,
2015-12-22,6.559,6.663,6.317,6.49,377300,2448677.0,,,,,,,,
2015-12-23,6.248,6.352,5.523,6.145,569600,3500191.9999999995,,,,,,,,
2015-12-24,5.8,6.835,5.523,6.766,1135600,7683469.6,,,,,,,,
2015-12-25,6.801,6.904,6.11,6.732,122574700,825172880.4,,,,,,,,
2015-12-28,6.973,7.042,6.628,7.042,1884100,13267832.2,,,,,,,,
2015-12-29,7.249,7.249,6.87,7.008,1055500,7396944.0,,,,,,,,
2015-12-30,6.904,7.422,6.663,7.422,5716150,42425265.3,,,,,,,,
2015-12-31,7.595,8.009,7.422,7.94,1996310,15850701.4,,,,,,,,
2016-01-04,8.112,8.112,7.422,7.733,4515450,34917974.85,,,,,,,,
2016-01-05,7.733,7.767,7.526,7.698,1693845,13039218.81,,,,,,,,
2016-01-06,7.664,8.285,7.664,8.251,1517316,12519374.316,,,,,,,,
2016-01-07,8.251,8.561,8.043,8.458,1717369,14525507.002,,,,,,,,
2016-01-08,8.389,8.458,8.216,8.389,1093280,9171525.92,,,,,,,,
2016-01-11,8.285,8.285,7.767,7.94,2196300,17438622.0,,,,,,,,
2016-01-12,7.94,8.147,7.733,8.043,817620,6576117.659999999,,,,,,,,
2016-01-13,7.94,8.147,7.94,8.078,1098024,8869837.872,,,,,,,,
2016-01-14,7.94,8.009,7.767,7.94,1583200,12570608.0,,,,,,,,
2016-01-15,7.94,7.974,7.871,7.94,534600,4244724.0,,,,,,,,
2016-01-18,7.767,7.802,7.526,7.767,1165082,9049191.894,,,,,,,,
2016-01-19,7.629,7.871,7.629,7.836,430000,3369480.0,,,,,,,,
2016-01-20,7.94,7.974,7.733,7.802,1278100,9971736.2,,,,,,,,
2016-01-21,7.836,8.112,7.767,8.112,814030,6603411.36,,,,,,,,
2016-01-22,8.147,8.492,8.147,8.458,1088160,9203657.28,,,,,,,,
2016-01-25,8.527,9.044,8.458,8.975,1299888,11666494.8,,,,,,,,
2016-01-26,8.63,9.114,8.63,8.803,946060,8328166.180000001,,,,,,,,
2016-01-27,8.906,9.044,8.699,8.837,852380,7532482.06,,,,,,,,
2016-01-28,8.837,8.837,8.492,8.561,728330,6235233.13,,,,,,,,
2016-01-29,8.527,8.527,8.32,8.423,986380,8308278.74,,,,,,,,
2016-02-01,8.458,8.458,8.181,8.216,740100,6080661.6,,,,,,,,
2016-02-02,8.147,8.285,8.009,8.181,1130300,9246984.3,,,,,,,,
2016-02-03,8.112,8.147,8.009,8.112,381100,3091483.2,,,,,,,,
2016-02-04,8.216,8.285,8.147,8.147,135400,1103103.8,,,,,,,,
2016-02-05,8.216,8.354,8.181,8.354,142900,1193786.6,,,,,,,,
2016-02-15,8.251,8.354,8.147,8.147,255708,2083253.076,,,,,,,,
2016-02-16,8.112,8.389,8.112,8.32,371000,3086720.0,,,,,,,,
2016-02-17,8.389,8.527,8.251,8.458,502800,4252682.4,,,,,,,,
2016-02-18,8.527,8.872,8.492,8.768,628848,5513739.264,,,,,,,,
2016-02-19,8.734,8.803,8.492,8.492,470100,3992089.2,,,,,,,,
2016-02-22,8.561,8.63,8.423,8.458,454800,3846698.4,,,,,,,,
2016-02-23,8.458,8.458,8.216,8.32,748210,6225107.2,,,,,,,,
2016-02-24,8.458,8.527,8.251,8.389,313800,2632468.2,,,,,,,,
2016-02-25,8.458,8.458,8.216,8.216,521700,4286287.199999999,,,,,,,,
2016-02-26,8.181,8.285,8.147,8.285,376900,3122616.5,,,,,,,,
2016-02-29,8.251,8.285,8.216,8.251,242300,1999217.3,,,,,,,,
2016-03-01,8.285,8.458,8.216,8.354,771600,6445946.399999999,,,,,,,,
2016-03-02,8.354,8.596,8.354,8.527,563500,4804964.5,,,,,,,,
2016-03-03,8.561,8.699,8.561,8.561,623700,5339495.7,,,,,,,,
2016-03-04,8.596,8.63,8.32,8.389,899600,7546744.399999999,,,,,,,,
2016-03-07,8.285,8.285,7.698,8.009,1282800,10273945.2,,,,,,,,
2016-03-08,8.009,8.181,8.009,8.043,534800,4301396.399999999,,,,,,,,
2016-03-09,7.974,8.181,7.974,8.147,395900,3225397.3000000003,,,,,,,,
2016-03-10,8.112,8.285,8.078,8.285,537350,4451944.75,,,,,,,,
2016-03-11,8.251,8.251,8.181,8.181,337638,2762216.478,,,,,,,,
2016-03-14,8.181,8.251,8.112,8.251,379100,3127954.1,,,,,,,,
2016-03-15,8.181,8.354,8.147,8.285,208510,1727505.35,,,,,,,,
2016-03-16,8.285,8.32,8.181,8.216,227600,1869961.6,,,,,,,,
2016-03-17,8.251,8.423,8.216,8.389,537800,4511604.199999999,,,,,,,,
2016-03-18,8.423,8.492,8.285,8.354,261500,2184571.0,,,,,,,,
2016-03-21,8.389,8.423,8.354,8.354,272500,2276465.0,,,,,,,,
2016-03-22,8.389,8.63,8.389,8.527,1286900,10973396.3,,,,,,,,
2016-03-23,8.561,9.252,8.561,9.01,1660850,14964258.5,,,,,,,,
2016-03-24,9.321,9.424,9.01,9.148,1396650,12776554.2,,,,,,,,
2016-03-25,9.148,9.148,8.734,8.941,914230,8174130.430000001,,,,,,,,
2016-03-28,8.941,9.252,8.941,9.217,2003930,18470222.81,,,,,,,,
