time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2020-11-06,15.521,15.521,13.115,14.435,83500,1205322.5,,,,,
2020-11-09,13.581,13.581,13.038,13.038,44400,578887.2,,,,,
2020-11-10,13.503,13.503,13.038,13.038,6600,86050.8,,,,,
2020-11-11,12.417,12.417,11.796,11.796,50900,600416.4,,,,,
2020-11-12,11.796,11.796,11.33,11.641,52900,615808.9,,,,,
2020-11-13,11.718,12.805,11.718,12.262,73300,898804.6,,,,,
2020-11-16,12.417,12.805,12.417,12.65,25800,326370.0,,,,,
2020-11-17,12.727,12.805,12.184,12.805,17200,220246.0,,,,,
2020-11-18,13.115,13.348,12.65,13.348,69700,930355.6,,,,,
2020-11-19,13.348,13.969,13.348,13.969,57700,806011.2999999999,,,,,
2020-11-20,14.667,15.366,14.667,15.133,82600,1249985.7999999998,,,,,
2020-11-23,15.133,15.676,14.745,15.676,162000,2539512.0,,,,,
2020-11-24,15.133,15.288,15.133,15.211,18600,282924.6,,,,,
2020-11-25,15.443,15.443,14.357,14.435,20300,293030.5,,,,,
2020-11-26,14.047,14.124,14.047,14.124,8700,122878.8,,,,,
2020-11-27,14.745,14.745,14.047,14.667,16700,244938.9,,,,,
2020-11-30,15.133,15.133,13.969,14.279,16500,235603.5,,,,,
2020-12-01,14.357,14.978,14.279,14.745,38900,573580.5,,,,,
2020-12-02,14.59,15.133,14.512,14.9,27900,415710.0,,,,,
2020-12-03,14.9,15.288,14.9,15.055,42100,633815.5,,,,,
2020-12-04,14.357,15.055,14.357,15.055,2000,30110.0,,,,,
2020-12-07,14.59,15.133,14.59,15.133,24300,367731.9,,,,,
2020-12-08,15.055,15.055,14.745,15.055,8100,121945.5,,,,,
2020-12-09,14.667,14.9,14.667,14.745,17800,262461.0,,,,,
2020-12-10,14.745,14.823,14.745,14.745,22500,331762.5,,,,,
2020-12-11,14.745,14.745,14.59,14.745,10500,154822.5,,,,,
2020-12-14,14.745,14.745,14.745,14.745,800,11796.0,,,,,
2020-12-15,14.667,14.667,14.512,14.512,8000,116096.0,,,,,
2020-12-16,14.435,14.978,14.435,14.745,1500,22117.5,,,,,
2020-12-17,14.59,14.667,14.435,14.435,3300,47635.5,,,,,
2020-12-18,14.59,14.745,14.59,14.745,9200,135654.0,,,,,
2020-12-21,14.745,14.745,14.435,14.745,17200,253614.0,,,,,
2020-12-22,14.59,14.745,14.59,14.745,82300,1213513.5,,,,,
2020-12-23,14.745,15.521,14.59,15.443,197700,3053081.1,,,,,
