time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2012-03-09,2.97,2.97,2.97,2.97,1520,4514.400000000001,,,,,,,,
2012-03-12,2.84,2.84,2.84,2.84,10,28.4,,,,,,,,
2012-03-13,2.7,2.7,2.7,2.7,1010,2727.0,,,,,,,,
2012-03-14,2.57,2.57,2.57,2.57,10,25.7,,,,,,,,
2012-03-15,2.46,2.46,2.46,2.46,10,24.6,,,,,,,,
2012-03-16,2.36,2.36,2.36,2.36,2120,5003.2,,,,,,,,
2012-03-19,2.25,2.25,2.25,2.25,140,315.0,,,,,,,,
2012-03-20,2.14,2.14,2.14,2.14,1220,2610.8,,,,,,,,
2012-03-21,2.05,2.05,2.05,2.05,86100,176504.99999999997,,,,,,,,
2012-03-22,1.96,1.96,1.96,1.96,31770,62269.2,,,,,,,,
2012-03-23,1.88,2.05,1.88,2.05,230310,472135.5,,,,,,,,
2012-03-26,2.14,2.14,2.12,2.14,138100,295534.0,,,,,,,,
2012-03-27,2.22,2.22,2.18,2.22,224520,498434.4,,,,,,,,
2012-03-28,2.18,2.18,2.12,2.12,40470,85796.40000000001,,,,,,,,
2012-03-29,2.03,2.09,2.03,2.03,193740,393292.2,,,,,,,,
2012-03-30,1.96,2.03,1.94,1.96,61870,121265.2,,,,,,,,
2012-04-03,2.03,2.03,1.92,1.96,17010,33339.6,,,,,,,,
2012-04-04,1.99,1.99,1.9,1.9,37610,71459.0,,,,,,,,
2012-04-05,1.83,1.92,1.83,1.92,65300,125376.0,,,,,,,,
2012-04-06,1.94,1.96,1.92,1.96,19190,37612.4,,,,,,,,
2012-04-09,1.94,1.99,1.92,1.96,38500,75460.0,,,,,,,,
2012-04-10,1.94,1.99,1.92,1.96,44560,87337.59999999999,,,,,,,,
2012-04-11,1.99,1.99,1.94,1.96,39930,78262.8,,,,,,,,
2012-04-12,1.96,1.96,1.92,1.94,66750,129495.0,,,,,,,,
2012-04-13,1.96,1.96,1.9,1.94,71260,138244.4,,,,,,,,
2012-04-16,1.96,1.96,1.94,1.96,23020,45119.2,,,,,,,,
2012-04-17,1.96,1.99,1.94,1.99,67670,134663.3,,,,,,,,
2012-04-18,1.99,1.99,1.92,1.96,107640,210974.4,,,,,,,,
2012-04-19,1.92,1.94,1.9,1.94,70920,137584.8,,,,,,,,
2012-04-20,1.94,2.03,1.94,2.03,137370,278861.1,,,,,,,,
2012-04-23,2.12,2.12,2.12,2.12,34250,72610.0,,,,,,,,
2012-04-24,2.2,2.2,2.12,2.2,380040,836088.0000000001,,,,,,,,
2012-04-25,2.31,2.31,2.31,2.31,162860,376206.6,,,,,,,,
2012-04-26,2.42,2.42,2.31,2.42,453130,1096574.6,,,,,,,,
2012-04-27,2.36,2.46,2.36,2.4,114690,275256.0,,,,,,,,
2012-05-02,2.4,2.4,2.29,2.29,178840,409543.6,,,,,,,,
2012-05-03,2.18,2.4,2.18,2.38,280060,666542.7999999999,,,,,,,,
2012-05-04,2.44,2.46,2.33,2.38,173810,413667.8,,,,,,,,
2012-05-07,2.44,2.49,2.38,2.49,327550,815599.5000000001,,,,,,,,
2012-05-08,2.6,2.6,2.57,2.6,302480,786448.0,,,,,,,,
2012-05-09,2.68,2.7,2.57,2.7,368520,995004.0,,,,,,,,
2012-05-10,2.7,2.7,2.57,2.57,244330,627928.1,,,,,,,,
2012-05-11,2.6,2.6,2.46,2.57,249270,640623.8999999999,,,,,,,,
2012-05-14,2.45,2.62,2.45,2.45,142580,349321.0,,,,,,,,
2012-05-15,2.36,2.38,2.34,2.34,68490,160266.59999999998,,,,,,,,
2012-05-16,2.26,2.34,2.24,2.26,63900,144414.0,,,,,,,,
2012-05-17,2.26,2.34,2.17,2.17,66920,145216.4,,,,,,,,
2012-05-18,2.19,2.19,2.07,2.07,98800,204516.0,,,,,,,,
2012-05-21,2.12,2.17,2.1,2.17,86540,187791.8,,,,,,,,
2012-05-22,2.22,2.24,2.07,2.17,98840,214482.8,,,,,,,,
2012-05-23,2.14,2.14,2.07,2.07,71340,147673.8,,,,,,,,
2012-05-24,2.07,2.07,1.98,1.98,81160,160696.8,,,,,,,,
2012-05-25,2.03,2.07,2.03,2.07,68060,140884.19999999998,,,,,,,,
2012-05-28,2.14,2.14,1.98,1.98,67330,133313.4,,,,,,,,
2012-05-29,2.03,2.05,1.91,1.93,74560,143900.8,,,,,,,,
2012-05-30,1.98,2.0,1.93,1.98,71870,142302.6,,,,,,,,
2012-05-31,2.03,2.07,1.91,2.03,226630,460058.9,,,,,,,,
2012-06-01,2.05,2.05,2.03,2.05,117750,241387.5,,,,,,,,
2012-06-04,2.05,2.05,1.98,2.05,10380,21279.0,,,,,,,,
2012-06-05,2.05,2.05,2.03,2.05,32530,66686.5,,,,,,,,
2012-06-06,2.05,2.05,2.0,2.03,39070,79312.09999999999,,,,,,,,
2012-06-07,1.98,2.12,1.98,2.03,100790,204603.7,,,,,,,,
2012-06-08,2.1,2.1,2.0,2.03,106110,215403.3,,,,,,,,
2012-06-11,2.03,2.07,2.03,2.03,37060,75231.79999999999,,,,,,,,
2012-06-12,2.03,2.05,2.03,2.03,38400,77951.99999999999,,,,,,,,
2012-06-13,2.03,2.05,2.0,2.03,38400,77951.99999999999,,,,,,,,
2012-06-14,2.0,2.03,1.95,1.95,44710,87184.5,,,,,,,,
2012-06-15,1.98,2.0,1.93,1.98,18690,37006.2,,,,,,,,
2012-06-18,2.0,2.03,1.98,1.98,22830,45203.4,,,,,,,,
2012-06-19,2.0,2.0,1.95,2.0,109830,219660.0,,,,,,,,
2012-06-20,2.05,2.05,2.0,2.05,169150,346757.49999999994,,,,,,,,
2012-06-21,2.07,2.14,2.05,2.14,214480,458987.2,,,,,,,,
2012-06-22,2.1,2.14,2.05,2.1,154860,325206.0,,,,,,,,
2012-06-25,2.1,2.1,2.0,2.0,34400,68800.0,,,,,,,,
2012-06-26,1.95,2.0,1.91,2.0,127260,254520.0,,,,,,,,
2012-06-27,1.93,1.98,1.91,1.91,134680,257238.8,,,,,,,,
2012-06-28,1.91,1.91,1.81,1.81,98700,178647.0,,,,,,,,
2012-06-29,1.84,1.86,1.81,1.84,43420,79892.8,,,,,,,,
2012-07-02,1.81,1.84,1.76,1.84,50240,92441.6,,,,,,,,
2012-07-03,1.81,1.81,1.76,1.76,39590,69678.4,,,,,,,,
2012-07-04,1.76,1.76,1.69,1.69,35820,60535.8,,,,,,,,
2012-07-05,1.64,1.72,1.62,1.72,42060,72343.2,,,,,,,,
2012-07-06,1.72,1.79,1.72,1.72,25500,43860.0,,,,,,,,
