time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2007-07-23,20.01,20.01,20.01,20.01,129720,2595697.2,,,,,
2007-07-24,20.92,20.92,19.1,19.1,486400,9290240.0,,,,,
2007-07-25,18.19,18.19,18.19,18.19,11220,204091.8,,,,,
2007-07-26,17.28,17.28,17.28,17.28,15730,271814.4,,,,,
2007-07-27,16.52,16.52,16.52,16.52,8100,133812.0,,,,,
2007-07-30,15.77,15.77,15.77,15.77,23560,371541.2,,,,,
2007-07-31,14.98,14.98,14.98,14.98,11410,170921.80000000002,,,,,
2007-08-01,14.25,15.46,14.25,15.46,137370,2123740.2,,,,,
2007-08-02,15.46,15.31,14.7,14.7,51060,750582.0,,,,,
2007-08-03,13.98,14.1,13.98,13.98,36320,507753.6,,,,,
2007-08-06,13.52,13.64,13.49,13.49,29800,402002.0,,,,,
2007-08-07,13.04,13.34,13.1,13.34,41050,547607.0,,,,,
2007-08-08,13.55,13.95,13.55,13.95,47490,662485.5,,,,,
2007-08-09,14.64,14.64,14.64,14.64,24580,359851.2,,,,,
2007-08-10,15.31,15.31,14.31,15.01,126080,1892460.8,,,,,
2007-08-13,14.55,14.55,14.28,14.28,31870,455103.6,,,,,
2007-08-14,14.25,14.61,14.25,14.55,28390,413074.5,,,,,
2007-08-15,14.86,15.01,13.64,14.28,19740,281887.2,,,,,
2007-08-16,14.1,14.25,14.1,14.1,6800,95880.0,,,,,
2007-08-17,13.64,14.86,12.28,14.01,30960,433749.6,,,,,
2007-08-20,13.64,13.95,13.64,13.83,19840,274387.2,,,,,
2007-08-21,13.83,14.16,13.83,13.83,20440,282685.2,,,,,
2007-08-22,13.64,13.83,13.64,13.64,16150,220286.0,,,,,
2007-08-23,13.49,13.64,13.34,13.49,25600,345344.0,,,,,
2007-08-24,13.34,13.76,13.34,13.76,51370,706851.2,,,,,
2007-08-27,13.49,13.79,13.37,13.49,32970,444765.3,,,,,
2007-08-28,13.43,13.49,13.34,13.43,41640,559225.2,,,,,
2007-08-29,13.46,13.52,13.37,13.46,23610,317790.60000000003,,,,,
2007-08-30,13.64,14.13,13.64,13.64,15460,210874.4,,,,,
2007-08-31,13.58,13.64,13.49,13.58,14780,200712.4,,,,,
2007-09-04,13.55,13.64,13.49,13.64,44100,601524.0,,,,,
2007-09-05,13.64,13.64,13.49,13.49,30230,407802.7,,,,,
2007-09-06,13.34,13.49,13.34,13.49,70900,956441.0,,,,,
2007-09-07,13.52,13.52,13.4,13.49,29370,396201.3,,,,,
2007-09-10,13.49,13.49,13.4,13.46,28750,386975.0,,,,,
2007-09-11,13.49,13.61,13.49,13.58,46420,630383.6,,,,,
2007-09-12,13.49,13.55,13.34,13.4,28040,375736.0,,,,,
2007-09-13,13.37,13.43,13.34,13.37,26660,356444.19999999995,,,,,
2007-09-14,13.34,13.4,13.31,13.34,41500,553610.0,,,,,
2007-09-17,13.49,13.49,13.34,13.34,27160,362314.4,,,,,
2007-09-18,13.34,13.4,13.28,13.28,28960,384588.8,,,,,
2007-09-19,13.34,13.52,13.34,13.52,57140,772532.7999999999,,,,,
2007-09-20,14.19,14.19,14.19,14.19,47740,677430.6,,,,,
2007-09-21,14.89,14.89,14.55,14.89,436340,6497102.600000001,,,,,
2007-09-24,15.46,15.46,15.07,15.46,108990,1684985.4,,,,,
2007-09-25,15.16,15.31,15.01,15.07,97950,1476106.5,,,,,
2007-09-26,14.8,15.13,14.55,14.55,68880,1002204.0,,,,,
2007-09-27,14.86,14.86,14.43,14.86,128390,1907875.4,,,,,
2007-09-28,15.01,15.46,15.01,15.46,180350,2788211.0,,,,,
2007-10-01,16.22,16.22,16.22,16.22,89280,1448121.6,,,,,
2007-10-02,16.98,16.98,16.22,16.37,189200,3097204.0,,,,,
2007-10-03,15.77,16.37,15.77,15.92,154840,2465052.8,,,,,
2007-10-04,15.46,15.77,15.46,15.46,72450,1120077.0,,,,,
2007-10-05,15.16,15.61,15.16,15.61,79990,1248643.9,,,,,
2007-10-08,15.31,15.61,15.31,15.46,77910,1204488.6,,,,,
2007-10-09,15.46,15.61,15.31,15.46,95620,1478285.2000000002,,,,,
2007-10-10,15.61,15.61,15.46,15.61,126000,1966860.0,,,,,
2007-10-11,15.77,15.77,15.61,15.61,113300,1768613.0,,,,,
2007-10-12,15.46,15.77,15.46,15.61,53830,840286.2999999999,,,,,
2007-10-15,15.46,15.61,15.46,15.61,75260,1174808.6,,,,,
2007-10-16,15.46,15.61,15.46,15.46,48970,757076.2000000001,,,,,
2007-10-17,15.46,15.77,15.46,15.77,122260,1928040.2,,,,,
2007-10-18,16.37,16.37,15.77,15.92,104900,1670008.0,,,,,
2007-10-19,15.46,15.77,15.46,15.61,51660,806412.6,,,,,
2007-10-22,15.61,15.61,15.31,15.31,75980,1163253.8,,,,,
2007-10-23,15.01,15.16,14.86,14.86,80110,1190434.6,,,,,
2007-10-24,14.58,15.01,14.58,14.86,59580,885358.7999999999,,,,,
2007-10-25,15.46,15.46,15.16,15.46,73360,1134145.6,,,,,
2007-10-26,15.46,15.46,15.16,15.16,61640,934462.4,,,,,
2007-10-29,14.7,15.16,14.7,14.7,34960,513912.0,,,,,
2007-10-30,14.55,14.55,14.4,14.49,42300,612927.0,,,,,
2007-10-31,14.25,14.49,14.13,14.13,54930,776160.9,,,,,
2007-11-01,14.4,14.77,14.25,14.77,52850,780594.5,,,,,
2007-11-02,15.01,15.1,14.43,14.43,86430,1247184.9,,,,,
2007-11-05,13.73,13.95,13.73,13.83,74950,1036558.5,,,,,
2007-11-06,12.46,13.04,12.46,13.01,23540,306255.4,,,,,
2007-11-07,13.01,13.34,13.01,13.34,19140,255327.6,,,,,
2007-11-08,13.34,13.34,13.04,13.04,48210,628658.3999999999,,,,,
2007-11-09,12.73,12.95,12.58,12.73,43610,555155.3,,,,,
2007-11-12,12.43,12.43,12.28,12.43,21300,264759.0,,,,,
2007-11-13,12.13,12.13,11.82,11.82,29270,345971.4,,,,,
2007-11-14,11.82,12.4,11.82,12.4,40020,496248.0,,,,,
2007-11-15,12.73,12.73,12.13,12.13,28940,351042.2,,,,,
2007-11-16,12.13,12.28,12.13,12.19,26750,326082.5,,,,,
2007-11-19,12.19,12.19,12.1,12.16,15020,182643.2,,,,,
2007-11-20,12.13,12.28,11.98,11.98,12320,147593.6,,,,,
2007-11-21,11.82,11.82,11.7,11.82,14310,169144.2,,,,,
2007-11-22,11.52,11.85,11.52,11.85,18990,225031.5,,,,,
2007-11-23,12.13,12.19,12.1,12.13,31470,381731.1,,,,,
