time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-03-21,13.145,13.145,8.588,9.552,515800,4926921.6,1000.0,0.0,10000.0,0.0,,0.67,0.01,0.0
2018-03-22,9.64,9.903,8.939,9.552,260800,2491161.6,0.0,0.0,0.0,0.0,,0.67,0.0,0.0
2018-03-23,9.289,9.289,8.763,9.202,111800,1028783.6,0.0,0.0,0.0,0.0,,0.67,0.0,0.0
2018-03-26,8.939,9.202,8.939,9.026,267800,2417162.8,0.0,250000.0,0.0,2570000.0,,0.67,0.0,2.57
2018-03-27,9.464,9.64,9.202,9.552,52200,498614.4,0.0,0.0,0.0,0.0,,0.67,0.0,0.0
2018-03-28,9.552,10.341,9.464,10.078,139800,1408904.4,0.0,0.0,0.0,0.0,,0.67,0.0,0.0
2018-03-29,10.253,10.779,9.99,10.428,587200,6123321.600000001,0.0,0.0,0.0,0.0,,0.67,0.0,0.0
2018-03-30,10.867,11.392,9.903,10.779,540800,5829283.2,152000.0,0.0,1850000.0,0.0,,0.67,1.85,0.0
2018-04-02,10.954,11.392,10.954,11.305,348000,3934140.0,169300.0,0.0,2160000.0,0.0,,0.67,2.16,0.0
2018-04-03,11.305,11.392,10.954,11.042,421300,4651994.6,200000.0,0.0,2550000.0,0.0,,0.67,2.55,0.0
2018-04-04,11.217,11.217,10.516,10.516,216100,2272507.6,0.0,0.0,0.0,0.0,,0.67,0.0,0.0
2018-04-05,10.691,10.867,9.815,9.903,166200,1645878.6,0.0,17000.0,0.0,200000.0,,0.67,0.0,0.2
2018-04-06,10.341,10.341,9.64,9.727,165600,1610791.2,0.0,57000.0,0.0,630000.0,,0.67,0.0,0.63
2018-04-09,9.464,9.464,9.289,9.464,78200,740084.8,0.0,47000.0,0.0,500000.0,,0.67,0.0,0.5
2018-04-10,9.289,9.815,9.202,9.727,102000,992154.0,0.0,47000.0,0.0,510000.0,,0.67,0.0,0.51
2018-04-11,9.464,9.815,9.114,9.289,332300,3086734.7,0.0,17000.0,0.0,180000.0,,0.67,0.0,0.18
2018-04-12,9.289,9.552,9.114,9.552,192400,1837804.8,5000.0,17000.0,50000.0,180000.0,,0.67,0.05,0.18
