time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-12-15,19.63,23.55,15.7,23.16,102400,2371584.0,,,,,,,,
2006-12-18,19.2,23.16,19.2,23.16,68800,1593408.0,,,,,,,,
2006-12-19,20.41,24.53,20.41,23.16,88700,2054292.0,,,,,,,,
2006-12-20,26.93,26.93,26.93,26.93,52700,1419211.0,,,,,,,,
2006-12-21,29.6,29.6,26.5,26.69,102000,2722380.0,,,,,,,,
2006-12-22,26.89,26.89,25.44,25.44,19400,493536.0,,,,,,,,
2006-12-25,22.96,25.52,22.96,25.52,139800,3567696.0,,,,,,,,
2006-12-26,25.59,25.59,25.59,25.59,31700,811203.0,,,,,,,,
2006-12-27,27.48,28.15,27.48,28.15,54600,1536990.0,,,,,,,,
2006-12-28,30.93,30.93,28.26,28.15,118700,3341405.0,,,,,,,,
2006-12-29,29.83,30.03,29.05,29.05,85900,2495395.0,,,,,,,,
2007-01-02,29.83,30.23,29.24,29.05,85400,2480870.0,,,,,,,,
2007-01-03,29.95,29.95,29.44,29.52,52500,1549800.0,,,,,,,,
2007-01-04,29.64,30.62,29.64,30.62,100200,3068124.0,,,,,,,,
2007-01-05,32.97,33.01,32.97,33.01,29300,967193.0,,,,,,,,
2007-01-08,36.31,36.31,36.27,36.31,167500,6081925.0,,,,,,,,
2007-01-09,38.86,39.92,37.29,39.18,167900,6578322.0,,,,,,,,
2007-01-10,42.79,42.87,41.22,42.87,61900,2653653.0,,,,,,,,
2007-01-11,47.1,47.1,47.1,47.1,50000,2355000.0,,,,,,,,
2007-01-12,51.82,51.82,51.82,51.82,268800,13929216.0,,,,,,,,
2007-01-15,54.17,57.0,47.1,51.82,184300,9550426.0,,,,,,,,
2007-01-16,58.49,58.88,49.07,50.17,99300,4981881.0,,,,,,,,
2007-01-17,48.67,50.25,46.95,46.95,33200,1558740.0,,,,,,,,
2007-01-18,42.79,50.25,42.79,50.25,100800,5065200.0,,,,,,,,
2007-01-19,52.01,52.01,50.28,50.64,97500,4937400.0,,,,,,,,
2007-01-22,47.1,50.25,46.71,50.64,88000,4456320.0,,,,,,,,
2007-01-23,49.07,49.07,47.1,48.64,55000,2675200.0,,,,,,,,
2007-01-24,48.28,50.25,47.5,48.13,60900,2931117.0,,,,,,,,
2007-01-25,48.28,48.28,45.53,46.71,26800,1251828.0,,,,,,,,
2007-01-26,46.32,47.1,46.32,47.03,31600,1486148.0,,,,,,,,
2007-01-29,47.14,47.14,46.32,46.91,37100,1740360.9999999998,,,,,,,,
2007-01-30,47.5,51.03,47.5,49.07,33700,1653659.0,,,,,,,,
2007-01-31,49.66,51.03,49.66,50.56,38500,1946560.0,,,,,,,,
2007-02-01,51.03,55.31,49.85,50.25,34600,1738650.0,,,,,,,,
2007-02-02,52.01,52.01,49.07,50.21,37700,1892917.0,,,,,,,,
2007-02-05,49.07,50.56,47.18,49.66,39600,1966536.0,,,,,,,,
2007-02-06,49.46,49.46,48.67,48.67,36100,1756987.0,,,,,,,,
2007-02-07,49.07,49.46,47.1,47.1,53300,2510430.0,,,,,,,,
2007-02-08,48.28,52.95,45.14,47.1,33300,1568430.0,,,,,,,,
2007-02-09,45.93,46.71,42.39,46.12,38900,1794068.0,,,,,,,,
2007-02-12,46.01,50.6,46.01,50.6,36900,1867140.0,,,,,,,,
2007-02-13,54.92,54.92,54.92,54.92,44300,2432956.0,,,,,,,,
2007-02-14,60.37,60.37,55.78,57.9,159400,9229260.0,,,,,,,,
2007-02-15,58.88,59.78,56.53,59.67,49600,2959632.0,,,,,,,,
2007-02-26,62.02,64.81,59.27,61.83,74200,4587786.0,,,,,,,,
2007-02-27,64.38,67.12,63.2,65.44,85600,5601664.0,,,,,,,,
2007-02-28,68.69,68.69,62.81,64.38,44000,2832720.0,,,,,,,,
2007-03-01,64.77,65.95,61.63,62.41,47500,2964475.0,,,,,,,,
2007-03-02,62.81,63.79,62.02,62.41,47000,2933270.0,,,,,,,,
2007-03-05,62.81,66.73,62.41,64.38,70300,4525914.0,,,,,,,,
