time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2002-12-19,15.06,15.06,15.06,15.06,13100,197286.0,,,,,,,,
2002-12-20,14.64,14.64,14.64,14.64,14500,212280.0,,,,,,,,
2002-12-23,14.64,14.64,14.64,14.64,8800,128832.0,,,,,,,,
2002-12-24,15.06,15.06,15.06,15.06,3300,49698.0,,,,,,,,
2002-12-25,15.06,15.06,15.06,15.06,6400,96384.0,,,,,,,,
2002-12-26,15.06,15.06,15.06,15.06,3100,46686.0,,,,,,,,
2002-12-27,14.71,14.71,14.71,14.71,5600,82376.0,,,,,,,,
2002-12-30,14.71,14.71,14.71,14.71,4000,58840.0,,,,,,,,
2002-12-31,14.85,14.85,14.85,14.85,6700,99495.0,,,,,,,,
2003-01-02,14.99,14.99,14.99,14.99,2000,29980.0,,,,,,,,
2003-01-03,15.2,15.2,15.2,15.2,1200,18240.0,,,,,,,,
2003-01-06,15.83,15.83,15.83,15.83,10000,158300.0,,,,,,,,
2003-01-07,15.83,15.83,15.83,15.83,15500,245365.0,,,,,,,,
2003-01-08,14.71,14.71,14.71,14.71,2100,30891.0,,,,,,,,
2003-01-09,14.36,14.36,14.36,14.36,1000,14360.0,,,,,,,,
2003-01-10,14.36,14.36,14.36,14.36,0,0.0,,,,,,,,
2003-01-13,14.5,14.5,14.5,14.5,100,1450.0,,,,,,,,
2003-01-14,14.36,14.36,14.36,14.36,1000,14360.0,,,,,,,,
2003-01-15,14.36,14.36,14.36,14.36,0,0.0,,,,,,,,
2003-01-16,14.01,14.01,14.01,14.01,2000,28020.0,,,,,,,,
2003-01-17,14.15,14.15,14.15,14.15,700,9905.0,,,,,,,,
2003-01-20,14.15,14.15,14.15,14.15,0,0.0,,,,,,,,
2003-01-21,14.15,14.15,14.15,14.15,1000,14150.0,,,,,,,,
2003-01-22,13.87,13.87,13.87,13.87,1000,13870.0,,,,,,,,
2003-01-23,13.87,13.87,13.87,13.87,0,0.0,,,,,,,,
2003-01-24,14.29,14.29,14.29,14.29,200,2858.0,,,,,,,,
2003-01-27,14.29,14.29,14.29,14.29,500,7145.0,,,,,,,,
2003-01-28,14.29,14.29,14.29,14.29,1300,18577.0,,,,,,,,
2003-02-10,13.87,13.87,13.87,13.87,500,6935.0,,,,,,,,
2003-02-11,13.73,13.73,13.73,13.73,500,6865.0,,,,,,,,
2003-02-12,13.73,13.73,13.73,13.73,1400,19222.0,,,,,,,,
2003-02-13,13.73,13.73,13.73,13.73,600,8238.0,,,,,,,,
2003-02-14,13.73,13.73,13.73,13.73,2600,35698.0,,,,,,,,
2003-02-17,13.66,13.66,13.66,13.66,1500,20490.0,,,,,,,,
