time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,5.232,5.316,5.232,5.316,300,1594.8,,,,,,,,
2013-01-03,5.316,5.316,5.316,5.316,50000,265800.0,,,,,,,,
2013-01-04,5.232,5.4,5.147,5.4,48100,259740.00000000003,,,,,,,,
2013-01-07,5.316,5.316,5.316,5.316,100,531.6,,,,,,,,
2013-01-08,5.316,5.316,5.316,5.316,100,531.6,,,,,,,,
2013-01-09,5.232,5.316,5.147,5.316,91700,487477.2,,,,,,,,
2013-01-10,5.232,5.4,5.232,5.4,2100,11340.0,,,,,,,,
2013-01-11,5.232,5.232,5.232,5.232,100,523.2,,,,,,,,
2013-01-14,5.147,5.232,4.894,5.232,3700,19358.4,,,,,,,,
2013-01-15,5.147,5.232,5.147,5.232,292100,1528267.2,,,,,,,,
2013-01-16,5.232,5.4,5.147,5.4,25000,135000.0,,,,,,,,
2013-01-17,5.316,5.4,5.316,5.316,5300,28174.8,,,,,,,,
2013-01-18,5.316,5.4,5.316,5.4,216100,1166940.0,,,,,,,,
2013-01-21,5.316,5.316,5.232,5.316,4400,23390.4,,,,,,,,
2013-01-22,5.316,5.316,5.316,5.316,100,531.6,,,,,,,,
2013-01-23,5.232,5.316,5.232,5.316,136500,725634.0,,,,,,,,
2013-01-24,5.316,5.316,5.232,5.316,68100,362019.6,,,,,,,,
2013-01-25,5.232,5.232,5.232,5.232,82100,429547.2,,,,,,,,
2013-01-28,5.147,5.147,5.147,5.147,1500,7720.5,,,,,,,,
2013-01-29,5.232,5.232,5.232,5.232,60100,314443.2,,,,,,,,
2013-01-30,5.147,5.232,5.147,5.232,73700,385598.4,,,,,,,,
2013-01-31,5.147,5.147,5.063,5.063,63200,319981.6,,,,,,,,
2013-02-01,5.232,5.232,5.232,5.232,100,523.2,,,,,,,,
2013-02-04,5.232,5.232,5.232,5.232,100,523.2,,,,,,,,
2013-02-05,5.147,5.147,5.147,5.147,90000,463230.0,,,,,,,,
2013-02-06,5.147,5.147,5.147,5.147,0,0.0,,,,,,,,
2013-02-07,5.147,5.147,5.147,5.147,30000,154410.0,,,,,,,,
2013-02-08,5.232,5.232,5.147,5.232,25300,132369.6,,,,,,,,
2013-02-18,5.232,5.316,5.232,5.316,70100,372651.6,,,,,,,,
2013-02-19,5.316,5.316,5.147,5.316,39600,210513.6,,,,,,,,
2013-02-20,5.147,5.232,5.063,5.063,223400,1131074.2,,,,,,,,
2013-02-21,5.063,5.063,4.894,4.978,27100,134903.8,,,,,,,,
2013-02-22,5.147,5.147,5.147,5.147,100,514.7,,,,,,,,
2013-02-25,5.147,5.147,5.147,5.147,100,514.7,,,,,,,,
2013-02-26,5.147,5.147,5.063,5.063,29100,147333.3,,,,,,,,
2013-02-27,4.978,4.978,4.978,4.978,61700,307142.6,,,,,,,,
2013-02-28,5.063,5.063,5.063,5.063,100,506.3,,,,,,,,
2013-03-01,5.147,5.147,4.81,4.978,40400,201111.2,,,,,,,,
2013-03-04,5.063,5.063,5.063,5.063,100,506.3,,,,,,,,
