time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-07-11,9.982,9.982,9.982,9.982,100,998.2,,,,,,,,
2017-07-12,11.463,11.463,11.463,11.463,9000,103167.0,,,,,,,,
2017-07-13,13.155,13.155,11.463,11.463,1600,18340.8,,,,,,,,
2017-07-14,12.901,12.901,12.901,12.901,0,0.0,,,,,,,,
2017-07-17,10.997,10.997,10.997,10.997,100,1099.7,,,,,,,,
2017-07-18,9.348,10.786,9.348,10.574,3600,38066.4,,,,,,,,
2017-07-19,10.321,10.321,9.305,9.305,5100,47455.5,,,,,,,,
2017-07-20,10.321,10.321,10.321,10.321,6100,62958.1,,,,,,,,
2017-07-21,9.305,10.997,9.305,9.305,1500,13957.5,,,,,,,,
2017-07-24,8.671,10.151,8.671,10.151,1100,11166.1,,,,,,,,
2017-07-25,8.671,10.574,8.671,10.574,300,3172.2,,,,,,,,
2017-07-26,9.305,10.701,9.305,10.701,2300,24612.300000000003,,,,,,,,
2017-07-27,9.517,9.517,9.517,9.517,100,951.7,,,,,,,,
2017-07-28,10.151,10.151,9.771,9.771,10100,98687.1,,,,,,,,
2017-07-31,10.151,10.151,10.151,10.151,1000,10151.0,,,,,,,,
2017-08-01,9.728,9.728,9.517,9.517,14700,139899.9,,,,,,,,
2017-08-02,9.517,9.686,9.517,9.686,10800,104608.8,,,,,,,,
2017-08-03,8.248,9.559,8.248,9.559,800,7647.2,,,,,,,,
2017-08-04,7.487,10.067,7.487,10.067,22600,227514.2,,,,,,,,
2017-08-07,8.502,9.39,8.502,9.39,4000,37560.0,,,,,,,,
2017-08-08,8.671,9.813,7.317,9.813,10400,102055.2,,,,,,,,
2017-08-09,8.121,10.109,8.121,9.305,9600,89328.0,,,,,,,,
2017-08-10,8.079,9.348,8.079,9.348,1600,14956.8,,,,,,,,
2017-08-11,8.121,9.348,8.121,9.305,3900,36289.5,,,,,,,,
2017-08-14,9.305,9.305,9.094,9.094,2500,22735.0,,,,,,,,
2017-08-15,9.263,9.263,9.263,9.263,0,0.0,,,,,,,,
2017-08-16,9.305,9.94,9.305,9.305,8200,76301.0,,,,,,,,
2017-08-17,8.46,9.94,8.46,9.94,5500,54670.0,,,,,,,,
2017-08-18,9.559,9.559,9.559,9.559,200,1911.8,,,,,,,,
2017-08-21,8.756,10.913,8.756,10.744,1500,16116.0,,,,,,,,
2017-08-22,8.967,9.982,8.967,9.982,5200,51906.4,,,,,,,,
2017-08-23,9.348,9.348,9.348,9.348,200,1869.6,,,,,,,,
2017-08-24,8.713,9.982,8.713,9.982,3400,33938.8,,,,,,,,
2017-08-25,9.179,10.151,9.179,10.151,15000,152265.0,,,,,,,,
2017-08-28,10.363,10.363,9.559,10.194,8700,88687.8,,,,,,,,
2017-08-29,11.632,11.674,11.209,11.42,47200,539024.0,,,,,,,,
2017-08-30,11.42,11.716,10.194,10.278,15800,162392.4,,,,,,,,
2017-08-31,9.771,10.828,9.771,10.109,2100,21228.9,,,,,,,,
2017-09-01,9.39,10.574,9.39,10.532,3700,38968.4,,,,,,,,
2017-09-05,11.378,11.378,10.109,10.532,2200,23170.4,,,,,,,,
2017-09-06,9.348,11.336,9.348,10.574,10300,108912.2,,,,,,,,
2017-09-07,10.574,10.574,10.574,10.574,300,3172.2,,,,,,,,
2017-09-08,10.574,10.574,10.574,10.574,0,0.0,,,,,,,,
2017-09-11,10.574,10.574,10.574,10.574,0,0.0,,,,,,,,
2017-09-12,11.378,11.378,10.025,10.574,3600,38066.4,,,,,,,,
2017-09-13,10.109,10.236,9.94,10.236,13800,141256.80000000002,,,,,,,,
2017-09-14,10.363,10.363,9.94,9.94,7200,71568.0,,,,,,,,
2017-09-15,9.982,9.982,9.982,9.982,300,2994.6,,,,,,,,
2017-09-18,10.532,10.532,10.532,10.532,200,2106.4,,,,,,,,
2017-09-19,10.236,10.236,9.982,9.982,5300,52904.6,,,,,,,,
2017-09-20,10.151,10.278,10.151,10.278,1600,16444.8,,,,,,,,
2017-09-21,11.378,11.378,11.378,11.378,1600,18204.8,,,,,,,,
2017-09-22,10.109,10.151,10.025,10.025,5700,57142.5,,,,,,,,
2017-09-25,10.025,10.744,10.025,10.744,3000,32232.0,,,,,,,,
2017-09-26,10.532,10.532,10.151,10.151,1100,11166.1,,,,,,,,
2017-09-27,10.151,10.151,10.151,10.151,100,1015.1,,,,,,,,
2017-09-28,11.124,11.124,11.124,11.124,1500,16686.0,,,,,,,,
2017-09-29,10.194,10.194,10.194,10.194,100,1019.4,,,,,,,,
2017-10-02,10.363,10.405,10.363,10.405,300,3121.5,,,,,,,,
2017-10-03,10.194,10.194,10.194,10.194,4100,41795.4,,,,,,,,
2017-10-04,9.728,10.278,9.728,10.194,6800,69319.20000000001,,,,,,,,
2017-10-05,10.405,10.659,10.278,10.448,10900,113883.2,,,,,,,,
2017-10-06,10.194,10.574,10.194,10.574,600,6344.4,,,,,,,,
2017-10-09,10.574,10.574,9.94,10.574,800,8459.2,,,,,,,,
2017-10-10,10.194,10.448,10.151,10.363,7600,78758.8,,,,,,,,
2017-10-11,10.955,10.955,10.955,10.955,100,1095.5,,,,,,,,
2017-10-12,10.236,10.744,10.236,10.744,300,3223.2,,,,,,,,
2017-10-13,10.574,10.574,10.194,10.194,2100,21407.4,,,,,,,,
2017-10-16,10.363,10.574,10.363,10.574,7800,82477.2,,,,,,,,
2017-10-17,11.632,11.632,10.448,10.448,2700,28209.6,,,,,,,,
2017-10-18,10.236,10.532,10.236,10.49,11150,116963.5,,,,,,,,
2017-10-19,10.701,10.701,10.49,10.617,3700,39282.9,,,,,,,,
2017-10-20,11.336,11.336,10.617,11.336,13800,156436.80000000002,,,,,,,,
2017-10-23,12.732,12.732,11.124,12.732,44750,569757.0,,,,,,,,
2017-10-24,14.635,14.635,12.055,12.055,5600,67508.0,,,,,,,,
2017-10-25,12.055,12.478,11.928,12.478,16000,199648.0,,,,,,,,
2017-10-26,12.689,12.689,12.182,12.266,9300,114073.8,,,,,,,,
2017-10-27,12.647,12.647,12.647,12.647,100,1264.7,,,,,,,,
2017-10-30,12.266,12.266,11.843,11.843,3100,36713.3,,,,,,,,
2017-10-31,12.013,12.013,10.997,10.997,3700,40688.9,,,,,,,,
2017-11-01,11.251,11.251,11.251,11.251,800,9000.8,,,,,,,,
2017-11-02,11.251,11.336,11.251,11.336,4800,54412.8,,,,,,,,
2017-11-03,11.209,11.42,11.209,11.42,1700,19414.0,,,,,,,,
2017-11-06,10.997,11.251,10.997,11.251,1200,13501.2,,,,,,,,
2017-11-07,11.59,11.59,10.744,10.744,1600,17190.4,,,,,,,,
2017-11-08,10.997,10.997,10.997,10.997,2100,23093.7,,,,,,,,
2017-11-09,11.614,11.614,11.614,11.614,300,3484.2000000000003,,,,,,,,
2017-11-10,11.614,12.054,11.614,12.054,3200,38572.8,,,,,,,,
2017-11-13,11.438,11.438,10.998,10.998,6800,74786.4,,,,,,,,
2017-11-14,11.394,11.394,11.394,11.394,200,2278.8,,,,,,,,
2017-11-15,11.394,11.394,11.394,11.394,0,0.0,,,,,,,,
2017-11-16,11.218,11.35,11.218,11.35,1500,17025.0,,,,,,,,
2017-11-17,11.262,11.262,11.262,11.262,0,0.0,,,,,,,,
2017-11-20,11.262,11.262,11.262,11.262,0,0.0,,,,,,,,
2017-11-21,10.998,11.218,10.998,10.998,1200,13197.6,,,,,,,,
2017-11-22,11.218,11.218,10.998,10.998,2100,23095.8,,,,,,,,
2017-11-23,11.218,11.218,10.998,10.998,5100,56089.8,,,,,,,,
2017-11-24,10.558,10.558,10.558,10.558,1000,10558.0,,,,,,,,
2017-11-27,10.998,10.998,10.998,10.998,300,3299.4,,,,,,,,
2017-11-28,11.086,11.13,11.086,11.13,3800,42294.0,,,,,,,,
